 	la	manière	dont	elle	m'	a	demandé	était	mauvaise	</S>
e	0.193449	0.57336	0.0398691	0.0359933	0.0566042	0.0294785	0.0115117	0.00160244	0.00933144	0.0487999
d	0.00570889	0.0174534	0.0106545	0.00162493	0.0878723	0.215796	0.60635	0.0363561	0.0142885	0.0038953
u	0.0295319	0.113869	0.022224	0.000826676	0.0359388	0.238364	0.516258	0.019841	0.0076636	0.0154825
u	0.010796	0.0505436	0.0844546	0.0145604	0.0765868	0.066648	0.607531	0.0374059	0.0112437	0.0402295
l	0.083936	0.0148188	0.178806	0.0449657	0.0954295	0.206105	0.206357	0.0280332	0.00744056	0.134108
ú	0.0740165	0.0239192	0.0586658	0.0398541	0.0991981	0.242963	0.145886	0.0615284	0.0334228	0.220547
y	0.24788	0.0415523	0.354741	0.0208687	0.0170312	0.0469475	0.104255	0.018075	0.00449662	0.144152
é	0.258795	0.0981737	0.46896	0.00483402	0.0112387	0.0347907	0.0621587	0.0137185	0.00111994	0.0462105
é	0.0550722	0.0877564	0.588141	0.0707113	0.0341407	0.061781	0.0424367	0.00962645	0.00178252	0.0485519
d	0.0240078	0.00349828	0.0155018	0.0178697	0.0923219	0.450465	0.283865	0.0460218	0.00870009	0.0577485
u	0.00147606	0.00288312	0.00948473	0.00226097	0.0408082	0.189076	0.607844	0.0723973	0.0140956	0.0596747
ú	0.0293346	0.00478956	0.0204565	0.0131148	0.0691127	0.0909446	0.659109	0.0799134	0.0140352	0.0191899
w	0.00720174	0.00224297	0.0591575	0.189677	0.393224	0.10616	0.144939	0.0501139	0.0199839	0.0273
a	0.00368119	0.00846071	0.0242856	0.563558	0.208356	0.107824	0.0189951	0.0128303	0.0237454	0.0282633
n	0.00197083	0.00114865	0.0317444	0.324253	0.234211	0.128184	0.0893928	0.0542545	0.0383492	0.0964914
g	0.016421	0.0112315	0.0213681	0.0283624	0.765453	0.0710131	0.0459172	0.00562335	0.00278426	0.0318258
á	0.00201951	0.0046054	0.0213647	0.0310502	0.773907	0.0715059	0.0552859	0.0106857	0.00509942	0.0244765
é	0.00140861	0.000591613	0.00815961	0.132607	0.142648	0.126326	0.185321	0.197359	0.14742	0.0581593
d	0.00272009	0.00133061	0.00218935	0.00416147	0.0435042	0.135371	0.246141	0.281681	0.252527	0.030375
z	0.00170842	0.00187959	0.00121711	0.00107259	0.00834619	0.0144406	0.194885	0.380074	0.214864	0.181512
e	0.00476549	0.00355236	0.000955122	0.0047001	0.012366	0.0312079	0.405954	0.455173	0.0338071	0.0475193
e	0.00877366	0.0119672	0.0476969	0.0473433	0.102106	0.0167964	0.0695813	0.0859021	0.312147	0.297686
b	0.00289018	0.00249855	0.00241138	0.0066415	0.0295698	0.021757	0.0269583	0.0734074	0.349793	0.484073
é	0.00173327	0.00973534	0.000798297	0.00492884	0.0320571	0.0155688	0.0156878	0.0293312	0.792653	0.097506
</S>	4.8151e-05	0.000375357	0.000503212	0.000795808	0.00391692	0.00474522	0.00476143	0.0104337	0.409817	0.564603
