 	apporte-nous	deux	chaises	</S>
y	0.995279	0.00343133	0.00118321	0.000106712
a	0.764497	0.135325	0.00359482	0.0965829
á	0.972116	0.0214628	0.000707523	0.00571415
b	0.743393	0.142354	0.0282698	0.0859831
í	0.0372565	0.835358	0.0229486	0.104437
s	0.189915	0.321675	0.159157	0.329252
í	0.137494	0.735286	0.00388846	0.123331
l	0.0104832	0.3215	0.218869	0.449148
a	0.0675962	0.439468	0.0671685	0.425767
a	0.0372272	0.399314	0.278711	0.284747
k	0.00136246	0.109796	0.76562	0.123221
í	0.000450646	0.0402631	0.921623	0.0376637
t	0.00015313	0.103114	0.488009	0.408724
i	0.000847047	0.14455	0.524734	0.329868
á	0.000379544	0.042374	0.287168	0.670078
b	0.00521978	0.204	0.0648327	0.725947
a	0.00664774	0.280865	0.350103	0.362385
á	0.00319727	0.20141	0.178807	0.616585
</S>	0.00663473	0.182254	0.028133	0.782978
