 	il	m'	a	bousculée	</S>
w	0.915362	0.0664559	0.0171687	0.000718413	0.000294729
a	0.91077	0.0540356	0.0341522	0.000749311	0.000292575
á	0.223441	0.257824	0.431901	0.0410603	0.0457739
t	0.0285068	0.09737	0.302643	0.5197	0.0517806
í	0.0320992	0.0190918	0.219764	0.36694	0.362106
s	0.00792115	0.0255093	0.217329	0.526051	0.22319
i	0.0237539	0.0284325	0.3112	0.606939	0.0296738
i	0.0309261	0.201627	0.242828	0.202799	0.32182
n	0.0247463	0.213515	0.135142	0.307451	0.319146
g	0.00758365	0.640156	0.0343508	0.262945	0.054965
á	0.0185872	0.706927	0.0382952	0.19456	0.04163
</S>	0.00662293	0.00831375	0.0318957	0.0178793	0.935288
