 	j'	ai	la	nausée	</S>
n	0.904406	0.0281232	0.0587444	0.00776735	0.000958941
g	0.988521	0.00620686	0.0047892	0.000456546	2.65951e-05
á	0.929824	0.0392617	0.0255146	0.00516402	0.000235556
m	0.0671553	0.130894	0.280753	0.452427	0.0687706
w	0.00645317	0.12104	0.0410185	0.803625	0.0278632
ε	0.00812852	0.012764	0.0241466	0.954027	0.000933914
m	0.00218632	0.0709084	0.0722195	0.814669	0.0400173
ó	0.00096655	0.027376	0.0809232	0.438262	0.452473
o	0.0170099	0.0706533	0.242647	0.13357	0.53612
y	0.000332357	0.220042	0.255807	0.161477	0.362341
ε	0.00677245	0.203777	0.201724	0.446167	0.141559
l	0.00107533	0.118045	0.103629	0.168255	0.608996
ε	0.0173185	0.0945891	0.320454	0.135515	0.432124
</S>	0.000774548	0.0377144	0.13621	0.0212576	0.804043
