 	elle	a	divorcé	avec	lui	</S>
w	0.797032	0.165148	0.0085387	0.0284392	0.000761305	8.12106e-05
a	0.816753	0.149803	0.00350318	0.0251309	0.00475866	5.07393e-05
a	0.0476754	0.418018	0.414347	0.086509	0.00834277	0.0251075
t	0.0157351	0.166939	0.665294	0.108415	0.010965	0.0326524
ó	0.00388952	0.0455678	0.509278	0.150874	0.112212	0.178179
n	0.014237	0.0661724	0.41816	0.275317	0.070118	0.155996
í	0.0678466	0.128353	0.493727	0.146685	0.0549677	0.108421
w	0.159221	0.115843	0.19129	0.322474	0.138759	0.0724125
a	0.0203	0.0276982	0.22523	0.375101	0.281507	0.0701643
</S>	0.0158729	0.0233263	0.0749038	0.196234	0.27735	0.412313
