 	ma	mère	est	une	grande	cuisinière	</S>
n	0.758585	0.129806	0.0698976	0.0267121	0.0129865	0.000896384	0.00111629
g	0.970654	0.0290739	5.87617e-05	0.000108973	0.000101892	4.32928e-07	2.49047e-06
ó	0.193167	0.796821	0.00262237	0.00376308	0.00294697	0.000374823	0.000304541
o	0.116868	0.847765	0.00343296	0.0115576	0.002975	0.0165813	0.00082028
y	0.694874	0.199443	0.0526862	0.0219181	0.00964008	0.00175908	0.0196788
a	0.901031	0.0747163	0.0114063	0.00524083	0.00522449	0.00101074	0.0013706
n	0.96702	0.00662306	0.0133309	0.00477282	0.00438752	0.000429699	0.00343651
g	0.880536	0.0954128	0.00445222	0.00731401	0.00748379	0.00103804	0.00376258
á	0.28917	0.685863	0.00592047	0.0109909	0.00175607	0.00277533	0.0035242
a	0.139907	0.0241122	0.577043	0.152745	0.0890752	0.00698436	0.0101333
d	0.0102516	0.00524469	0.399603	0.307583	0.0876805	0.147848	0.0417894
í	0.0439264	0.00112263	0.238254	0.32701	0.137145	0.0626511	0.189891
o	0.244529	0.000147706	0.168335	0.172167	0.307157	0.0391862	0.0684774
l	0.000621093	0.00014343	0.0477224	0.176605	0.0674388	0.696982	0.0104875
á	3.07263e-05	4.71053e-05	0.00559513	0.0498296	0.00841643	0.926156	0.00992466
m	0.00134193	0.000115624	0.0389442	0.175674	0.0462108	0.705878	0.0318355
b	0.000610768	0.000115795	0.0406895	0.227524	0.157304	0.461536	0.112221
i	0.0288262	0.0015197	0.0935019	0.373255	0.0983506	0.195242	0.209304
o	0.00162746	0.00013016	0.0601182	0.19997	0.366516	0.0345605	0.337078
n	2.87259e-05	4.66883e-05	0.0112756	0.0539955	0.0800094	0.464333	0.390311
έ	0.0236632	0.00439678	0.0161183	0.210983	0.226637	0.103625	0.414577
</S>	0.000149078	2.57945e-05	0.0115451	0.0840308	0.168623	0.0885922	0.647034
