 	ce	régime	de	noix	de	palme	est	mûr	</S>
e	0.824085	0.0991797	0.0554588	0.0101838	0.00646817	0.00256394	0.00142542	0.000400898	0.000234522
t	0.0891501	0.885003	0.0170582	0.0011508	0.00187058	0.00167308	0.000513655	0.00148924	0.00209159
o	0.00459914	0.975601	0.0152321	0.000196018	0.00186342	0.000550781	0.000172666	0.00129188	0.000492867
n	0.00368173	0.957778	0.0290614	0.000921569	0.00119691	0.000545141	0.000195038	0.00317662	0.00344331
g	0.292953	0.537724	0.104244	0.00245443	0.0153821	0.00927992	0.00246777	0.0136981	0.0217972
o	0.206877	0.700072	0.0703549	0.00123891	0.00589176	0.00206096	0.000279794	0.00252157	0.0107038
y	0.134331	0.0115858	0.766746	0.0325137	0.0283896	0.0102145	0.00389289	0.000817729	0.0115089
á	0.714477	0.00281038	0.142913	0.0217039	0.0807743	0.0162054	0.00450129	0.00103784	0.0155767
m	0.17274	0.00510083	0.2272	0.123036	0.35176	0.0763106	0.0170292	0.00728573	0.0195371
b	0.0329673	0.00437367	0.117351	0.517509	0.234325	0.0462615	0.0119358	0.00767406	0.0276029
í	0.00399548	0.000807273	0.0278649	0.824566	0.0754116	0.0290579	0.00426432	0.0217467	0.0122856
a	0.0105919	0.0001948	0.0220597	0.911151	0.0384391	0.0078396	0.00270468	0.00326124	0.00375788
y	0.0152123	0.000109883	0.0570523	0.115879	0.281305	0.282705	0.191666	0.0180794	0.03799
é	0.165855	0.00613873	0.113513	0.0164186	0.275158	0.209581	0.0985494	0.017314	0.0974714
e	0.0196303	0.00260052	0.0439629	0.0200873	0.21694	0.24797	0.230571	0.138499	0.079739
m	0.00704063	0.00229248	0.00823132	0.00588338	0.0384694	0.194253	0.217515	0.39808	0.128235
í	0.00456532	0.000154666	0.0200575	0.0397691	0.0546379	0.130418	0.532221	0.112902	0.105275
b	0.0146495	0.000515605	0.0155896	0.00648829	0.0757152	0.204439	0.202519	0.178969	0.301114
ε	0.00251117	0.000278741	0.00767461	0.0140882	0.0317819	0.0994723	0.087033	0.653628	0.103533
n	0.000832723	0.000216777	0.00819035	0.00947049	0.0325701	0.0625096	0.0396994	0.591925	0.254586
g	0.0154762	0.00444066	0.00748566	0.00401548	0.0515901	0.103611	0.0451464	0.675163	0.0930716
ε	0.00900231	0.00150481	0.00956541	0.0122809	0.0373578	0.0307142	0.0120139	0.819217	0.0683435
</S>	0.024436	0.000595691	0.0428706	0.0226563	0.041256	0.0672419	0.205955	0.237096	0.357892
