 	la	morelle	est	amère	</S>
n	0.376874	0.600753	0.0206864	0.000150848	0.001536
d	0.368508	0.626837	0.00408255	0.000327792	0.000244537
w	0.0375498	0.961591	0.00034356	0.000144436	0.000371615
e	0.0282039	0.966423	0.00202154	0.000606258	0.00274528
l	0.066352	0.0738894	0.319	0.0422011	0.498557
é	0.300709	0.183568	0.321738	0.0130944	0.180891
é	0.0939438	0.0159834	0.824483	0.005269	0.0603208
d	0.019441	0.00896787	0.867959	0.0616111	0.0420213
í	0.00673263	0.00865294	0.535387	0.0365866	0.41264
l	0.00507293	0.00251705	0.250103	0.403085	0.339222
a	0.0119867	0.00521054	0.341004	0.136335	0.505464
k	0.0437116	0.0078035	0.164872	0.417437	0.366176
a	0.000799741	0.000884285	0.00352282	0.911671	0.0831217
l	0.000208965	0.000371145	0.0143379	0.675325	0.309757
e	0.0181281	0.00199063	0.0716632	0.369758	0.53846
</S>	0.00554263	0.000353509	0.121821	0.0802207	0.792062
