 	ondouma	était	stérile	mais	le	guérisseur	l'	a	rendue	féconde	</S>
o	0.861066	0.122287	0.00754854	0.00418963	0.00306275	0.00021829	0.000670289	0.00027097	0.00063604	3.41374e-05	1.63476e-05
n	0.78522	0.205922	0.00228444	0.00229016	0.000664366	0.000197787	0.000450134	0.000904355	0.000392993	0.000810207	0.000864217
d	0.384274	0.176066	0.162515	0.112577	0.0493155	0.057772	0.00853108	0.0170636	0.0100995	0.0172669	0.00451901
ú	0.908574	0.05596	0.0132528	0.00774379	0.00185414	0.00330393	0.000968251	0.00129254	0.000546337	0.00178804	0.00471569
m	0.570774	0.0940309	0.231279	0.0301059	0.0254099	0.0318604	0.000742279	0.00142552	0.0045877	0.00818129	0.00160332
a	0.698867	0.19193	0.0372362	0.00820046	0.00707139	0.00201103	0.0134219	0.00531126	0.00720299	0.00190036	0.0268471
á	0.0706493	0.332207	0.345958	0.032629	0.0379895	0.0153389	0.0362498	0.0228049	0.0205573	0.00358071	0.082035
d	0.0876396	0.285942	0.305943	0.06112	0.0243124	0.0202282	0.0339505	0.0505733	0.0553551	0.00346262	0.0714737
z	0.0141096	0.325804	0.2036	0.117057	0.0246452	0.013503	0.0122127	0.0448541	0.0140776	0.0102986	0.219839
e	0.0904099	0.234044	0.279677	0.25929	0.0535464	0.0212792	0.00383647	0.0202324	0.00448308	0.0247761	0.00842532
e	0.0107982	0.080168	0.440059	0.0919787	0.0819289	0.0582684	0.0482694	0.01893	0.0463495	0.00614016	0.11711
n	0.028491	0.0973171	0.514327	0.185124	0.0157509	0.0132275	0.0103036	0.0146445	0.0143419	0.00619378	0.100278
g	0.053233	0.0218007	0.605296	0.174466	0.0334006	0.0612988	0.00647492	0.0102478	0.00869474	0.00537734	0.0197095
o	0.0162864	0.0146804	0.723547	0.127617	0.021509	0.0836879	0.00240975	0.00243151	0.00328411	0.00149187	0.00305466
m	0.0401435	0.021531	0.587561	0.161137	0.0434004	0.0700043	0.0174794	0.0112181	0.0164088	0.00136035	0.0297565
b	0.053542	0.0596343	0.244121	0.354636	0.107735	0.0164847	0.0737645	0.0200239	0.00574338	0.00337971	0.0609355
a	0.0389992	0.0473273	0.25272	0.460185	0.0802865	0.0261637	0.0230671	0.00837886	0.00508175	0.00400888	0.0537818
n	0.00159415	0.00541934	0.130058	0.285535	0.31185	0.098314	0.103101	0.024638	0.0117645	0.00147632	0.0262494
d	0.00373697	0.00146967	0.136994	0.357447	0.166852	0.271612	0.0136387	0.0113884	0.002803	0.00743423	0.026623
z	0.00183106	0.000291646	0.0433207	0.319535	0.154524	0.450498	0.00679291	0.00615699	0.00115196	0.00619898	0.0096979
á	0.00218454	0.00112164	0.113841	0.36853	0.12786	0.308923	0.0139202	0.0162391	0.00499487	0.0139192	0.028466
á	0.00476341	0.00864925	0.0364521	0.228936	0.0940267	0.0366688	0.164062	0.0624239	0.0171732	0.00211833	0.344727
n	0.000477979	0.00161544	0.0202093	0.0980115	0.229117	0.256433	0.260123	0.0765325	0.0397361	0.00572959	0.0120142
g	0.00115315	0.000958834	0.0413529	0.173301	0.150871	0.454029	0.0721199	0.0435024	0.00754897	0.0160712	0.0390928
a	0.00116939	0.000123181	0.0286705	0.0713827	0.0746227	0.775258	0.0282605	0.00952892	0.00479922	0.0033509	0.00283362
n	0.000582134	0.000432622	0.0265049	0.0849494	0.127857	0.317593	0.237759	0.0773239	0.0457367	0.0109461	0.0703147
g	0.00669376	0.00575801	0.0311327	0.0876742	0.0927973	0.199174	0.206091	0.18257	0.0628685	0.0213312	0.10391
a	0.000317734	0.000130627	0.0381086	0.0925202	0.115969	0.62839	0.0541849	0.0274658	0.0186878	0.0133808	0.0108442
á	0.000338359	0.000512305	0.00984085	0.0316423	0.0756181	0.081003	0.429384	0.189109	0.0889943	0.0186982	0.0748594
m	0.00225718	0.00284425	0.00254975	0.00625679	0.00448688	0.00392323	0.100542	0.362283	0.379475	0.0354807	0.0999009
i	0.00134004	0.00169472	0.00228688	0.00128525	0.00269144	0.000299564	0.0164984	0.147902	0.590483	0.119472	0.116047
b	0.00291333	0.00290381	0.0021169	0.00147329	0.00117879	0.0003246	0.0310305	0.149741	0.531961	0.0328553	0.243501
ó	9.40085e-05	0.00163566	0.000519296	0.000559442	0.000517742	1.64769e-05	0.00741889	0.04818	0.853355	0.00997655	0.0777269
r	0.00059401	0.000301826	0.00217405	0.00203308	0.00258615	0.000851081	0.0956431	0.0675795	0.576516	0.00614432	0.245577
í	0.00462291	0.000935374	0.00193539	0.00657402	0.00395724	0.00253298	0.0920538	0.123892	0.100207	0.0177981	0.645491
s	0.000408334	0.000335615	0.00376394	0.0146971	0.0255644	0.010557	0.115496	0.122644	0.148606	0.203707	0.354221
á	0.00140403	0.000596049	0.00303479	0.0100946	0.0122591	0.00573741	0.0567473	0.152253	0.211175	0.124841	0.421857
w	0.00518649	0.000338301	0.00353941	0.00719334	0.0199489	0.00902044	0.0495753	0.0643815	0.17476	0.634302	0.0317549
a	0.00521518	0.00117135	0.001779	0.0090535	0.018113	0.004012	0.0890896	0.151765	0.156363	0.479268	0.084171
</S>	0.00106862	9.58195e-05	0.000584232	0.00319331	0.00562412	0.00228617	0.0890397	0.0735478	0.0772449	0.330607	0.416708
