 	il	est	attentif	à	son	travail	</S>
w	0.880916	0.073591	0.0124404	0.0197502	0.0122199	0.000862129	0.000220523
a	0.828037	0.0670461	0.038157	0.0302276	0.0317707	0.00415728	0.000604424
a	0.193263	0.486379	0.053978	0.0689525	0.0688407	0.0130592	0.115527
d	0.0989526	0.478739	0.06254	0.0837773	0.0497708	0.0231382	0.203082
í	0.021644	0.430556	0.221136	0.0670736	0.0102742	0.0140834	0.235233
l	0.0141223	0.17978	0.119631	0.100067	0.0206802	0.0484425	0.517278
a	0.0577461	0.123015	0.261813	0.163609	0.0815841	0.00955535	0.302677
k	0.0398223	0.145975	0.574541	0.124897	0.025127	0.0166416	0.0729963
ε	0.000607653	0.00644069	0.962985	0.0248074	0.000500876	0.00163333	0.00302563
n	0.0130244	0.0402617	0.777155	0.133973	0.00682884	0.00115718	0.0276002
y	0.0131883	0.020122	0.892062	0.0491608	0.00925816	0.000287734	0.0159215
έ	0.0577828	0.0331637	0.735085	0.0514741	0.01877	0.000819938	0.102905
s	0.0222164	0.0223641	0.115969	0.475539	0.329362	0.00216721	0.0323827
á	0.0161618	0.0649682	0.0777134	0.264076	0.406197	0.0341106	0.136773
i	0.0148148	0.00566905	0.0132774	0.0890044	0.327284	0.54051	0.00944005
s	0.00250127	0.00545909	0.0160418	0.0327446	0.0438711	0.886957	0.0124246
á	0.000971461	0.00452401	0.00161341	0.0111433	0.0417806	0.908903	0.0310642
l	0.001819	0.00163954	0.00259051	0.0101643	0.101977	0.833828	0.0479818
a	0.00157565	0.00361425	0.0173542	0.0652625	0.158354	0.600323	0.153516
l	0.000281608	0.00253547	0.00438918	0.0493711	0.172368	0.428172	0.342883
á	0.00148584	0.0112718	0.0235694	0.0662229	0.12472	0.374979	0.397751
w	0.00956861	0.0101319	0.0180859	0.0637428	0.40077	0.252069	0.245631
a	0.02406	0.019455	0.0254023	0.142289	0.507917	0.0975575	0.18332
</S>	0.00291076	0.00268688	0.00597845	0.0377328	0.167934	0.243395	0.539363
