 	les	chefs	traditionnels	de	boundji	sont	en	train	de	chanter	l'	hymne	à	la	sagesse	traditionnnelle	</S>
a	0.608682	0.342476	0.00812837	0.00809516	0.0069827	0.00751859	0.00298133	0.00544781	0.0030764	0.00166412	0.00148558	5.4528e-05	0.00028582	0.000654867	0.000988186	0.00125052	0.000228027
m	0.0878721	0.574661	0.306015	0.00439577	0.00510792	0.000565455	0.000134845	0.00122038	0.000227185	0.00258552	0.000277147	0.000243067	0.000725258	0.0047771	0.00724724	0.00336739	0.000577062
w	0.0584986	0.109565	0.669706	0.0334083	0.0706815	0.00878856	0.00524184	0.00224621	0.00412457	0.0111198	0.00460767	0.00113418	0.000283361	0.000617504	0.000313458	3.6042e-05	0.0196272
ε	0.0379904	0.108282	0.807495	0.00554522	0.0295421	0.00383487	0.00107803	0.000245879	0.000351342	0.00246195	0.000936245	0.000277774	0.000185869	0.000420106	0.000441363	0.000171039	0.000740725
n	0.0978157	0.189891	0.65603	0.00987144	0.0235726	0.00206078	0.00149171	0.000500473	0.00159198	0.00460042	0.00151103	0.000484118	0.000582312	0.00197724	0.000653661	8.31887e-05	0.00728168
έ	0.356241	0.272939	0.273301	0.0159738	0.00878648	0.00304118	0.0010376	0.000170545	0.00257206	0.00023179	0.0018706	0.000113243	0.0010437	0.00261171	0.00386475	0.000851266	0.0553497
b	0.207488	0.096282	0.0604272	0.295069	0.052019	0.0453295	0.0107001	0.00328755	0.0546571	0.0192882	0.093308	0.0226419	0.00914128	0.00488627	0.00694776	0.0011554	0.0173726
á	0.287684	0.0337903	0.101537	0.0774704	0.10972	0.0487384	0.0664363	0.0292541	0.0877831	0.0364928	0.0478703	0.00472219	0.00529335	0.00325183	0.00402707	0.00180843	0.0541202
m	0.171246	0.0167242	0.0124366	0.0967932	0.171341	0.135809	0.127772	0.0656919	0.0963018	0.0466774	0.0472241	0.0027128	0.00148034	0.000577965	0.00127354	0.00117971	0.00475888
b	0.0834914	0.0298879	0.0742484	0.0762922	0.425303	0.138491	0.0503279	0.000564389	0.025331	0.0266075	0.0596005	0.00410943	0.0014775	0.000224505	0.000560441	0.000103776	0.00337912
o	0.00880205	0.0122795	0.169215	0.0397511	0.46949	0.0208547	0.0318963	0.0073819	0.0215087	0.20494	0.00950103	0.000144527	7.87681e-05	0.00011967	0.000109787	0.000149149	0.00377821
n	0.00791162	0.00664044	0.271681	0.033454	0.253382	0.0183466	0.0188977	0.0764153	0.0194649	0.27121	0.00934423	0.000696449	0.00011053	0.000569946	0.000250986	8.09398e-05	0.0115441
d	0.0149126	0.0130268	0.213437	0.0585416	0.444408	0.0529594	0.036083	0.00874259	0.0260551	0.0435408	0.0228646	0.00340291	0.00126758	0.00161745	0.00221288	0.00181704	0.0551108
z	0.0359054	0.0317329	0.244852	0.0550262	0.361861	0.0680195	0.0433623	0.0187368	0.0312504	0.0798096	0.0154989	0.00276247	0.00117166	0.00163256	0.000968213	0.00262084	0.00478968
i	0.0139867	0.0179218	0.187889	0.0211446	0.288644	0.072961	0.118398	0.0503103	0.0584148	0.136488	0.00719482	0.000734661	0.000295465	0.000548768	0.000373587	0.00187381	0.0228197
b	0.009526	0.00861481	0.00581367	0.121449	0.0680405	0.134928	0.0844884	0.0250738	0.200772	0.0313261	0.234673	0.0453147	0.0193104	0.00499389	0.00357639	0.000129504	0.0019698
ó	0.0817545	0.00705403	0.0102933	0.0344064	0.0964545	0.0826705	0.107241	0.0326602	0.128865	0.0536237	0.142497	0.0678005	0.038499	0.0102289	0.0191641	0.00293498	0.0838521
b	0.0126522	0.00389174	0.00130911	0.0854251	0.0351745	0.121238	0.199304	0.015171	0.0959738	0.0119539	0.174397	0.0962512	0.0960513	0.0120468	0.0247091	0.00173275	0.0127185
á	0.285418	0.0360268	0.00863064	0.0393921	0.0389686	0.063259	0.0591838	0.0144947	0.0962718	0.0833055	0.117053	0.0333754	0.0368906	0.016798	0.0340054	0.0040072	0.0329189
a	0.130746	0.0156913	0.00312344	0.0560596	0.0236856	0.101639	0.212308	0.0359232	0.0518151	0.0152712	0.0393549	0.0321022	0.135434	0.0485285	0.0858073	0.00232813	0.0101826
