 	il	a	attrapé	deux	anguilles	</S>
w	0.730758	0.23736	0.00579999	0.0158978	0.00910493	0.00107947
a	0.724663	0.244113	0.00240416	0.0213892	0.00725988	0.000171212
á	0.22031	0.663688	0.065226	0.019239	0.00408938	0.0274473
m	0.0833026	0.522871	0.316619	0.0272848	0.00369336	0.0462292
i	0.0213542	0.336429	0.129118	0.0637055	0.0103922	0.439001
p	0.0100928	0.0779109	0.891817	0.00542537	0.0011976	0.0135561
i	0.00187472	0.0286231	0.959523	0.00190313	0.000960085	0.00711598
á	0.0155553	0.169175	0.723966	0.0396055	0.00440055	0.0472975
a	0.0392212	0.155886	0.100184	0.536126	0.147049	0.0215345
n	0.00517392	0.0341549	0.0653012	0.727801	0.13426	0.0333085
y	0.00323468	0.0272216	0.00319224	0.342951	0.331596	0.291804
ω	0.00147529	0.0256003	0.00330255	0.0444164	0.79136	0.133846
m	0.00253716	0.0904003	0.0397537	0.136491	0.531103	0.199715
b	0.0194794	0.0307391	0.00749154	0.067984	0.451893	0.422413
ώ	0.0278687	0.0233285	0.00103308	0.072501	0.112534	0.762735
á	0.0467064	0.0766654	0.00226175	0.621365	0.0709181	0.182083
b	0.0251314	0.149477	0.0646707	0.35518	0.168002	0.23754
a	0.00193793	0.0109022	0.000281762	0.859564	0.019638	0.107677
á	0.00103436	0.00790163	0.000877784	0.599151	0.011325	0.37971
</S>	0.0155582	0.0423568	0.00508458	0.321538	0.0578833	0.557579
