 	attends-le	ici	il	n'	en	a	pas	pour	longtemps	</S>
k	0.90555	0.0365761	0.00550097	0.00104179	0.00175999	0.00363059	0.0115578	0.0137154	0.0201523	0.000515353
o	0.935008	0.0372436	0.00769385	0.00143157	0.00103101	0.00108325	0.00158256	0.00299646	0.0115034	0.000426233
n	0.70917	0.0701335	0.0578844	0.0255509	0.0217116	0.0154808	0.0201523	0.010184	0.0197754	0.0499565
g	0.625284	0.0809148	0.0497443	0.0223322	0.0278812	0.0210931	0.0498238	0.0394708	0.043431	0.0400245
á	0.708099	0.10403	0.0323608	0.00978609	0.0166169	0.0132077	0.0302291	0.0223993	0.00698079	0.0562898
á	0.0190745	0.596838	0.285556	0.0394406	0.021008	0.00887526	0.00585861	0.0147797	0.00321884	0.00535091
w	0.00813713	0.274198	0.440967	0.168339	0.042983	0.0166455	0.00698177	0.0204108	0.00960103	0.0117377
a	0.00829625	0.305106	0.480342	0.048669	0.0411086	0.0224416	0.0192749	0.0129433	0.016851	0.0449674
b	0.00207465	0.226643	0.463101	0.114147	0.0463293	0.0222286	0.0130246	0.0124838	0.0324017	0.0675656
h	0.0654198	0.217376	0.2041	0.210512	0.128029	0.0605684	0.0182678	0.0182251	0.0400264	0.0374756
á	0.0675589	0.158439	0.163818	0.127317	0.127448	0.0741656	0.0534068	0.0493687	0.0338117	0.144666
a	0.00137309	0.0762994	0.161954	0.250013	0.222538	0.0843788	0.0409397	0.058587	0.0328529	0.0710646
d	0.021444	0.0341877	0.0597643	0.256973	0.238299	0.132098	0.0662926	0.0419264	0.0876387	0.0613759
í	0.000501402	0.00658658	0.0167317	0.169351	0.141138	0.0794596	0.0561862	0.037642	0.0167819	0.475622
o	6.35877e-05	0.00209852	0.00532425	0.0379213	0.136395	0.144261	0.172405	0.35995	0.0422424	0.0993389
b	0.0118682	0.00164996	0.00344354	0.0220462	0.0967116	0.0844311	0.199215	0.177003	0.350804	0.0528277
í	0.0335512	0.00643454	0.0147155	0.0333311	0.0593334	0.0437665	0.0876622	0.0377128	0.572447	0.111046
a	0.000719646	0.00124563	0.00504039	0.0200719	0.046325	0.0787449	0.142855	0.0671607	0.331902	0.305935
k	0.000167536	0.00173931	0.00219361	0.00798818	0.0417262	0.0667015	0.161007	0.3587	0.0999262	0.25985
a	0.00126436	0.00204684	0.00236416	0.0036094	0.0179529	0.0498413	0.271564	0.166223	0.333914	0.151221
á	0.000547806	0.00165641	0.00242681	0.00372783	0.0137766	0.0451027	0.110578	0.0353101	0.296077	0.490797
</S>	0.000481001	0.0109971	0.00878709	0.0140269	0.0228555	0.0346524	0.0485131	0.16908	0.12924	0.561368
