 	la	panthère	a	attrapé	le	cabri	</S>
n	0.795163	0.202991	0.000253551	4.70545e-06	0.000330409	0.00114685	0.000110198
g	0.39773	0.598465	0.0008318	1.84451e-05	0.00087231	0.00206572	1.71103e-05
w	0.176952	0.818053	0.00149755	0.000150195	0.000706223	0.0025456	9.4938e-05
ε	0.567303	0.32645	0.013389	0.000740074	0.00676593	0.0738986	0.011453
á	0.1705	0.172796	0.493008	0.0311603	0.0361205	0.00143712	0.0949772
m	0.0110863	0.0337928	0.808751	0.0777538	0.026115	0.000674837	0.0418263
i	0.00146845	0.00213498	0.483005	0.307482	0.109496	0.0047801	0.0916334
p	0.000357132	0.000218812	0.145756	0.817544	0.0224262	0.00126498	0.0124322
i	0.000217067	0.000197537	0.0624518	0.910525	0.0207286	0.00052351	0.00535681
á	0.00378888	0.0124564	0.274699	0.552739	0.111442	0.00719614	0.0376785
m	0.009905	0.00284846	0.0714606	0.0465702	0.49906	0.318323	0.0518326
b	5.5892e-05	3.11986e-05	0.000370558	0.000379708	0.00941792	0.965664	0.0240807
ó	5.75702e-05	3.38648e-05	0.000152265	0.00118298	0.0175785	0.967226	0.013769
s	0.000432879	0.000542513	0.00674355	0.00632948	0.060015	0.868587	0.0573492
i	0.0015051	0.00117123	0.0139773	0.0178272	0.236554	0.540799	0.188166
</S>	0.0103076	0.00255138	0.0974944	0.00971246	0.165433	0.0564066	0.658094
