 	il	y	a	beaucoup	d'	escargots	dans	ce	ruisseau	</S>
o	0.269321	0.505452	0.117218	0.0173478	0.0241279	0.019675	0.0241239	0.0140737	0.00661577	0.002044
k	0.077098	0.214819	0.248739	0.0527558	0.0649048	0.0687702	0.0315222	0.0264	0.160935	0.0540557
y	0.00979713	0.0919883	0.121916	0.0786043	0.0594701	0.204681	0.0469602	0.0237627	0.326893	0.035927
ε	0.0106842	0.108258	0.160951	0.140393	0.116646	0.196789	0.0367498	0.0222783	0.170236	0.0370142
s	0.0880043	0.262277	0.154629	0.0547171	0.0961638	0.0567143	0.0205468	0.0463313	0.13908	0.0815366
í	0.082757	0.0787851	0.0683873	0.0640362	0.1052	0.184894	0.168025	0.0887498	0.0520082	0.107158
m	0.186157	0.104472	0.191384	0.228846	0.117397	0.063256	0.0618354	0.0203976	0.003155	0.0230992
ú	0.19213	0.0261285	0.18978	0.31599	0.0793263	0.0102049	0.0477606	0.0594995	0.00764503	0.0715358
ó	0.0584011	0.0291802	0.167706	0.288047	0.264877	0.0622675	0.0401053	0.0229001	0.00592239	0.0605934
d	0.0192119	0.0169688	0.180161	0.269234	0.197188	0.117687	0.0977124	0.0480026	0.0202892	0.0335453
i	0.00208861	0.000431565	0.0126435	0.108395	0.0532503	0.0201618	0.218844	0.179245	0.0212812	0.38366
l	0.00794476	0.00259	0.0328257	0.155422	0.12779	0.0770023	0.236618	0.187597	0.0704839	0.101726
a	0.00984471	0.00351445	0.0250663	0.10755	0.119412	0.129393	0.147012	0.133202	0.0485259	0.27648
k	0.0178512	0.00907616	0.0212865	0.103181	0.104751	0.136792	0.101018	0.115076	0.29229	0.0986779
í	0.00440428	0.0124493	0.0152206	0.0276258	0.0946751	0.518208	0.0662063	0.0321511	0.178216	0.050843
e	0.000911607	0.00419504	0.0071506	0.0131495	0.0411302	0.515207	0.0939138	0.0174434	0.193898	0.113001
m	0.00103226	0.00341289	0.00650523	0.0128475	0.06379	0.181322	0.214308	0.177814	0.210606	0.128363
b	0.0269822	0.0144562	0.0331861	0.0739774	0.102333	0.069848	0.172278	0.233815	0.0513083	0.221816
é	0.0162364	0.0101813	0.015262	0.0384517	0.179048	0.149029	0.101656	0.107185	0.193027	0.189923
</S>	0.00183551	0.0039593	0.0100561	0.0224563	0.060377	0.147544	0.158863	0.0838168	0.12393	0.387162
