 	il	a	assemblé	les	travailleurs	</S>
w	0.739481	0.165315	0.0318598	0.0621761	0.000704977	0.000462603
a	0.908287	0.033677	0.00250933	0.054764	0.000457603	0.000304816
a	0.0945119	0.645576	0.111936	0.086673	0.00695406	0.0543492
b	0.0353418	0.436033	0.328051	0.125826	0.0346844	0.0400642
é	0.0559063	0.152143	0.534088	0.206516	0.00533645	0.0460094
í	0.00661734	0.0807772	0.383969	0.168449	0.137103	0.223084
a	0.00703497	0.0476035	0.111746	0.749271	0.0584417	0.0259036
s	0.00115924	0.0425901	0.247984	0.247655	0.416641	0.0439714
á	7.33882e-05	0.00424653	0.0399549	0.0881702	0.796757	0.0707977
l	0.00334306	0.0140674	0.0416756	0.197934	0.560046	0.182933
i	0.0043816	0.0181987	0.202124	0.439129	0.184476	0.151692
e	0.00212882	0.0105628	0.0484236	0.347254	0.301681	0.28995
y	0.000772714	0.00859282	0.0610655	0.0871936	0.533865	0.308511
ú	0.000156596	0.00455472	0.0140338	0.0460989	0.646748	0.288408
m	0.000441486	0.00173554	0.00486473	0.0627838	0.112295	0.81788
b	0.00606385	0.013077	0.0114383	0.318027	0.0200676	0.631326
u	0.00204737	0.00576191	0.016658	0.230537	0.0170338	0.727962
</S>	0.000580827	0.00421461	0.0107369	0.150515	0.0291673	0.804785
