 	cet	enfant	veut	partir	à	brazaville	clandestinement	</S>
m	0.766211	0.210568	0.00230162	0.00203067	0.010131	0.00453753	0.00411925	0.000100727
w	0.041362	0.954775	0.00128886	0.000175914	0.00124796	0.000372185	0.000101147	0.000676446
á	0.00852321	0.990302	0.000272317	0.000238817	0.000215855	0.000257968	0.000175165	1.47777e-05
n	0.134367	0.861707	0.000237683	0.000295943	0.000611695	0.000633267	6.04894e-05	0.00208709
a	0.143889	0.574079	0.00955879	0.021219	0.0496023	0.0408398	0.0105652	0.150247
w	0.694942	0.104075	0.0971745	0.0197665	0.0271238	0.0167739	0.0133244	0.0268201
ó	0.28934	0.028895	0.105052	0.0368948	0.133064	0.131261	0.0383846	0.237108
l	0.138828	0.0218016	0.379104	0.0272767	0.107809	0.0264451	0.0104892	0.288246
á	0.0587623	0.0136697	0.0998117	0.0322078	0.0993306	0.044293	0.0338855	0.618039
a	0.281317	0.380691	0.134018	0.0483956	0.0408516	0.0258767	0.0126509	0.0761991
p	0.00756394	0.00321259	0.65666	0.315595	0.00542264	0.00156059	0.00337586	0.00660965
f	0.00121817	0.00027623	0.652039	0.329955	0.00541185	0.000342544	0.00111098	0.00964621
ú	0.00550088	0.000973255	0.419663	0.519115	0.0316563	0.00136161	0.00548478	0.0162449
r	0.0191959	0.00540934	0.248978	0.486311	0.158237	0.00890558	0.0231051	0.0498583
á	0.0295457	0.00127207	0.207547	0.285395	0.292324	0.0403664	0.0153914	0.128158
o	0.0622571	0.0271355	0.0363237	0.109655	0.534708	0.183307	0.0303727	0.0162409
d	0.00205806	0.00151768	0.0427174	0.487384	0.263522	0.0219231	0.168361	0.0125168
z	0.000806104	0.000387837	0.0233442	0.550388	0.114684	0.00151429	0.264097	0.0447788
w	0.00476166	0.00783576	0.0364454	0.750736	0.0848793	0.0135729	0.0381887	0.0635801
á	0.00988722	0.00463788	0.0408892	0.302741	0.145396	0.0105673	0.173464	0.312417
n	0.00474623	0.000929547	0.0046672	0.0315885	0.183071	0.378791	0.271876	0.12433
g	0.00505647	0.00235781	0.000174503	0.000722269	0.020528	0.890905	0.0101813	0.0700748
y	0.00269128	0.00165488	0.000320896	0.00122779	0.0223383	0.94636	0.0111253	0.0142813
ε	0.000729069	0.00061261	0.00129151	0.00768935	0.134867	0.639451	0.0353151	0.180044
l	0.00227953	0.000876209	0.00164239	0.00400108	0.113966	0.275275	0.0347742	0.567185
έ	0.0009343	0.000484797	0.00271785	0.00645237	0.188033	0.286875	0.150125	0.364377
m	0.00126713	3.93999e-05	0.00110872	0.00105886	0.0975499	0.0962225	0.1258	0.676953
á	0.0108583	0.00487814	0.00675664	0.00776093	0.0971833	0.117762	0.254682	0.500119
b	0.00292029	0.00107679	0.0154252	0.0164177	0.119145	0.117102	0.333907	0.394005
h	0.00176276	0.000657105	0.00631121	0.0176042	0.0908763	0.0466326	0.693338	0.142818
í	0.00041664	3.21715e-05	0.00240626	0.0168967	0.0317062	0.055188	0.547961	0.345393
s	0.00157094	3.3835e-05	0.00443951	0.0122998	0.0595988	0.106968	0.223407	0.591682
i	0.00104315	5.12892e-05	0.0075412	0.0366227	0.0269546	0.167689	0.17567	0.584428
</S>	0.00187871	5.76483e-05	0.00511785	0.00701793	0.038357	0.138516	0.0838664	0.725188
