 	combien	de	poules	as-tu	achetées	</S>
n	0.649718	0.325682	0.00804761	0.0157192	0.000162894	0.000669789
ω	0.745205	0.236546	0.00648702	0.0101225	0.000679048	0.000960348
ó	0.21194	0.535676	0.242151	0.00322134	0.0039934	0.00301805
s	0.00855729	0.121396	0.82318	0.00595811	0.0197842	0.0211241
ó	0.000801802	0.0306295	0.809815	0.0028519	0.0370363	0.118866
m	0.00375555	0.0102213	0.557416	0.00897683	0.22824	0.19139
b	0.0121082	0.0261451	0.484076	0.0744659	0.190068	0.213137
i	0.186341	0.252462	0.152677	0.182241	0.0471696	0.179109
a	0.0693304	0.0239878	0.0136329	0.759481	0.0716671	0.0619009
t	0.00262865	0.0132949	0.0109422	0.109132	0.803884	0.060118
s	0.000676224	0.00281594	0.0265347	0.0143983	0.890134	0.0654405
ó	0.000802558	0.00243734	0.143531	0.0103851	0.830127	0.0127165
s	0.00244292	0.00359506	0.0435372	0.0635269	0.605486	0.281412
ó	0.000714919	0.00208364	0.0315503	0.00778785	0.857492	0.100371
k	0.00196896	0.0015267	0.00872372	0.0798216	0.321116	0.586843
w	0.00565829	0.00959754	0.00293229	0.145099	0.658285	0.178428
έ	0.0128372	0.0096193	0.0238875	0.0998093	0.782075	0.0717715
ε	0.000410833	0.000519327	0.00481104	0.0385289	0.195512	0.760218
</S>	0.00344878	0.0028172	0.00122289	0.0431069	0.0749312	0.874473
