 	les	hommes	ont	une	âme	</S>
b	0.372585	0.624725	0.00220751	0.000340344	8.51764e-05	5.72169e-05
a	0.0572878	0.93669	0.00515702	0.000713102	9.66105e-05	5.5982e-05
r	0.0272546	0.970119	0.00220211	0.000201908	6.21353e-05	0.000160674
e	0.883771	0.113387	0.00133922	0.000333134	0.000248039	0.000921057
á	0.497403	0.107983	0.186677	0.0596819	0.0322978	0.115957
d	0.0228076	0.00796444	0.348079	0.44395	0.0824681	0.0947314
í	0.00719714	0.00598431	0.447385	0.12841	0.0412842	0.369739
l	0.0191904	0.0125362	0.315287	0.478992	0.0624145	0.11158
a	0.0121851	0.00316046	0.343158	0.33174	0.0599567	0.2498
o	0.0396434	0.0515426	0.1567	0.202444	0.457231	0.092438
l	0.00110909	0.000623846	0.00993329	0.0455904	0.935257	0.00748648
í	4.34846e-05	0.000121742	0.00400863	0.0781712	0.90367	0.0139852
m	0.00031132	0.00023586	0.0216128	0.164628	0.736873	0.0763386
i	0.00250886	0.000837085	0.0284963	0.239763	0.276191	0.452204
</S>	0.0132522	0.00750719	0.0696623	0.196756	0.0488693	0.663953
