 	on	a	arrêté	le	travail	à	midi	</S>
l	0.858817	0.0822502	0.023642	0.0236999	0.00434918	0.00530959	0.00164303	0.000288767
é	0.23013	0.301466	0.231705	0.170816	0.0160783	0.0284806	0.0174436	0.00388015
s	0.0988515	0.431271	0.302051	0.0860415	0.0108943	0.0127396	0.0282045	0.0299468
í	0.016422	0.203532	0.265576	0.0521593	0.102733	0.0141359	0.0396238	0.305818
í	0.0451705	0.116045	0.198415	0.0924847	0.0324786	0.061189	0.100563	0.353655
s	0.0387434	0.210379	0.363156	0.186644	0.0949603	0.0394786	0.0057996	0.0608391
i	0.00944182	0.180619	0.500968	0.153895	0.0576196	0.0239416	0.00304634	0.0704688
i	0.0297299	0.0967884	0.203141	0.402272	0.133601	0.0500894	0.00953002	0.0748473
s	0.00458383	0.060427	0.204205	0.397186	0.271281	0.0271887	0.0109748	0.0241543
á	0.000363418	0.0195363	0.1003	0.1159	0.676093	0.0258704	0.0255099	0.036428
l	0.0124083	0.0261405	0.122337	0.162272	0.369871	0.0570094	0.0916428	0.158319
a	0.0244299	0.0337026	0.110566	0.338298	0.201854	0.148463	0.0592974	0.0833884
l	0.00727616	0.0197843	0.053674	0.143122	0.306872	0.254214	0.0931291	0.121927
a	0.00710985	0.0169394	0.0563147	0.0759736	0.32461	0.140696	0.0789893	0.299367
s	0.00367183	0.0100847	0.0274569	0.0887665	0.248693	0.252833	0.239497	0.128997
w	0.0015306	0.00753927	0.0278816	0.0378599	0.364286	0.103507	0.329374	0.128022
έ	0.000971469	0.00260597	0.0103585	0.0268016	0.0611606	0.0747671	0.737793	0.0855416
b	4.6505e-05	0.000922405	0.00705177	0.0340532	0.0779089	0.14929	0.434164	0.296564
h	0.00732688	0.00786336	0.0372042	0.107837	0.0672511	0.112116	0.407338	0.253064
έ	0.000257784	0.00106746	0.00539576	0.0686928	0.0129162	0.157386	0.585709	0.168575
y	0.00253	0.00625483	0.0101742	0.0333475	0.00919217	0.384749	0.265639	0.288114
á	0.00617398	0.0332771	0.0473272	0.0614391	0.0193313	0.353804	0.305222	0.173425
m	0.00548484	0.00769852	0.0191889	0.027421	0.012635	0.17893	0.636147	0.112495
w	0.00278098	0.00792375	0.0136023	0.0181781	0.0129739	0.248499	0.536383	0.159659
é	0.0140689	0.0029897	0.00324873	0.00667357	0.0109314	0.035705	0.888326	0.0380569
s	0.0096896	0.00461105	0.00436568	0.0204806	0.00765566	0.323851	0.49387	0.135477
é	0.00757864	0.0053643	0.0111652	0.0237489	0.00969573	0.07833	0.653722	0.210395
</S>	0.000574974	0.0037789	0.0071757	0.0130959	0.0131712	0.185035	0.152399	0.624769
