 	il	a	mangé	la	partie	dure	des	fesses	d'	un	singe	</S>
w	0.944929	0.04633	0.000513028	0.0028964	0.000149842	0.00135925	0.00125493	0.000544214	0.0007648	0.00073667	0.000490162	3.15195e-05
a	0.85042	0.12089	0.00444455	0.0164046	0.000950153	0.00254811	0.000691081	0.00143186	0.000874279	0.000879537	0.000453914	1.16576e-05
á	0.0447572	0.747723	0.120661	0.0615591	0.00406117	0.00230772	0.00155134	0.00242568	0.00797229	0.00500947	0.000250917	0.00172129
d	0.00724351	0.0605053	0.871304	0.0183023	0.0075984	0.00249912	0.00239969	0.00603863	0.00727155	0.0055938	0.00125469	0.00998893
z	5.97882e-05	0.00240603	0.987028	0.00422818	0.00395529	0.000437999	6.04352e-05	0.000230803	0.000151854	6.79967e-05	2.42701e-05	0.00134915
é	0.00235231	0.00473059	0.981648	0.00300298	0.00790474	0.00022016	2.83022e-05	7.17584e-06	8.44228e-06	6.13621e-06	2.45873e-05	6.61019e-05
e	0.0159392	0.0639857	0.282967	0.203532	0.0374401	0.0219168	0.0217849	0.0956493	0.0340614	0.0240526	0.00236319	0.196308
a	0.00162564	0.0171518	0.00910544	0.286852	0.471158	0.162214	0.0186895	0.0108629	0.00891857	0.00397449	0.00373181	0.00571529
m	0.000164599	0.00337293	0.00274232	0.0960954	0.721795	0.103841	0.0125449	0.00871366	0.00697211	0.0050159	0.0162389	0.0225028
b	9.17036e-05	0.00170123	0.00242535	0.0197015	0.75346	0.179663	0.0208997	0.00831524	0.00203949	0.00246597	0.000754005	0.00848292
á	7.54955e-05	0.000265881	0.000508038	0.00951317	0.495026	0.462404	0.0107556	0.00169316	0.00110268	0.000750922	0.00105134	0.0168537
r	0.000115893	0.00161978	0.000443033	0.0248402	0.093486	0.608654	0.0981807	0.00333353	0.00999836	0.00515972	0.00293428	0.151235
á	0.00660382	0.00682233	0.000424414	0.0789488	0.149424	0.337278	0.140783	0.0297631	0.0371064	0.0115941	0.00859592	0.192656
m	0.00755629	0.0125321	9.93517e-05	0.0733692	0.0178648	0.20618	0.455437	0.135895	0.0485359	0.015791	0.00432741	0.0224124
á	0.00322679	0.00216884	3.40069e-05	0.0103524	0.0174451	0.15946	0.468894	0.142751	0.046294	0.0484347	0.00417857	0.0967601
k	0.00431828	0.00538069	0.000265131	0.01517	0.0271784	0.0693555	0.244113	0.253386	0.130811	0.0956139	0.126173	0.0282345
y	0.000861439	0.000516018	6.90715e-05	0.00411518	0.00749674	0.0181743	0.0931531	0.108418	0.186367	0.0682984	0.459583	0.0529484
é	0.000112679	8.66158e-05	1.82848e-05	0.000531223	0.00252938	0.0114857	0.0591951	0.0466802	0.109581	0.0626524	0.681376	0.025751
m	1.80185e-05	0.000108008	0.000102316	0.0013217	0.00127495	0.00928741	0.0611274	0.109377	0.292709	0.150345	0.252618	0.121711
a	0.000106841	3.70528e-05	1.50586e-05	0.0013529	0.00567018	0.073859	0.253109	0.0374156	0.121951	0.123818	0.175715	0.206951
</S>	0.000790062	0.00165688	4.34085e-05	0.00452718	0.000784319	0.0107713	0.0441943	0.0921254	0.212119	0.231481	0.0454784	0.356028
