 	le	guérisseur	a	crachoté	de	l'	herbe	mâchée	sur	le	malade	</S>
n	0.563568	0.414952	0.00804767	0.0056977	0.0034253	0.00202695	0.0015887	8.34223e-05	0.000240628	0.000190636	0.000172603	5.50818e-06
g	0.269707	0.728976	0.000818086	2.22256e-05	0.000160693	0.000156015	3.76038e-05	1.88209e-06	3.73187e-05	5.85542e-05	2.24044e-05	2.14825e-06
a	0.0399202	0.959322	0.000421036	4.67212e-05	5.68766e-05	0.000136282	3.59422e-05	3.50248e-06	1.46251e-05	2.05472e-05	2.05821e-05	1.65139e-06
n	0.188676	0.791618	0.0135204	0.00138538	0.000393037	0.000467535	0.000244841	8.11629e-05	0.000405174	0.000237001	0.000384456	0.00258667
g	0.1411	0.777652	0.0273948	0.0105805	0.00564761	0.00477002	0.00297704	0.00264899	0.00153571	0.000674985	0.00025331	0.0247652
a	0.233845	0.627708	0.0771538	0.0134232	0.00537659	0.00609763	0.00547364	0.00415748	0.00211127	0.00108894	0.00102941	0.0225343
á	0.0899834	0.0192713	0.828742	0.00512674	0.0266477	0.00617347	0.00275852	0.00236418	0.00619659	0.00312066	0.000136003	0.0094791
m	0.0120063	0.0155818	0.538497	0.292213	0.0593781	0.0246645	0.00930098	0.00921063	0.0136263	0.0151991	0.00167253	0.00864988
i	0.0025811	0.00359943	0.349034	0.367811	0.129681	0.0941304	0.0253687	0.00862784	0.00514284	0.00652801	0.000289033	0.00720647
b	0.000614073	0.00144596	0.0584832	0.872457	0.0300295	0.0184362	0.00721627	0.00296705	0.00109017	0.00116175	0.00173243	0.00436657
h	0.000109826	8.95298e-05	0.00971342	0.965709	0.0103396	0.00708129	0.00248915	0.00124448	0.000199537	0.000128671	0.000388178	0.0025071
á	0.000101609	0.000123899	0.00448733	0.971599	0.00640873	0.00611387	0.00682029	0.00136339	0.000201794	0.000164978	0.00058724	0.0020283
m	0.000107602	0.000124342	0.0173529	0.479289	0.096044	0.15	0.125709	0.109854	0.00484385	0.00254612	0.00267502	0.0114544
b	0.00152557	5.20382e-05	0.0153855	0.267843	0.213366	0.392036	0.0986564	0.0051157	0.00272635	0.00103452	9.2226e-06	0.00224885
á	0.00102285	7.34875e-05	0.034384	0.21144	0.242529	0.380741	0.101939	0.00902672	0.00330868	0.00116546	0.000159609	0.0142098
l	0.00189502	0.00015248	0.0261094	0.0149274	0.309891	0.423456	0.165384	0.0344312	0.0142089	0.00561068	0.000363999	0.00356983
e	0.00136802	0.000113069	0.00828659	0.00770761	0.0793725	0.447956	0.226808	0.105451	0.0321402	0.00986492	0.00234285	0.0785891
t	0.00075921	4.89536e-05	0.00529811	0.00320593	0.0510746	0.186947	0.379975	0.251597	0.0624777	0.0164121	0.0141232	0.0280812
s	0.000251412	4.53899e-05	0.0032	0.00909305	0.0362195	0.122079	0.236484	0.496208	0.0478556	0.00435814	0.0306657	0.0135403
a	1.98343e-05	4.37058e-06	0.000545444	0.0116733	0.0127835	0.0549773	0.19224	0.614011	0.0579327	0.00567834	0.0328175	0.0173166
t	6.19592e-05	1.00547e-05	0.00128618	0.00208406	0.00973663	0.027804	0.101996	0.736361	0.0380942	0.00856051	0.0266109	0.0473943
s	0.000418897	3.12924e-05	0.00158691	0.00260018	0.0119034	0.0317137	0.0749845	0.604948	0.0963251	0.00825469	0.039541	0.127692
a	3.62963e-05	4.61751e-06	0.000482883	0.00707709	0.00800084	0.0338152	0.102165	0.668482	0.0567247	0.00573471	0.0163339	0.101142
e	0.000263185	2.65827e-05	0.00171054	0.00271516	0.00945038	0.0204685	0.0578693	0.322097	0.149671	0.0426183	0.12736	0.265749
m	0.000305864	1.9726e-05	0.0100328	0.000921064	0.0179232	0.0143129	0.0145658	0.0272279	0.413736	0.289948	0.0776936	0.133313
ó	0.000981405	9.30845e-05	0.00916946	0.00644146	0.0258022	0.0246935	0.0437883	0.0331415	0.232384	0.239048	0.0157021	0.368755
o	0.000183008	0.000115761	0.0101359	0.00142725	0.0155258	0.0144642	0.0108895	0.00572754	0.210502	0.501584	0.175838	0.0536077
k	7.17254e-05	9.75155e-05	0.00392304	0.00328685	0.00396332	0.00258287	0.00217538	0.0026152	0.0587206	0.135683	0.738205	0.0486758
ω	3.16929e-06	6.64193e-06	0.00102774	0.00525645	0.00225484	0.00242392	0.00131339	0.000910526	0.0186653	0.0654759	0.856675	0.0459868
n	1.71963e-06	6.96569e-07	3.75166e-05	8.57359e-05	7.85025e-05	0.000122308	0.000154486	0.000191151	0.00117645	0.000820704	0.995492	0.00183874
í	0.000315289	2.38086e-05	0.000343355	0.000598177	0.00077442	0.00121459	0.00157108	0.00349059	0.0229284	0.0115666	0.885296	0.0718773
</S>	0.000892458	3.65967e-05	0.00161507	0.00097105	0.00690821	0.00780202	0.0137544	0.0201645	0.0906175	0.121266	0.240444	0.495527
