 	ce	panier	de	poisson	fumé	est	déjà	est	plein	d'	insectes	noirs	</S>
o	0.639206	0.26308	0.0303187	0.0303908	0.00645594	0.0071337	0.00108025	0.00447665	0.00359639	0.00871598	0.00425093	0.00111533	0.000178949
t	0.0393681	0.906204	0.0222015	0.00657041	0.00354876	0.00186356	0.00343532	0.00149455	0.0043663	0.00191545	0.00182999	0.00451835	0.00268414
ε	0.0115543	0.908861	0.00803579	0.00308878	0.023241	0.0028751	0.00310819	0.00211681	0.0238346	0.00357304	0.00174829	0.003915	0.00404782
r	0.0520445	0.732098	0.0237235	0.00234967	0.0271131	0.00993754	0.0137735	0.0132588	0.0405741	0.0269983	0.00740527	0.00755534	0.0431682
ε	0.153261	0.496133	0.0247374	0.00242934	0.00838366	0.0074322	0.00197235	0.0166112	0.0641195	0.0967897	0.0189567	0.0762052	0.032968
m	0.12601	0.244991	0.413814	0.0622689	0.0382967	0.0248391	0.00676489	0.0188519	0.0116453	0.0210072	0.00706517	0.00116594	0.0232797
á	0.218522	0.0425176	0.380314	0.12505	0.0983521	0.0679733	0.00926143	0.0216365	0.003212	0.008615	0.00739005	0.00268632	0.01447
s	0.158835	0.0178024	0.123847	0.297309	0.134618	0.0597944	0.0503565	0.0294239	0.0231552	0.027183	0.0164098	0.0075596	0.0537055
w	0.00406051	0.00498004	0.0733973	0.422495	0.244319	0.0424596	0.0923009	0.0199668	0.00246283	0.00584792	0.039102	0.000290095	0.048318
é	0.0130852	0.0196381	0.050755	0.294612	0.402071	0.0314692	0.0347182	0.0161624	0.0164999	0.0224849	0.0467777	0.00288664	0.0488395
m	0.0276105	0.032114	0.202976	0.223175	0.217155	0.138322	0.0348947	0.0492152	0.0285272	0.0156802	0.0108359	0.000890214	0.0186047
ú	0.0343543	0.0172105	0.133603	0.101019	0.2641	0.147758	0.0557082	0.0908379	0.014623	0.0443273	0.0328823	0.00124394	0.0623319
ó	0.0106712	0.00164539	0.0818104	0.0403481	0.0683941	0.215646	0.10924	0.267247	0.101639	0.0545143	0.0234753	0.0040346	0.0213353
d	0.00495517	0.0016416	0.0520075	0.0192943	0.0497013	0.195797	0.314418	0.229921	0.0486023	0.0299361	0.0199636	0.00198007	0.0317816
í	0.000473738	0.000201914	0.00816925	0.0311496	0.0677648	0.0511245	0.505351	0.0725524	0.0047322	0.0130026	0.0840045	0.000355436	0.161118
l	0.00249217	0.000170097	0.0261664	0.058754	0.0265195	0.105849	0.209076	0.222794	0.0607332	0.068466	0.0945708	0.0142324	0.110176
a	0.000993391	0.0019961	0.0103215	0.0216492	0.0153642	0.0433265	0.0988369	0.153391	0.126978	0.140547	0.100307	0.00731606	0.278973
b	0.00466173	0.00244289	0.0101384	0.00614322	0.00837807	0.0292665	0.0235756	0.0924487	0.153447	0.136082	0.120363	0.300329	0.112725
i	0.016682	0.00522985	0.00896134	0.0114032	0.0110108	0.0458176	0.0228973	0.0397483	0.0274002	0.0484899	0.0680435	0.671711	0.0226051
n	0.000351207	0.000510442	0.0010104	0.000528058	0.00229844	0.00697006	0.00532586	0.0169857	0.0682914	0.0794607	0.0279143	0.717363	0.0729906
d	0.000827359	0.00210568	0.000930416	0.000217558	0.00523634	0.0114235	0.0162585	0.0657073	0.257411	0.166948	0.044039	0.319613	0.109282
z	0.00462076	0.0089477	0.00812267	0.00179102	0.0135028	0.0231378	0.0257449	0.0908034	0.138911	0.241088	0.112342	0.14652	0.184469
i	0.000459638	0.00193992	0.00076956	0.000127233	0.00571239	0.00714088	0.00365906	0.0304291	0.36503	0.237065	0.0222191	0.217166	0.108282
</S>	0.000991713	0.00197152	0.00298008	0.000604792	0.00289008	0.0264998	0.0176218	0.0796299	0.118619	0.196556	0.0475706	0.096536	0.407529
