 	les	médicaments	que	j'	ai	pris	ont	diminué	mes	maux	de	tête	</S>
m	0.419574	0.395006	0.12267	0.0292385	0.0131027	0.00670294	0.00506121	0.000169788	0.00106447	0.00460441	0.00245042	0.000331397	2.40716e-05
a	0.184206	0.564679	0.0985666	0.0255966	0.0475051	0.00245725	0.015967	0.000929074	0.016501	0.00602879	0.0254088	0.000252686	0.0119022
r	0.0314494	0.928643	0.018875	0.000944454	0.00429906	0.00433545	0.00428039	0.00197768	0.00122928	0.000207728	0.000587097	0.00020769	0.0029642
é	0.160748	0.495709	0.021734	0.26486	0.0139152	0.00996748	0.00281843	0.00308839	0.0174558	0.00022909	0.000618366	0.00016384	0.00869206
m	0.176865	0.202074	0.448845	0.0130088	0.0482144	0.0280675	0.0203402	0.00620805	0.004675	0.00227816	0.00382533	0.000394496	0.0452043
á	0.22961	0.154666	0.575024	0.00367086	0.0146664	0.00412426	0.00597633	0.00287634	0.00316282	0.00084885	0.00221523	0.000332941	0.00282629
á	0.0944232	0.0473914	0.275796	0.185715	0.133471	0.118119	0.0531766	0.027756	0.0228311	0.00842196	0.00775526	0.00469621	0.0204477
n	0.0096834	0.0117408	0.0688837	0.0686659	0.263152	0.363219	0.115357	0.0666761	0.00826857	0.0043261	0.00593934	0.00217294	0.0119149
y	0.0286978	0.012721	0.0482486	0.643378	0.101344	0.0398468	0.0124646	0.00329661	0.0890173	0.00309845	0.00325181	0.000369623	0.0142654
w	0.0236969	0.0373933	0.0868304	0.192446	0.191471	0.327326	0.0297728	0.0107492	0.0880494	0.00226011	0.00306729	0.000386407	0.00655144
é	0.0481062	0.0655145	0.199206	0.0242298	0.104369	0.275581	0.0279332	0.034052	0.0794399	0.00544164	0.0111015	0.00137136	0.123655
n	0.00882324	0.0610109	0.224862	0.030993	0.166858	0.305704	0.0372612	0.0419732	0.00862788	0.00471308	0.0118362	0.00317986	0.0941572
g	0.0524385	0.0420386	0.197071	0.221075	0.132752	0.135333	0.028019	0.0126027	0.0393946	0.00922503	0.0154111	0.0034532	0.111186
á	0.0590067	0.0457701	0.245409	0.365434	0.118625	0.0936552	0.0106276	0.0022398	0.0228147	0.00155252	0.00202675	0.000731653	0.0321068
a	0.00738172	0.00238084	0.119859	0.115444	0.309904	0.235537	0.147427	0.0120218	0.00878392	0.0101679	0.0126468	0.00253786	0.0159081
m	0.00153461	0.0043562	0.00677832	0.00782228	0.0841086	0.311306	0.467372	0.0965402	0.00552978	0.00446015	0.00356236	0.00361024	0.00302002
i	0.0050211	0.00632149	0.00759854	0.014849	0.0702574	0.0463766	0.410502	0.356635	0.0609671	0.00282554	0.00796042	0.000827403	0.00985848
d	0.00106616	0.000536993	0.000973453	0.000220785	0.0066713	0.135838	0.177053	0.655455	0.00565804	0.00317136	0.00327307	0.00167619	0.00840584
z	7.21849e-05	5.96481e-05	0.000112794	0.000117972	0.00249309	0.03523	0.0303639	0.911961	0.00479798	0.00265517	0.00147649	0.00170839	0.00895125
e	0.000396184	0.000210957	0.000451333	0.000407495	0.0076316	0.0292907	0.0499537	0.902742	0.00479247	0.000179093	0.00024378	4.56939e-05	0.00365511
m	0.000314707	0.000217337	0.000735857	0.00024021	0.0075966	0.0256532	0.0616354	0.843222	0.00518648	0.00895695	0.00258404	0.0031053	0.040552
í	0.00219268	0.000449333	0.00371225	0.000365185	0.00687481	0.0104476	0.0520814	0.848938	0.0349119	0.00705575	0.00526418	0.000682892	0.0270237
s	0.00268184	0.00153703	0.0166932	0.00848835	0.0278052	0.0202574	0.129966	0.384903	0.203468	0.100066	0.0350186	0.0167235	0.0523926
