 	il	s'	enfuit	devant	le	python	</S>
w	0.698183	0.261531	0.0231662	0.00423937	0.012818	4.00753e-05	2.2171e-05
a	0.705172	0.155799	0.0317636	0.0105756	0.0931315	0.00354212	1.60955e-05
a	0.0921857	0.62181	0.268181	0.00932574	0.00388676	0.00259866	0.00201193
d	0.0454489	0.622166	0.234542	0.0803281	0.007387	0.00250827	0.00762019
u	0.00833133	0.15853	0.74599	0.072913	0.00108002	0.00251894	0.0106364
m	0.00332111	0.0271343	0.606134	0.321303	0.00903653	0.0014037	0.0316675
ú	0.0200693	0.041006	0.314697	0.451715	0.119492	0.0147032	0.038317
m	0.00750982	0.0283991	0.0165281	0.489813	0.205763	0.196333	0.0556545
b	0.00278033	0.0138482	0.0587605	0.29536	0.160742	0.376042	0.0924675
ω	0.000185885	0.000560722	0.00574251	0.164872	0.0653974	0.747079	0.0161617
m	0.000788377	0.00162997	0.000468497	0.0361219	0.0191609	0.831583	0.110247
ω	0.000914078	0.00059935	0.00126861	0.0452602	0.136158	0.734034	0.0817663
</S>	0.00365203	0.00461101	0.000627154	0.0382523	0.0682486	0.157041	0.727568
