 	il	m'	a	acheté	la	robe	et	les	chaussures	</S>
w	0.932408	0.0459013	0.0145587	0.000112644	0.00186834	0.00148285	0.000988224	0.00164004	0.000955866	8.42254e-05
a	0.437822	0.45905	0.0617875	0.00217224	0.0246062	0.00112243	0.00773069	0.00565604	3.30646e-05	1.99263e-05
á	0.128199	0.111245	0.670794	0.0726089	0.0103868	0.00103691	0.00269626	0.00267374	3.20826e-05	0.000327349
s	0.00561186	0.011738	0.135442	0.834258	0.00269865	0.00293983	0.00113998	0.00108014	0.000163633	0.00492793
ó	0.000398032	0.00185678	0.0337382	0.957995	0.00113256	0.0015809	0.000478763	9.19997e-05	5.74673e-06	0.00272242
m	0.00599046	0.00745093	0.0559235	0.904103	0.0104254	0.00473595	0.00347131	0.000820951	0.000236013	0.00684251
b	0.0176418	0.0280318	0.232232	0.609027	0.0554427	0.0075932	0.0107643	0.0042752	0.000740489	0.0342515
i	0.196212	0.0586652	0.11968	0.0960699	0.273898	0.0640749	0.0549843	0.0172921	0.00188409	0.117239
n	0.0564429	0.357695	0.26986	0.00960906	0.248143	0.0122	0.0141386	0.0158252	0.00162387	0.0144632
g	0.00658172	0.896804	0.00877159	0.00992511	0.026526	0.00419564	0.0165484	0.00961442	8.48742e-05	0.0209478
á	0.00349453	0.71222	0.0539057	0.0887516	0.070889	0.0148516	0.0335382	0.0106299	0.000144167	0.0115757
o	0.00411537	0.00742869	0.0502624	0.0102663	0.6497	0.170409	0.0449273	0.0247919	0.00296967	0.0351292
k	8.04847e-05	3.57896e-05	0.00098053	0.0983682	0.0869988	0.784987	0.0097466	0.000966987	0.014532	0.003304
á	6.09817e-05	1.29908e-05	0.000238572	0.00178444	0.0789334	0.877442	0.0251695	0.00154033	0.00674681	0.00807069
n	0.000341959	0.000218277	0.0022265	0.00359462	0.0782325	0.701884	0.0460852	0.00676474	0.0287252	0.131927
d	0.000547335	0.000617267	0.00144066	0.00161757	0.122725	0.685457	0.0932416	0.0210761	0.00245805	0.0708195
á	0.00284931	0.00366239	0.00543129	0.00897271	0.152528	0.488049	0.127263	0.0438335	0.00262219	0.164788
d	0.00357978	0.00275947	0.0100062	0.000990636	0.103229	0.198048	0.349554	0.263101	0.015584	0.0531472
z	0.000553001	0.000647563	0.00193197	0.000408709	0.0238448	0.280684	0.448521	0.0668674	0.00564561	0.170896
a	0.00357899	0.00164126	0.00981682	0.0064576	0.0392416	0.204319	0.429485	0.10838	0.0397213	0.157358
a	0.000770583	0.00031182	0.00124659	0.000535358	0.0441167	0.159609	0.284399	0.146713	0.219008	0.143291
m	4.05909e-05	0.000125724	0.00151844	0.000487318	0.0138459	0.0306123	0.359608	0.353334	0.015308	0.22512
ó	0.00249795	0.000469623	0.00119984	0.000352002	0.0186235	0.0163899	0.168176	0.227474	0.0251928	0.539625
m	0.000257483	0.000264825	0.00158247	0.00107547	0.0175283	0.041284	0.15886	0.16527	0.503647	0.110231
y	0.000342207	0.000152465	0.0016116	0.000665347	0.017075	0.0236432	0.157014	0.115072	0.291441	0.392983
e	5.1534e-05	1.00866e-05	7.57106e-05	0.00041442	0.00103705	0.0110293	0.0306513	0.0182153	0.828335	0.11018
r	8.92032e-05	2.53903e-05	9.73623e-05	0.000270947	0.00160405	0.0176027	0.0802196	0.0560847	0.263727	0.580279
é	0.000745248	0.000523215	0.00103322	0.000546223	0.00813094	0.0277855	0.168567	0.0847558	0.0837297	0.624183
m	0.000333361	0.000586459	0.00105295	9.08206e-05	0.00740783	0.0101323	0.121016	0.171455	0.0437737	0.644152
á	0.00339989	0.00102482	0.00220458	0.000191028	0.0258593	0.00807781	0.125793	0.383504	0.0494325	0.400513
k	0.00520396	0.00545225	0.0134991	0.00212849	0.0274154	0.0188766	0.0762228	0.243784	0.337201	0.270217
o	0.00025886	0.000115923	0.000158359	7.11811e-05	0.00274053	0.018567	0.0301586	0.0312069	0.750242	0.166481
o	0.000195901	5.48794e-05	0.000147155	0.000301211	0.000750038	0.00617765	0.00853973	0.00579247	0.943503	0.034538
</S>	0.000263408	0.000337724	0.00308573	0.000451481	0.0153965	0.017983	0.0709457	0.136147	0.0408498	0.71454
