 	la	somme	d'	argent	est	juste	</S>
m	0.491441	0.403711	0.0928381	0.0012013	0.00929041	0.00110437	0.000414472
b	0.0482101	0.355231	0.131585	0.406204	0.0383109	0.000242164	0.020217
ώ	0.036403	0.704573	0.0284984	0.229791	0.000569094	8.26293e-05	8.29492e-05
n	0.0777899	0.736347	0.127078	0.0520853	0.00318373	0.00025626	0.00325973
g	0.195581	0.449858	0.22087	0.0726987	0.013591	0.00275362	0.0446475
ω	0.331495	0.488393	0.104648	0.0650089	0.00308496	0.000148239	0.00722177
é	0.0598453	0.0686802	0.699536	0.0474284	0.103695	0.003635	0.0171802
d	0.116582	0.0315193	0.517577	0.069208	0.13589	0.0373236	0.0919002
í	0.00845669	0.00434473	0.0367377	0.0291605	0.0569072	0.0181548	0.846238
k	0.0387174	0.00671943	0.112472	0.0164816	0.138262	0.240644	0.446704
o	0.0115791	0.0136592	0.0828482	0.0367023	0.0411436	0.718975	0.0950925
á	0.00121762	0.000686685	0.0296255	0.00865415	0.072274	0.581251	0.306291
k	0.00823393	0.00344464	0.0432498	0.0077003	0.209157	0.298717	0.429498
o	0.007101	0.001472	0.0273609	0.00127616	0.0755631	0.564519	0.322708
a	0.000893574	0.000284481	0.0166862	0.00242548	0.0487444	0.654121	0.276845
</S>	0.0150171	0.00294536	0.029385	0.00366316	0.155899	0.211939	0.581151
