 	il	n'	y	a	personne	pour	fermer	cette	maison	</S>
n	0.0693755	0.071072	0.0969104	0.146245	0.414654	0.0851773	0.0812618	0.0246605	0.0022318	0.00841191
d	0.0721142	0.0179218	0.0203288	0.0183622	0.013134	0.0288523	0.202903	0.185177	0.431249	0.00995774
é	0.0293504	0.0102961	0.00445004	0.00937309	0.00474312	0.00744362	0.0604054	0.0576546	0.801852	0.0144317
e	0.0283969	0.0380002	0.0334052	0.0496179	0.0126596	0.0307438	0.192238	0.163661	0.412235	0.039042
y	0.0965589	0.112976	0.153032	0.101419	0.0984099	0.117215	0.116009	0.107503	0.0501813	0.0466952
é	0.0722991	0.0735111	0.178928	0.134615	0.0391945	0.0536306	0.0744887	0.193168	0.122003	0.0581628
é	0.0971293	0.0806978	0.14312	0.112944	0.0325127	0.0459451	0.0550385	0.18978	0.173317	0.0695148
m	0.00644888	0.0254098	0.0237107	0.031774	0.0304013	0.109637	0.135276	0.109686	0.293256	0.2344
i	0.0113588	0.0184178	0.0141448	0.0541909	0.129181	0.247389	0.0239089	0.0420867	0.0110589	0.448263
k	0.00134288	0.00312677	0.00188652	0.00902392	0.0382246	0.118112	0.0691216	0.0158944	0.023423	0.719845
á	0.000788609	0.00369046	0.00170335	0.00490119	0.0190627	0.0833976	0.318649	0.00879937	0.070644	0.488364
m	0.00215191	0.0211354	0.0304628	0.063354	0.0345279	0.13678	0.104173	0.111728	0.196409	0.299277
b	0.00790097	0.00153578	0.00406495	0.0174072	0.0565491	0.249999	0.0630149	0.0973642	0.0990064	0.403158
á	0.0105015	0.00422261	0.0174978	0.048034	0.114416	0.431884	0.133041	0.0450629	0.0202962	0.175044
o	0.0132823	0.00478933	0.0360544	0.0560568	0.0170438	0.141607	0.045659	0.379839	0.125945	0.179723
k	0.00211213	0.00784293	0.00686596	0.0173649	0.00995057	0.0616962	0.290079	0.0668207	0.135976	0.401292
a	0.000719187	0.00867924	0.00423954	0.00869501	0.0251114	0.100284	0.498589	0.0407168	0.0239502	0.289016
n	0.000145103	0.00265238	0.00426383	0.0128518	0.0392135	0.180092	0.273408	0.0859297	0.0208353	0.380609
g	0.00229678	0.00554734	0.00401951	0.00807665	0.0144024	0.0739691	0.34385	0.0965314	0.0667067	0.3846
i	0.00474061	0.00405873	0.00870745	0.0152417	0.00971157	0.0523394	0.231683	0.168499	0.144938	0.360081
</S>	0.00357734	0.00410391	0.01006	0.00799981	0.00876723	0.0417606	0.0620987	0.316581	0.0629479	0.482104
