 	la	manière	de	gratifier	des	riches	est	différente	de	celle	des	pauvres	</S>
e	0.358535	0.24957	0.213596	0.0630656	0.0449445	0.0181293	0.0106104	0.00612357	0.00658796	0.0032702	0.00786365	0.00293907	0.0147641
k	0.00032517	0.000258961	0.0385876	0.864739	0.0337093	0.0180179	0.00358138	0.0306826	0.00482238	0.00352968	0.000975056	0.000683919	8.69066e-05
ó	0.00120941	0.000215941	0.0289826	0.824991	0.0201263	0.00851992	0.000853867	0.102382	0.00381302	0.00295187	0.00122172	0.00391359	0.000819071
n	0.000304007	0.00138594	0.0593181	0.908582	0.0140098	0.0041856	0.000324395	0.00961003	0.000585867	0.000588043	0.000180268	0.000670009	0.000255539
d	0.0688247	0.0246587	0.016456	0.659298	0.0501262	0.0324361	0.016978	0.0634644	0.0245019	0.0169618	0.00587903	0.0110549	0.00936006
í	0.322049	0.124389	0.0661078	0.164256	0.0683023	0.0832317	0.0372858	0.0713189	0.0170777	0.0106608	0.00283451	0.00462175	0.027865
l	0.199241	0.210524	0.0944579	0.0201525	0.0672023	0.0594151	0.129146	0.0713543	0.0420678	0.0189597	0.0350974	0.00499566	0.0473867
í	0.19906	0.0466358	0.115532	0.024695	0.0661389	0.0558135	0.0855626	0.0879291	0.0603096	0.0304591	0.0189612	0.00404351	0.204859
y	0.242886	0.198537	0.216605	0.0578814	0.103296	0.0327758	0.0321207	0.0417105	0.0224371	0.0119125	0.00977509	0.00244049	0.0276217
i	0.0545218	0.0501699	0.056743	0.064148	0.210327	0.0741078	0.0405756	0.133191	0.0495559	0.082302	0.0151849	0.00844318	0.160729
n	0.232737	0.0654471	0.0398101	0.0638927	0.286692	0.104417	0.0387255	0.0413884	0.0227627	0.030294	0.00928965	0.00541629	0.059128
έ	0.0419691	0.0244587	0.0150817	0.022125	0.155679	0.176425	0.106213	0.126706	0.0613901	0.0641945	0.0178487	0.00908064	0.178828
ε	0.00551589	0.0102774	0.0704105	0.0175698	0.19708	0.207549	0.23927	0.0305021	0.100211	0.0483087	0.0216827	0.00127007	0.0503527
e	0.00837131	0.00182436	0.0146975	0.0442242	0.084046	0.329512	0.185845	0.257347	0.0355248	0.0213051	0.00800992	0.00445853	0.00483398
d	0.00691259	0.00115702	0.0104081	0.0170275	0.0347555	0.157313	0.127269	0.496465	0.0628128	0.0433597	0.0154993	0.0078906	0.0191298
i	0.00127222	0.000183253	0.00202842	0.0017647	0.0200355	0.109555	0.0790873	0.636251	0.055513	0.0667886	0.0103235	0.00701747	0.0101798
p	0.00246553	0.000176315	0.00216519	0.000901402	0.0174777	0.101275	0.189147	0.420564	0.135204	0.0814198	0.0292936	0.00506133	0.0148495
é	0.00245852	0.000418506	0.00143799	0.00330446	0.00563927	0.0247203	0.0654058	0.7464	0.0559048	0.056459	0.00851879	0.0249878	0.00434528
r	0.000455185	0.000395671	0.00199341	0.00156185	0.00549008	0.0162459	0.0490958	0.616423	0.0885271	0.105296	0.0348632	0.0331908	0.0464611
é	0.00228933	0.000653599	0.00177286	0.00378301	0.00442375	0.0270338	0.0639111	0.57859	0.140159	0.0958463	0.0261624	0.0227649	0.0326099
n	0.00230971	0.00267427	0.00514361	0.00122286	0.00937946	0.0299584	0.0869357	0.0842026	0.326042	0.233639	0.186133	0.0136473	0.018712
á	0.00801874	0.00635004	0.00511899	0.00412517	0.00579995	0.0192379	0.051114	0.119128	0.296039	0.306663	0.081189	0.0248066	0.0724086
l	0.00185669	0.000689127	0.00264059	0.00222581	0.00751917	0.0101121	0.0368351	0.045814	0.307027	0.340254	0.187498	0.0365487	0.0209809
a	0.0121637	0.00381211	0.00880093	0.00321167	0.00720211	0.0078091	0.0161012	0.0523287	0.225762	0.352881	0.111553	0.0656893	0.132686
y	0.00541481	0.001702	0.00158975	0.00166983	0.00362404	0.0038864	0.0127704	0.0167796	0.182724	0.342606	0.201955	0.187583	0.0376959
á	0.0159982	0.0196124	0.0120693	0.00293723	0.0056493	0.00780831	0.0200221	0.0775397	0.166174	0.412976	0.0932549	0.124743	0.0412154
k	0.00192402	0.00132713	0.00183409	0.000724189	0.00197108	0.0013626	0.0106889	0.0204734	0.092728	0.199641	0.104825	0.519799	0.042702
á	7.41036e-05	5.87095e-05	0.00047297	0.000276113	0.000153136	0.000355345	0.000650045	0.00599001	0.0144885	0.0348008	0.0347399	0.888296	0.0196445
m	0.000118376	0.000139616	0.000898322	0.00022903	0.000220635	0.000229807	0.00175395	0.0224278	0.017902	0.033056	0.0276397	0.791182	0.104203
b	0.00497144	0.000721621	0.000326868	0.000313349	0.00190042	0.00446849	0.0103098	0.00364778	0.105483	0.0893437	0.281761	0.252917	0.243836
i	0.0594178	0.00499635	0.000667908	0.00126461	0.00456369	0.0222708	0.0405119	0.0114102	0.145711	0.0647163	0.104925	0.184067	0.355477
</S>	0.00261661	0.000808665	0.00120046	0.000533614	0.00162106	0.00358679	0.00917643	0.00649433	0.0865359	0.0989118	0.157763	0.172508	0.458243
