 	range-moi	cet	habit	dans	le	sac	</S>
m	0.913501	0.0516805	0.0272538	0.00602711	0.00133158	0.000153704	5.24475e-05
ó	0.714312	0.157815	0.0483653	0.0252313	0.0350214	0.0034509	0.0158045
s	0.983672	0.00786871	0.00729463	0.000237528	0.000318195	6.76963e-05	0.000540943
ώ	0.905473	0.048528	0.0273927	0.00458702	0.00149796	0.000711964	0.0118096
s	0.77113	0.15581	0.023099	0.0183225	0.00418384	0.000885611	0.0265685
ώ	0.751577	0.147101	0.0142565	0.0186731	0.0151592	0.00230821	0.0509251
ώ	0.145821	0.51457	0.150362	0.0763479	0.0244887	0.00854209	0.0798683
n	0.368728	0.275382	0.289176	0.0361928	0.0170757	0.00183165	0.011614
g	0.416318	0.252485	0.236427	0.0332973	0.0106739	0.0022729	0.0485263
á	0.122554	0.20783	0.624901	0.0233299	0.00512624	0.00892999	0.00732805
o	0.0345737	0.244239	0.235216	0.323616	0.0790957	0.00507123	0.0781889
k	0.141434	0.0515726	0.356378	0.310143	0.0794293	0.0256705	0.0353719
á	0.0413571	0.00635719	0.710503	0.059079	0.0202596	0.13555	0.0268943
n	0.0150848	0.0352025	0.366285	0.369045	0.0813732	0.0263785	0.106631
d	0.109446	0.0235868	0.555307	0.157922	0.0752854	0.0236218	0.0548304
á	0.0211563	0.0233658	0.374728	0.114096	0.0712085	0.181353	0.214093
m	0.00546445	0.036683	0.0307488	0.383053	0.400913	0.0394836	0.103654
ú	0.0180743	0.0621177	0.0618091	0.12566	0.242553	0.115348	0.374438
s	0.06059	0.0252279	0.0811947	0.185704	0.300002	0.126261	0.22102
á	0.0283247	0.026288	0.00755866	0.066736	0.115946	0.0808145	0.674333
p	0.00506108	0.00582116	0.0322108	0.0346961	0.111796	0.647516	0.162899
ε	0.000344525	0.000356532	0.00228101	0.00430307	0.0226142	0.939316	0.0307849
n	0.0157165	0.00159661	0.00495928	0.015726	0.0383855	0.863232	0.0603843
g	0.018543	0.00261018	0.0086833	0.021784	0.097548	0.756553	0.0942785
ε	0.00131333	0.00453636	0.0369313	0.0241442	0.0513795	0.828199	0.0534962
</S>	0.00351522	0.0143425	0.00550683	0.0467209	0.136801	0.0406766	0.752437
