 	la	chaleur	fait	pourrir	les	aliments	</S>
y	0.506823	0.456236	0.0125987	0.00360846	0.00916423	0.0111927	0.000377694
á	0.185257	0.800296	0.00604635	0.00298019	0.00169546	0.000234341	0.00348994
n	0.073341	0.863877	0.0126116	0.0375828	0.00739234	0.000240972	0.00495442
g	0.0188636	0.849083	0.0273943	0.010335	0.0375359	0.00730371	0.0494845
a	0.0442739	0.925732	0.0117944	0.0045393	0.0022424	5.1923e-05	0.0113658
l	0.0343343	0.0681273	0.355904	0.125035	0.119519	0.000838265	0.296242
á	0.0889155	0.185894	0.357465	0.051981	0.059524	0.00266803	0.253553
l	0.128493	0.209373	0.251753	0.276462	0.0990416	0.0113754	0.0235022
í	0.0477636	0.189586	0.422979	0.139353	0.028406	0.000487819	0.171423
i	0.0654475	0.200763	0.353291	0.112396	0.120992	0.038836	0.108274
s	0.00195204	0.003281	0.147116	0.802358	0.0133938	0.00115839	0.0307403
έ	0.000692123	0.000649442	0.00946408	0.982229	0.00141217	0.00017149	0.00538144
m	0.000825107	0.00129298	0.0640483	0.806334	0.0503417	0.00246903	0.0746884
b	0.00592496	0.0090732	0.0670407	0.348996	0.347003	0.0756139	0.146349
é	0.0100716	0.00590962	0.0145995	0.0230975	0.136638	0.686972	0.122711
s	0.0104418	0.0188222	0.0990976	0.027799	0.298014	0.431839	0.113987
έ	0.0102195	0.0105522	0.0512599	0.56634	0.156083	0.0512012	0.154344
b	0.00466483	0.00918422	0.0164281	0.152721	0.371835	0.242091	0.203075
e	0.00089346	0.0030071	0.00688175	0.0117455	0.0170318	0.954409	0.00603176
a	0.000549504	0.000853206	0.0148534	0.022286	0.0444582	0.464867	0.452132
b	0.0109799	0.00264423	0.0787391	0.0989869	0.241117	0.0367312	0.530802
í	0.0105921	0.022416	0.289437	0.11571	0.186875	0.0887138	0.286257
d	0.00229383	0.00759054	0.0249211	0.00971153	0.0706262	0.132509	0.752348
z	0.00591005	0.00392799	0.0192903	0.24487	0.125511	0.0521921	0.548298
á	0.00410496	0.00625425	0.0110202	0.174402	0.154722	0.0406452	0.608851
a	0.00153931	0.000439642	0.00755386	0.02156	0.116428	0.115986	0.736493
</S>	0.00824162	0.00328164	0.0685814	0.0551055	0.151592	0.0384046	0.674793
