 	le	silure	a	deux	piquants	</S>
n	0.675362	0.173491	0.144393	0.00524354	0.000707436	0.000802849
g	0.0959837	0.900731	0.00283645	0.000297292	5.02153e-05	0.000101503
ω	0.00651813	0.992507	0.000825586	9.20132e-05	3.4134e-05	2.28298e-05
l	0.000635607	0.999135	9.11274e-05	7.92616e-05	4.6497e-05	1.23396e-05
ω	0.106991	0.653901	0.129263	0.0635488	0.0111297	0.0351665
a	0.319709	0.0282483	0.524581	0.107872	0.0132927	0.00629682
d	0.372547	0.00804509	0.350037	0.134408	0.0376581	0.097305
í	0.0378421	0.000199691	0.254825	0.367083	0.00653735	0.333513
l	0.0621449	6.98558e-05	0.0748099	0.520323	0.0212697	0.321383
i	0.0443831	0.00116881	0.217324	0.395115	0.0320227	0.309987
t	0.0767005	0.0126058	0.117555	0.103452	0.454072	0.235615
ó	0.00949843	0.000688405	0.0695744	0.0294465	0.804244	0.0865481
b	0.000764907	0.00216212	0.0195638	0.0132462	0.901746	0.062517
h	0.00360717	0.00118911	0.021214	0.0125959	0.850038	0.111355
o	0.00266791	0.00121402	0.0226375	0.0302633	0.752037	0.19118
í	0.014789	0.00133585	0.0581046	0.1151	0.112631	0.69804
b	0.0423143	0.000465881	0.064891	0.417921	0.0325351	0.441873
a	0.0158765	0.000180298	0.0446954	0.565603	0.262026	0.111619
á	0.00485519	0.000210456	0.0159747	0.218934	0.110213	0.649812
</S>	0.0222202	0.000125136	0.0308579	0.479652	0.00347304	0.463671
