 	la	manière	dont	mon	enfant	s'	est	noyé	est	mystérieuse	</S>
e	0.110093	0.720936	0.128397	0.0362173	0.00151039	0.00150268	0.000464646	7.7637e-05	0.000276886	2.3755e-05	0.000499912
l	0.00266403	0.00355298	0.00332299	0.00202775	0.00262645	0.0592878	0.0474365	0.873199	0.00316979	0.00220343	0.000509766
i	0.00285472	0.00980683	0.0128636	0.000992687	0.0031502	0.0853114	0.0717878	0.776112	0.000919021	0.00243602	0.0337661
n	0.00123294	0.000816512	0.00959269	0.000167024	0.00344124	0.0364627	0.060013	0.885364	0.000965685	0.000970498	0.000973314
d	0.059264	0.0152293	0.0209826	0.00691827	0.0243931	0.0605443	0.0714993	0.692403	0.0143436	0.0118213	0.0226013
í	0.037876	0.0112178	0.0134987	0.00219793	0.00836629	0.0140998	0.0367498	0.756195	0.00871969	0.0158192	0.09526
l	0.014386	0.00647489	0.0671401	0.0207575	0.0300665	0.137514	0.219138	0.254979	0.0937025	0.0641188	0.0917227
í	0.0205462	0.00510534	0.00863671	0.0203961	0.0080091	0.0325443	0.0955099	0.304641	0.0312239	0.0499133	0.423475
y	0.0700964	0.029287	0.247582	0.0512721	0.0461949	0.11495	0.128533	0.108237	0.0975515	0.0555516	0.0507444
é	0.0491145	0.0426967	0.466138	0.0283341	0.00990283	0.027337	0.0482834	0.0896657	0.0243298	0.014546	0.199652
é	0.0757414	0.0439177	0.20402	0.109789	0.0403441	0.104258	0.112383	0.124343	0.0149499	0.0238181	0.146436
l	0.0076098	0.000949812	0.00429238	0.00816885	0.0069376	0.0558688	0.158368	0.687006	0.00436333	0.00478846	0.0616466
i	0.00516085	0.000370212	0.00209849	0.00579196	0.00479488	0.0792276	0.142621	0.72781	0.00113622	0.00650141	0.0244877
n	0.00445898	0.00220273	0.0110491	0.0166671	0.0280058	0.110734	0.135079	0.642049	0.0034488	0.0150234	0.0312826
i	0.0135032	0.00506305	0.028999	0.060854	0.00920437	0.12005	0.237888	0.378982	0.0306164	0.0127591	0.102082
n	0.00437541	0.0036337	0.036576	0.286411	0.138748	0.200311	0.145589	0.0364699	0.070738	0.0300881	0.047059
g	0.0469436	0.0154973	0.0348547	0.603787	0.0687261	0.074198	0.0242284	0.0436971	0.00926862	0.0192481	0.0595507
á	0.00481394	0.0137026	0.0212066	0.513813	0.191735	0.131891	0.0413108	0.0397283	0.00315362	0.0183332	0.0203111
m	0.00514428	0.00128987	0.00612867	0.200605	0.119148	0.173079	0.0939919	0.0193546	0.272141	0.0974378	0.0116807
w	0.00136838	0.000187811	0.000437022	0.0156216	0.382683	0.0179456	0.0156338	0.00395929	0.00925689	0.53741	0.0154969
á	0.000289197	9.82568e-05	0.000344617	0.00226671	0.344855	0.02382	0.00974403	0.00176128	0.00709663	0.606554	0.00317049
n	0.00298187	0.000942974	0.000942776	0.237529	0.447574	0.0561295	0.0164514	0.00237041	0.0488236	0.163683	0.0225711
a	0.0350822	0.00596006	0.00358164	0.119927	0.373223	0.139097	0.0598437	0.0430317	0.0227908	0.147892	0.0495717
é	0.00272363	0.000970138	0.00579319	0.105895	0.0152575	0.193346	0.2131	0.142641	0.292246	0.0139661	0.0140606
d	0.013265	0.00101384	0.00814309	0.0173159	0.00548407	0.120427	0.271531	0.278844	0.196045	0.0290116	0.0589191
í	0.00611903	0.000509629	0.00131684	0.00496667	0.00186356	0.0205743	0.0446614	0.227502	0.0480689	0.0146247	0.629793
a	0.0161002	0.00195423	0.00241235	0.10159	0.0147469	0.065651	0.0783937	0.0768269	0.332605	0.0273318	0.282388
m	0.0203219	0.00719669	0.0093566	0.0352748	0.00365289	0.0145654	0.0191277	0.117395	0.213254	0.254326	0.30553
w	0.00130533	0.00164232	0.00123513	0.00333988	0.00413264	0.00918807	0.00970782	0.00632072	0.0489583	0.782185	0.131985
a	0.000711232	0.000117634	0.000438738	0.00149576	0.0177341	0.00644823	0.0037418	0.00444691	0.0201593	0.790691	0.154015
w	0.00110214	0.000966078	0.000875442	0.00463578	0.00074218	0.0120621	0.0153428	0.052793	0.100339	0.128235	0.682906
a	0.00607312	0.00257891	0.00684022	0.00642831	0.00141287	0.0294399	0.0152953	0.0142817	0.298035	0.163916	0.455699
m	0.00562394	0.000536962	0.00451116	0.00703457	0.000882796	0.0182648	0.0154526	0.0149606	0.317046	0.0918894	0.523797
έ	0.00451602	0.00233859	0.0044337	0.00533027	0.00526075	0.0155327	0.0159797	0.00172934	0.25937	0.545569	0.13994
n	0.0059585	0.00245279	0.00891442	0.0120082	0.00295962	0.026354	0.0182068	0.0123052	0.322162	0.0909165	0.497762
d	0.0185453	0.0103215	0.0141211	0.056204	0.00311044	0.0135237	0.00557298	0.0239416	0.0725241	0.100419	0.681717
e	0.00364774	0.00123726	0.00284857	0.0106648	0.00137981	0.00988796	0.00486853	0.0148092	0.0371175	0.0916116	0.821927
</S>	0.000467085	0.000548436	0.00159616	0.00338176	0.000503072	0.00874849	0.00504065	0.0109685	0.0661362	0.0752356	0.827374
