 	donne	de	l'	argent	pour	que	nous	achetions	le	fil	pour	tendre	le	filet	</S>
p	0.585382	0.189253	0.169416	0.0143581	0.0116895	0.00524019	0.0172514	0.000257199	0.00369728	0.00171916	0.00072922	0.000272284	0.000636947	5.88097e-05	3.94847e-05
é	0.785967	0.101127	0.0358325	0.0278823	0.0136282	0.00606139	0.00880665	0.000608321	0.00681353	0.00334308	0.00336449	0.0029301	0.00116929	0.000828447	0.00163728
m	0.13449	0.316017	0.180766	0.0581852	0.0903751	0.0568095	0.00994396	0.00839588	0.0294666	0.017566	0.0128572	0.0471743	0.00420777	0.0129698	0.0207755
b	0.186467	0.222899	0.239181	0.132242	0.136837	0.0341439	0.00508362	0.00521104	0.0124213	0.00482632	0.00800871	0.0045521	0.00178338	0.0001966	0.00614713
ώ	0.146917	0.135343	0.192987	0.420361	0.0503674	0.0138252	0.0139988	0.00125856	0.00483328	0.00336634	0.00657683	0.00478188	0.00144985	1.38192e-05	0.00391945
n	0.0476112	0.190329	0.287203	0.206045	0.103286	0.0429821	0.0115426	0.000881384	0.0232456	0.00644134	0.011794	0.00885999	0.0172678	0.00107209	0.0414394
g	0.0885689	0.280658	0.242146	0.213319	0.0229888	0.0321807	0.0108507	0.00462757	0.015751	0.0167704	0.00893507	0.0124001	0.00406664	6.19634e-05	0.0466749
ω	0.0217269	0.167638	0.23709	0.490539	0.0168294	0.0188514	0.00315318	0.0124827	0.00301022	0.00952487	0.00196225	0.00463657	0.00150372	2.44664e-05	0.011027
b	0.0374238	0.151974	0.205263	0.135945	0.158835	0.126686	0.054578	0.00478381	0.0264742	0.0241006	0.0119532	0.0153087	0.0203633	0.000178277	0.026134
a	0.0874219	0.101872	0.120064	0.0737887	0.313866	0.0792364	0.0716696	0.00121636	0.0339046	0.0106969	0.0592512	0.0113308	0.00774159	0.000550076	0.0273899
á	0.0391917	0.054478	0.0950101	0.0263952	0.391414	0.0768452	0.131109	0.00289577	0.0282309	0.00875143	0.0384234	0.0166761	0.0111516	0.00146395	0.0779637
l	0.0061259	0.0218324	0.0420163	0.00292066	0.174236	0.432924	0.193742	0.0294345	0.0261087	0.00807334	0.00451097	0.00447449	0.0173087	0.00160068	0.034692
é	0.0105934	0.0473188	0.0383253	0.00510614	0.050252	0.240091	0.109589	0.0634452	0.0537156	0.0324668	0.0169179	0.0238583	0.0256618	0.00175284	0.280905
s	0.00638309	0.0209885	0.0468171	0.00481473	0.0988578	0.360091	0.162651	0.117935	0.0595292	0.0312414	0.0134947	0.014553	0.0211523	0.000806303	0.0406848
ó	0.00171472	0.0185448	0.0155455	0.00361071	0.0416645	0.510257	0.0896248	0.253622	0.0176546	0.0141929	0.00215835	0.00696258	0.00251365	0.000527308	0.0214067
m	0.003239	0.0107703	0.0342132	0.0156159	0.109784	0.289497	0.0522239	0.340809	0.0499064	0.0323802	0.0118071	0.0265372	0.00490514	0.00188416	0.016428
b	0.000455717	0.00114687	0.00468669	0.00983288	0.00869996	0.0209674	0.00982593	0.913522	0.00555877	0.0170265	0.0049279	0.000466643	0.000390942	3.85384e-06	0.00248786
á	0.00154516	0.00565671	0.035916	0.148466	0.0722103	0.142513	0.124045	0.158177	0.080759	0.110996	0.101831	0.00554637	0.0036093	7.73719e-05	0.00865043
m	0.00199313	0.00369121	0.0111276	0.00472396	0.0652134	0.114139	0.268398	0.0696029	0.231251	0.0753612	0.0957543	0.0157193	0.0175238	0.000343284	0.0251576
u	0.00112249	0.00230167	0.00593262	0.0274373	0.0203773	0.0344584	0.0571111	0.414646	0.0800414	0.108552	0.18876	0.00992796	0.00860154	4.72941e-05	0.0406836
m	0.00130679	0.00214701	0.00275731	0.000400808	0.00662892	0.0264449	0.0196197	0.60281	0.155207	0.0821127	0.0466091	0.0161738	0.0054382	0.00242518	0.0299182
b	0.000174679	0.000658885	0.00130422	0.000461766	0.00642914	0.0220426	0.00634192	0.423858	0.103206	0.134586	0.0774204	0.0171689	0.0558546	0.000222926	0.15027
a	0.000172614	0.000905924	0.00298693	0.00866103	0.00902535	0.0264769	0.0195953	0.231031	0.108732	0.337396	0.209551	0.0219442	0.011185	0.000491303	0.0118451
</S>	0.000232454	0.000909069	0.00173943	0.000664539	0.00971251	0.0211208	0.0223839	0.00750158	0.335046	0.178879	0.194574	0.15229	0.0398481	0.00467401	0.0304249
