 	ibhoyi	chante	doucement	et	cela	fait	un	beau	chant	</S>
i	0.974155	0.00257763	0.0110085	0.00752369	0.00212359	0.000769226	0.000442938	0.00137136	1.20032e-05	1.63193e-05
b	0.941271	0.0328981	0.0165891	0.00259627	0.00074739	0.00180036	0.0014468	0.0012796	0.000399647	0.00097163
h	0.901899	0.0296773	0.0383865	0.0126485	0.0079947	0.00262248	0.00216915	0.00230441	0.000779207	0.00151879
ω	0.926991	0.0088102	0.0243268	0.0127376	0.0114436	0.0023707	0.00260031	0.00542144	0.000905036	0.00439393
y	0.784927	0.0376309	0.0577683	0.0411614	0.0247809	0.00559019	0.0123435	0.0202045	0.00558419	0.0100095
i	0.342143	0.0720165	0.170468	0.077574	0.071535	0.0606855	0.0604883	0.0237008	0.0197137	0.101675
l	0.211447	0.341572	0.0776838	0.0712803	0.0653271	0.0706876	0.0475725	0.0201593	0.0110725	0.0831982
á	0.243294	0.13859	0.0614344	0.0540572	0.0543291	0.0529771	0.046863	0.0334121	0.0207905	0.294253
a	0.262222	0.217636	0.130107	0.118354	0.132198	0.0298209	0.0267348	0.0118945	0.0196177	0.0514161
y	0.0710036	0.813811	0.0918342	0.00616395	0.00236987	0.00387514	0.00262527	0.00114021	0.00249562	0.00468096
é	0.00862249	0.953843	0.0154658	0.0028213	0.00135881	0.00228848	0.00187982	0.000309248	0.00539837	0.00801296
m	0.0161966	0.389072	0.114554	0.0571168	0.0315906	0.0303608	0.0334716	0.0140661	0.0344646	0.279108
b	0.00672013	0.24392	0.42775	0.205336	0.0497213	0.0227796	0.0133074	0.00190552	0.00930674	0.019254
á	0.0305451	0.0515035	0.292995	0.32081	0.0934541	0.03038	0.0224067	0.0083678	0.00470987	0.144828
b	0.00495425	0.0294526	0.326814	0.435459	0.150154	0.0191242	0.00960747	0.0081915	0.00296925	0.0132733
v	0.00503415	0.00397203	0.441165	0.322354	0.193747	0.0134892	0.00827443	0.00479215	0.00217485	0.00499706
a	0.0050965	0.000870037	0.552619	0.224128	0.149241	0.0116304	0.0173589	0.0236676	0.00172399	0.0136643
n	0.00206836	0.00870339	0.370338	0.388484	0.1697	0.0201055	0.0125644	0.0123542	0.00130866	0.0143737
g	0.0158788	0.0704631	0.250521	0.352695	0.109544	0.0310143	0.0179927	0.0090195	0.0126988	0.130174
a	0.0362161	0.274251	0.0662668	0.372792	0.165416	0.0139396	0.00651675	0.00240057	0.014579	0.0476229
l	0.00536032	0.0205935	0.0443557	0.361992	0.36715	0.112958	0.0322337	0.0230346	0.00521205	0.0271105
i	0.00499988	0.024174	0.0391966	0.217677	0.241945	0.239453	0.0542601	0.0265949	0.0265344	0.125165
l	0.00138773	0.00535695	0.0243393	0.13761	0.369834	0.291029	0.0744725	0.0260037	0.0185874	0.051379
ε	0.00313186	0.0192562	0.0200833	0.0703851	0.131108	0.277189	0.0829581	0.0198004	0.0506409	0.325447
m	0.000650661	0.00277781	0.0150548	0.0672184	0.181797	0.357671	0.161781	0.0284914	0.0651489	0.119409
b	0.000274784	0.00461027	0.0140713	0.0693304	0.129513	0.200178	0.182869	0.0348954	0.035217	0.329041
í	0.000290245	0.000562408	0.0173809	0.0738889	0.247161	0.14218	0.366324	0.0552443	0.0341971	0.0627707
b	0.000354781	0.00100448	0.0114904	0.0487933	0.167273	0.299924	0.259187	0.0969436	0.0191096	0.09592
v	0.00113166	0.000386649	0.0535652	0.0854269	0.273873	0.156619	0.202833	0.159499	0.020226	0.046439
a	0.000808405	0.000182252	0.121717	0.0637167	0.284898	0.110528	0.222126	0.113347	0.00998083	0.0726951
n	0.000769065	0.000810939	0.0114481	0.0345205	0.166263	0.192242	0.272105	0.180716	0.0372599	0.103865
g	0.00800216	0.0273361	0.0111515	0.0438637	0.160288	0.152389	0.117721	0.0216929	0.120357	0.337199
a	0.00288346	0.0170642	0.00454973	0.0578617	0.248476	0.184558	0.153417	0.0326657	0.162235	0.13629
o	0.000135295	0.00207048	0.00183834	0.0169772	0.0925277	0.172654	0.201582	0.101744	0.14881	0.261661
b	0.000786954	0.00892252	0.00630344	0.00522831	0.00759488	0.0825813	0.172859	0.193307	0.433989	0.0884273
v	0.000380889	0.00268082	0.0419747	0.0157258	0.0170735	0.0731497	0.28946	0.243384	0.249816	0.0663552
έ	0.00052543	0.000308448	0.0344368	0.0154651	0.0413031	0.0830766	0.297632	0.342717	0.119767	0.0647676
</S>	8.49135e-05	0.00040092	0.00660395	0.00768328	0.0222346	0.0457533	0.105182	0.120126	0.0612977	0.630632
