 	les	femmes	emballent	du	manioc	avec	les	feuilles	sauvages	awoyo	</S>
a	0.896427	0.0860427	0.0109243	0.00196979	0.00286802	0.000547595	0.000273891	0.000467793	0.000469059	4.23817e-06	5.89765e-06
y	0.155196	0.619986	0.218604	0.002425	0.00153781	0.000296101	0.000199758	0.00104461	0.000239755	0.000160644	0.000310396
ú	0.375875	0.527202	0.0652545	0.013225	0.00166778	0.00117874	0.00127146	0.00724633	0.000200057	0.0053845	0.00149399
r	0.554024	0.374022	0.0152842	0.0100112	0.000574501	0.00194126	0.00202467	0.00643092	0.00119339	0.0169148	0.0175791
u	0.722578	0.235703	0.0166177	0.00776654	0.000189936	0.00215544	0.00156967	0.000341093	0.000338518	0.00271245	0.0100269
b	0.44212	0.0194319	0.139637	0.198187	0.0294556	0.0619175	0.0235584	0.0222822	0.00854341	0.00109512	0.0537721
á	0.409214	0.0339625	0.057584	0.255778	0.0530341	0.0904476	0.0360989	0.0079333	0.0121337	0.00203159	0.0417819
a	0.11208	0.0365343	0.542481	0.253748	0.0215362	0.0127667	0.00619649	0.00183996	0.00258894	0.00142235	0.00880611
k	0.00964723	0.00427429	0.724231	0.133622	0.0710841	0.00953124	0.012928	0.0139764	0.00307343	0.000549161	0.0170823
a	0.00451961	0.0016822	0.846058	0.0638437	0.0602159	0.00461494	0.0063397	0.00401532	0.00183246	0.000330853	0.00654746
n	0.00729245	0.00206795	0.887672	0.0605034	0.0244188	0.00280117	0.0035802	0.00548264	0.00195419	0.000264262	0.00396277
g	0.014528	0.000877731	0.646624	0.245846	0.0443604	0.00680597	0.010297	0.0101648	0.0013728	0.000659259	0.0184642
á	0.0227333	0.000794891	0.178676	0.532843	0.0717327	0.028552	0.0133665	0.00640661	0.00316448	0.00355447	0.138176
i	0.030874	0.0023284	0.024197	0.358789	0.0934606	0.342297	0.105314	0.0177654	0.0118166	0.00315572	0.010003
k	0.00298609	0.00114789	0.0293043	0.0931279	0.370675	0.152366	0.223539	0.0680693	0.0229208	0.0264162	0.00944737
ώ	0.00044017	4.43856e-05	0.0249433	0.0418134	0.798569	0.0286771	0.0541166	0.0415028	0.00416746	0.00420324	0.00152207
ώ	0.000348789	2.10832e-05	0.0244459	0.084232	0.658299	0.0938768	0.0717689	0.0422289	0.0127964	0.00586368	0.00611897
m	0.00314138	0.000176052	0.00173798	0.0519359	0.0620175	0.413953	0.253335	0.090231	0.0950626	0.00804882	0.020361
á	0.0355058	0.0109158	0.000295141	0.020067	0.00559243	0.213209	0.140755	0.0170399	0.0884603	0.127124	0.341035
w	0.0110118	0.000931222	0.0057472	0.0154826	0.0109393	0.0920335	0.0557817	0.0295592	0.333227	0.430636	0.0146495
o	0.00609434	0.00130043	0.0137498	0.0430128	0.0590403	0.104841	0.132378	0.0536385	0.368136	0.156458	0.0613508
y	0.00821466	0.000379709	0.000933956	0.0118706	0.0379394	0.107164	0.0815657	0.0865061	0.144025	0.464862	0.0565388
o	0.00467109	0.00109969	0.00435628	0.0300948	0.0181496	0.0573434	0.0726213	0.134176	0.135515	0.482528	0.0594446
</S>	0.00162271	0.000144245	0.00101199	0.018747	0.0121387	0.114161	0.0754647	0.0788578	0.173126	0.094786	0.42994
