 	elle	est	tolérante	du	fait	qu'	elle	soigne	sa	rivale	qui	est	malade	</S>
w	0.958757	0.0200111	0.00276261	0.00981063	0.00436182	0.00144806	0.00023618	0.000436831	0.00101279	0.000133419	0.000417754	0.000559667	4.31612e-05	9.03572e-06
a	0.980261	0.0080969	0.000687738	0.0032178	0.00231573	0.000872028	0.000190038	0.00079526	0.00137636	0.000516853	0.000272073	0.000647389	0.00074425	6.51583e-06
a	0.173373	0.545126	0.0170013	0.0164305	0.0342991	0.0442685	0.0352858	0.0109002	0.0153765	0.0327262	0.020496	0.0211645	0.00722141	0.0263313
d	0.101728	0.60048	0.0746253	0.0236533	0.0267445	0.0200247	0.0318858	0.053093	0.0082688	0.0042594	0.0120261	0.0145089	0.00174945	0.0269524
í	0.0780376	0.673806	0.106497	0.0321047	0.0136198	0.0120481	0.00767644	0.0195919	0.00666041	0.00358702	0.0117882	0.0045559	0.000646513	0.0293799
l	0.0162519	0.311713	0.141813	0.0402952	0.0428002	0.0234642	0.025546	0.0684558	0.0237527	0.00590446	0.0284337	0.052713	0.0131966	0.20566
o	0.0322302	0.187795	0.284721	0.0556916	0.0346232	0.0450984	0.0447786	0.0243994	0.0463549	0.0373247	0.0447036	0.0194487	0.00510035	0.137731
t	0.00305167	0.064849	0.873591	0.0139666	0.00214257	0.00178797	0.00132456	0.00359522	0.0027717	0.00531554	0.00240237	0.00161849	0.00853315	0.0150499
é	0.000136483	0.0112147	0.973319	0.00818596	0.00207201	0.000674373	0.000506866	0.000870774	0.00041863	0.000242411	0.000359438	0.000156332	0.00049838	0.00134458
m	0.00055558	0.0316411	0.878462	0.023726	0.0146349	0.00522381	0.00470134	0.0123011	0.00336034	0.000972638	0.00260114	0.00286502	0.00401348	0.0149418
a	0.00337263	0.0683879	0.539197	0.22927	0.0495946	0.0341994	0.00649757	0.00241675	0.0189967	0.0117949	0.0152842	0.00285495	0.00105663	0.0170765
m	0.00131607	0.0745272	0.40583	0.213951	0.112072	0.0430083	0.0174488	0.0223584	0.0113815	0.00513684	0.00931307	0.0110533	0.00459794	0.0680062
ó	0.00100664	0.00606274	0.108079	0.418414	0.135354	0.176187	0.0192097	0.00847132	0.0287249	0.0561076	0.0147315	0.00562543	0.00079359	0.0212321
n	0.00124454	0.00203707	0.144113	0.523254	0.214398	0.0539437	0.0126583	0.0190545	0.00479082	0.00477994	0.00248966	0.00157724	0.011863	0.00379699
d	0.000183242	0.00199628	0.0327246	0.73371	0.0907589	0.0715267	0.00899239	0.0103984	0.0102308	0.0210474	0.00638486	0.00110393	0.00108843	0.00985422
é	0.000136801	0.000828661	0.0200406	0.666468	0.137767	0.0855407	0.0251825	0.0185637	0.00810372	0.0118062	0.00521838	0.00250889	0.00543826	0.0123962
n	2.69022e-05	0.00157554	0.0804979	0.598838	0.106151	0.0568614	0.0309412	0.060707	0.0129463	0.0102632	0.00753108	0.00639914	0.0110768	0.0161844
g	0.000975517	0.010803	0.0324313	0.390304	0.123873	0.127938	0.0358004	0.0530943	0.0254496	0.0281952	0.0249037	0.0104576	0.00627032	0.129505
é	0.00281048	0.00198821	0.148552	0.41928	0.153815	0.101958	0.0447272	0.0133392	0.0126855	0.051245	0.00641929	0.000533147	0.00426191	0.0383852
y	0.00135463	0.00469037	0.00585363	0.109759	0.216752	0.326172	0.170083	0.102716	0.0181438	0.00968469	0.0103898	0.00464782	0.00140602	0.0183478
é	0.00173117	0.00879555	0.0100257	0.142531	0.192599	0.334707	0.170823	0.0325136	0.0495593	0.0121864	0.0263486	0.00603048	0.00208753	0.010062
é	0.00127979	0.00265402	0.00655834	0.118181	0.115934	0.33142	0.234692	0.0727092	0.0501944	0.014617	0.0225781	0.0119402	0.00547746	0.0117648
k	0.00101744	0.032228	0.011275	0.0387308	0.0425749	0.0538271	0.186281	0.587875	0.0163282	0.00470654	0.0058321	0.0104002	0.00550762	0.0034152
y	0.000292529	0.00646677	0.00138521	0.00535223	0.0255245	0.015473	0.0855692	0.776976	0.0251415	0.00685779	0.00849784	0.00786798	0.0217849	0.0128102
έ	0.000467916	0.00718874	0.0102801	0.0155866	0.0540042	0.0283409	0.184107	0.565022	0.0346048	0.00657084	0.0146377	0.0145558	0.0193919	0.0452412
έ	0.000332299	0.00347709	0.00488381	0.0326777	0.0842956	0.0978878	0.220784	0.297327	0.0521076	0.0144747	0.0422687	0.0170996	0.0108447	0.12154
l	0.000342672	0.00170807	0.00167494	0.00661229	0.0144549	0.0465347	0.178258	0.177571	0.220207	0.0996352	0.0911888	0.0421781	0.0185433	0.101091
έ	0.00029655	0.001166	0.00310994	0.0238007	0.027016	0.0795896	0.151919	0.203423	0.231568	0.084108	0.0758782	0.0239298	0.024986	0.0692092
w	0.000105306	0.000466936	0.00176364	0.0135872	0.0149468	0.0640238	0.100594	0.119237	0.290249	0.225702	0.0897371	0.0278037	0.0157912	0.0359908
a	0.0015996	0.00167296	0.000961102	0.0130063	0.0504621	0.109243	0.245477	0.0648026	0.170146	0.125204	0.101739	0.0574951	0.0225829	0.0356098
m	9.53115e-05	0.000192523	0.000342413	0.00425797	0.0108832	0.0339763	0.0643076	0.0829349	0.349724	0.1708	0.139237	0.0653113	0.0224475	0.0554902
b	0.000340623	0.00172641	0.00158509	0.0167108	0.00611223	0.0148476	0.0128877	0.0122055	0.185655	0.22847	0.115892	0.0931084	0.0253156	0.285142
á	3.19792e-05	0.000164786	0.000580763	0.00878405	0.00928553	0.034351	0.0214714	0.0354655	0.130625	0.615254	0.0568862	0.0231663	0.0325802	0.0313524
