 	la	nuit	quand	le	village	est	obscur	les	gens	ont	peur	de	se	promener	</S>
p	0.251198	0.698976	0.0153137	0.00445208	0.00903028	0.00176207	0.00296986	0.00685085	0.00217034	0.00346961	0.00153309	0.00168443	0.000453582	0.000122965	1.30951e-05
o	0.0136613	0.957984	0.00219447	0.00105586	0.0126382	0.000511586	0.00209965	0.00167152	0.00088329	0.00124934	0.00165665	0.00190129	0.000684874	0.00172258	8.53149e-05
o	0.0613833	0.486422	0.0199247	0.0123799	0.344293	0.00590997	0.00941908	0.0139755	0.0155734	0.00660046	0.00462236	0.00975193	0.00269532	0.00255714	0.00449204
w	0.24685	0.305885	0.329562	0.0801047	0.00264362	0.0107481	0.00171514	0.00403247	0.001118	0.0025242	0.00104968	0.00344907	0.00409461	0.000456258	0.00576687
á	0.0514886	0.0622433	0.308209	0.151319	0.154564	0.0557943	0.0412034	0.0261789	0.0223696	0.0108706	0.00979593	0.038298	0.0172519	0.00709477	0.0433188
á	0.0222273	0.0240596	0.181416	0.0912518	0.194964	0.0337238	0.0607428	0.0338963	0.0371894	0.0361734	0.0704969	0.0279539	0.0216073	0.0131651	0.151132
é	0.0159367	0.00639426	0.564315	0.302216	0.0528694	0.0121045	0.00802508	0.00407342	0.00101466	0.00405238	0.00313561	0.00403709	0.00394046	0.00265451	0.0152301
d	0.0124645	0.0118328	0.288238	0.113115	0.368141	0.0317906	0.0638066	0.018836	0.00436643	0.0106059	0.017171	0.0183754	0.0141206	0.0115788	0.0155565
í	0.00684376	0.00170033	0.462033	0.228784	0.0119676	0.0753296	0.0407141	0.03748	0.00147803	0.0107788	0.00794721	0.0277376	0.00908668	0.00470148	0.0734175
p	0.00605361	0.000796286	0.0867322	0.0991813	0.0516102	0.156837	0.24604	0.126818	0.0239152	0.026972	0.0190914	0.0289657	0.0180382	0.0110097	0.0979389
i	0.000297513	0.00134367	0.00853034	0.0134975	0.552297	0.0188017	0.350912	0.0154126	0.0118372	0.00376663	0.00215458	0.00534092	0.00180059	0.00521977	0.00878807
b	0.000739065	0.000957281	0.0348099	0.0992073	0.260459	0.0661178	0.292771	0.0567014	0.0392365	0.0131005	0.0099161	0.0133409	0.00787248	0.0191094	0.0856616
a	0.000625378	0.00164879	0.0107996	0.0168116	0.0776117	0.0493692	0.66342	0.0667999	0.0382451	0.00711321	0.00297101	0.0133889	0.00397649	0.0130543	0.0341651
r	0.00216328	0.000399415	0.0165953	0.0344756	0.0196329	0.10193	0.269432	0.216444	0.181682	0.0611131	0.0321774	0.0119765	0.00506031	0.00848682	0.0384314
e	0.00945754	0.00181533	0.0289661	0.0429755	0.0155149	0.0998397	0.286187	0.186743	0.0927729	0.0714545	0.0421818	0.0449594	0.00919749	0.00737414	0.0605605
m	0.00325978	0.000604348	0.0242905	0.0431667	0.004595	0.135064	0.0478475	0.203829	0.138681	0.169866	0.134254	0.0387992	0.0152708	0.00641428	0.034058
í	0.00454349	7.67467e-05	0.00205982	0.00739	0.00211178	0.0853399	0.0136377	0.138114	0.111279	0.181862	0.26955	0.0551501	0.0404754	0.00377153	0.0846384
b	0.00598637	0.000922801	0.00279423	0.00376646	0.00677162	0.0506885	0.0653158	0.141295	0.124628	0.163408	0.307243	0.0707177	0.0213793	0.024339	0.0107439
h	0.00551226	0.00957686	0.00502753	0.00447816	0.00390613	0.0190632	0.248172	0.117042	0.117625	0.0579692	0.0939705	0.117233	0.0508224	0.0956126	0.0539888
é	0.00146851	0.000487331	0.0022074	0.00293258	0.00173662	0.0152675	0.172382	0.113413	0.213843	0.0337006	0.151518	0.0700608	0.0264423	0.0886114	0.105929
m	0.000691257	0.000233788	0.00137082	0.00247058	0.00131797	0.0555371	0.0695852	0.227322	0.111299	0.0839797	0.130042	0.185466	0.0374908	0.0454406	0.0477541
