 	les	gens	se	moquent	du	soulard	</S>
b	0.327	0.617542	0.033586	0.0134526	0.00734171	0.00101628	6.14117e-05
a	0.107169	0.870052	0.0141142	0.00544426	0.00159859	0.0015546	6.76524e-05
r	0.0400277	0.950502	0.00416536	0.00396316	0.000472839	0.000712469	0.000156227
e	0.834808	0.086425	0.0381027	0.0266452	0.00298926	0.00155291	0.0094768
b	0.315249	0.200975	0.356671	0.0351771	0.0509158	0.00696143	0.034051
á	0.104565	0.170677	0.383951	0.139587	0.12915	0.0172666	0.0548028
a	0.116803	0.103749	0.479097	0.162228	0.0665051	0.0131772	0.0584407
d	0.0242113	0.0170848	0.360464	0.336089	0.14903	0.0424485	0.0706712
z	0.00236405	0.00160485	0.207566	0.499997	0.0749385	0.0381923	0.175338
ε	0.0122513	0.000541647	0.152513	0.742776	0.0469291	0.0107219	0.0342664
έ	0.00960934	0.00479895	0.148299	0.347203	0.305639	0.0155829	0.168868
m	0.0214704	0.00442735	0.117618	0.299301	0.521629	0.012594	0.0229603
o	0.0282221	0.00819565	0.0790896	0.485542	0.168223	0.135685	0.0950427
r	0.0412148	0.00588897	0.181981	0.228933	0.158256	0.315955	0.0677719
o	0.0254753	0.00290139	0.125123	0.466778	0.190826	0.137824	0.0510715
y	0.00901863	0.000577579	0.161062	0.170669	0.300018	0.0777165	0.280938
e	0.0280135	0.00407892	0.118181	0.201174	0.504173	0.086938	0.0574408
é	0.00862858	0.000992954	0.0535067	0.120514	0.325592	0.203693	0.287074
m	0.00420468	0.00240283	0.0232782	0.0477191	0.309337	0.508936	0.104122
i	0.00339194	0.00283931	0.0253213	0.0750593	0.281956	0.415197	0.196235
l	0.000934557	0.0002346	0.00360763	0.0192631	0.0631561	0.408574	0.50423
á	0.000968148	0.000290886	0.00285526	0.0128405	0.0219767	0.611898	0.349171
n	0.00250167	0.00117108	0.0159856	0.0508672	0.160737	0.372473	0.396264
g	0.0124008	0.00774578	0.0201322	0.0962224	0.0910675	0.408932	0.363499
á	0.0102636	0.00418758	0.0387133	0.0439135	0.159698	0.13642	0.606803
a	0.00973148	0.00537243	0.0256572	0.0616659	0.200894	0.373455	0.323224
l	0.0109196	0.00432381	0.0398773	0.036215	0.161323	0.550518	0.196824
ω	0.00356607	0.000758808	0.0301413	0.0425147	0.13257	0.42178	0.368669
i	0.00184711	0.000303263	0.00608525	0.00690975	0.0615882	0.274362	0.648904
</S>	0.0155089	0.00354506	0.0346268	0.0333639	0.1558	0.111967	0.645189
