 	le	pêcheur	apprend	à	son	enfant	à	pagayer	</S>
o	0.97942	0.0149909	0.001312	0.000850309	0.00275672	0.000269309	0.000293478	8.90204e-05	1.79066e-05
l	0.110001	0.861689	0.0228579	0.00149151	0.000747795	0.000254661	0.000395732	0.000676521	0.00188591
ώ	0.00129577	0.992716	0.00501236	0.000541941	0.000122424	7.25039e-06	4.80354e-05	6.59479e-05	0.000190623
b	0.00363472	0.988126	0.00571262	0.000980722	0.000724176	0.000124371	0.000102539	0.000257626	0.000337678
h	0.0874361	0.134664	0.586022	0.0515614	0.0313576	0.00349235	0.0299017	0.00928495	0.0662805
i	0.454642	0.416154	0.073065	0.0136842	0.0117631	0.00459853	0.00304434	0.00263867	0.0204102
l	0.0900424	0.0114153	0.743133	0.088146	0.0260978	0.0106575	0.0209286	0.000689154	0.00889076
á	0.0730494	0.0197413	0.479607	0.151841	0.0480366	0.0188373	0.0207233	0.00663361	0.18153
a	0.268132	0.00110083	0.063858	0.231874	0.219555	0.167989	0.0287393	0.00157837	0.0171739
y	0.00824198	0.0129368	0.428174	0.414456	0.0663715	0.0381395	0.0126351	0.00616892	0.0128766
é	0.0102316	0.00247566	0.51381	0.381763	0.0519791	0.00857786	0.00782804	0.000490233	0.0228446
s	0.0103744	0.00295636	0.28076	0.49398	0.0907492	0.0190843	0.0126398	0.00416143	0.0852944
á	0.00940969	0.00188548	0.375709	0.487505	0.0931678	0.00278375	0.00836127	0.000938984	0.0202389
á	0.00859259	0.000461058	0.0624842	0.312536	0.463496	0.0778696	0.0447151	0.00539721	0.0244485
m	0.00701939	0.00107445	0.017721	0.142238	0.276457	0.322899	0.15933	0.0456342	0.0276262
w	0.00163644	0.000563559	0.00034157	0.0122353	0.0518257	0.776977	0.129336	0.00553176	0.0215522
á	8.41186e-05	8.91107e-05	7.93314e-05	0.00986127	0.0224529	0.945451	0.0170745	0.00289114	0.00201612
n	0.000966477	2.3622e-05	4.24341e-05	0.00222094	0.0157644	0.965972	0.00989651	0.00186649	0.00324724
a	0.0036089	0.00104323	0.000514043	0.0148138	0.0642983	0.849884	0.0152504	0.00501562	0.0455719
i	0.00500137	0.000637179	0.0135598	0.0557285	0.20585	0.0855757	0.577983	0.0396451	0.0160189
d	0.0163869	0.0119745	0.0226338	0.062058	0.131902	0.115234	0.447929	0.116804	0.0750788
ú	0.000754385	0.00153063	0.0158103	0.0300373	0.0357042	0.0380138	0.512553	0.176159	0.189437
a	0.00580315	0.000728834	0.00441091	0.0436733	0.108066	0.0550775	0.674646	0.0648349	0.0427596
l	0.000232824	5.748e-05	0.00095607	0.00518641	0.0136355	0.00370162	0.389089	0.312842	0.274298
á	0.00131825	0.000430195	0.00669232	0.0157918	0.00928031	0.00157011	0.183928	0.37808	0.402909
b	0.00313741	0.000875705	0.00360139	0.0191171	0.0357675	0.0117095	0.120591	0.625183	0.180018
v	0.00553713	0.000332375	0.00243234	0.0220738	0.0300344	0.0214787	0.194214	0.703912	0.0199853
á	0.00166216	0.000114318	9.15277e-05	0.00294804	0.00864665	0.0107788	0.0418879	0.921688	0.0121831
r	0.00187013	0.000229269	0.000531297	0.00547228	0.0132983	0.00999161	0.0842187	0.819762	0.0646264
e	0.000351287	0.0012308	0.00329685	0.0562658	0.0627871	0.0183584	0.215079	0.469064	0.173567
</S>	0.00051356	0.000315018	0.00328765	0.00564773	0.0163058	0.00420853	0.278791	0.206265	0.484666
