 	le	hanneton	s'	est	déjà	transformé	en	engáángaa	</S>
l	0.349531	0.511343	0.1157	0.0191347	0.00263372	0.000730814	0.000596538	0.000210507	0.000119527
e	0.36819	0.559799	0.0421886	0.0134825	0.00340048	0.00262406	0.00379227	0.00428606	0.00223669
p	0.121073	0.711953	0.0875007	0.0237887	0.0206933	0.00772755	0.00627418	0.00509057	0.0158988
ώ	0.0120684	0.418622	0.0269892	0.0211306	0.00917031	0.410428	0.010927	0.00442642	0.086238
s	0.0465204	0.883593	0.0298637	0.00477481	0.001188	0.018047	0.00223661	0.000602969	0.0131735
i	0.113082	0.519253	0.102593	0.0342344	0.00780882	0.161596	0.0188727	0.000609993	0.0419483
í	0.0501137	0.08219	0.507822	0.221151	0.033447	0.0150489	0.020602	0.00213418	0.0674913
m	0.0147867	0.00475606	0.181957	0.467079	0.264732	0.0266944	0.0130925	0.00239064	0.0245121
i	0.0245236	0.00315261	0.110697	0.393721	0.403314	0.00425037	0.0346051	0.00229207	0.0234443
s	0.00235106	0.00210015	0.0068311	0.0844368	0.873406	0.0160989	0.00562393	0.00147826	0.00767394
í	0.000505493	0.000395096	0.00258368	0.0630955	0.910274	0.00831149	0.00441735	0.00258806	0.00782973
á	0.0041955	0.00181037	0.0530726	0.175199	0.316893	0.143829	0.0748809	0.0139671	0.216153
o	0.0174918	0.00349098	0.105783	0.228935	0.109393	0.238655	0.255281	0.0223266	0.0186438
k	0.00593433	0.0037079	0.00118343	0.0167073	0.444213	0.335349	0.0841455	0.0984181	0.0103413
a	0.000886824	0.00851459	0.00127344	0.00782109	0.0402124	0.859263	0.047011	0.0208262	0.014191
l	0.000595081	0.00389002	0.00441839	0.0216768	0.0792631	0.675523	0.131335	0.0346055	0.0486931
á	0.00346421	0.0118953	0.00643492	0.0137128	0.0214624	0.780731	0.0490025	0.0077327	0.105564
á	0.0139092	0.00446913	0.0713513	0.0888708	0.0363166	0.105867	0.531441	0.0632083	0.0845663
e	0.00901615	0.00218612	0.022973	0.0402206	0.0450292	0.00747041	0.277601	0.521768	0.0737354
n	0.00467226	0.00807547	0.00306626	0.0072871	0.0241607	0.0405363	0.0862106	0.757021	0.0689707
g	0.00328224	0.00089026	0.000918515	0.00123336	0.00433211	0.000999455	0.0140801	0.911186	0.0630777
á	0.00122559	0.00303232	0.00214914	0.00106861	0.000993151	0.0102827	0.0272802	0.86968	0.0842882
á	0.000747537	0.000235424	0.000733164	0.000935685	0.0012067	0.00407969	0.132661	0.360759	0.498641
n	0.00583643	0.00153622	0.0172319	0.0173365	0.0194414	0.00361963	0.0727264	0.624835	0.237437
g	0.00933718	0.00150112	0.00137987	0.000644086	0.000649713	0.000903771	0.00976687	0.863865	0.111952
a	0.00882881	0.00591955	0.0154852	0.00251146	0.00105408	0.00124888	0.0231951	0.749187	0.19257
a	0.00109778	0.000646906	0.00166884	0.000599564	0.000777833	0.00138038	0.0385853	0.463384	0.491859
</S>	0.00605916	0.00369984	0.00421516	0.00531713	0.00969395	0.00402842	0.128555	0.257696	0.580736
