 	je	vais	boire	de	l'	eau	</S>
n	0.948114	0.0088104	0.00636014	0.0242534	0.0116178	0.000529238	0.000314775
g	0.998148	0.000861452	0.000647343	0.000170021	0.000120933	4.27909e-05	9.19165e-06
á	0.988856	0.00621547	0.00455273	0.000155802	5.57729e-05	0.000158453	5.22959e-06
l	0.0799178	0.0980424	0.27395	0.169151	0.0807541	0.101953	0.196231
í	0.355754	0.156204	0.148903	0.0344803	0.024758	0.0539622	0.225939
i	0.049476	0.0989812	0.302974	0.178043	0.0944294	0.0737049	0.202391
n	0.000799066	0.291596	0.589405	0.0831701	0.00589235	0.00225304	0.0268853
y	0.00271911	0.13553	0.838807	0.0168573	0.000579591	0.000598684	0.00490821
w	0.0130905	0.219035	0.685441	0.0549312	0.00865653	0.00343685	0.0154087
á	0.000283062	0.0518534	0.381413	0.340378	0.0573501	0.00714535	0.161576
m	0.000228061	0.00524405	0.0510024	0.306874	0.566695	0.050859	0.0190972
á	1.72134e-05	0.000512636	0.0151089	0.0123599	0.0711471	0.873374	0.0274799
a	0.000263471	0.00129568	0.00507904	0.0278179	0.105728	0.847276	0.0125401
</S>	0.000238673	0.00102177	0.00304563	0.052441	0.400495	0.241483	0.301275
