 	dans	cette	affaire	mbongo	a	eu	raison	</S>
m	0.310823	0.275775	0.325974	0.00204695	0.0618212	0.0152289	0.00220869	0.00612253
b	0.0472478	0.225478	0.329694	0.215463	0.0419035	0.0479092	0.00322544	0.0890792
ω	0.019916	0.0526142	0.163935	0.749521	0.00681529	0.00418502	0.00234197	0.000671978
n	0.0468548	0.196028	0.221934	0.521654	0.00445875	0.00176286	0.00368028	0.00362809
g	0.0645854	0.369671	0.0539614	0.421072	0.0313445	0.00672738	0.0117382	0.0409007
ω	0.254712	0.494978	0.0984286	0.119879	0.0134016	0.00260572	0.00125628	0.0147395
á	0.102603	0.132221	0.474564	0.0427513	0.168283	0.0522591	0.00349856	0.0238207
s	0.0829455	0.102853	0.270478	0.082654	0.170363	0.155325	0.0348743	0.100507
o	0.140646	0.0856432	0.123136	0.125153	0.115775	0.219105	0.0151277	0.175414
i	0.0649807	0.054184	0.0196989	0.486782	0.0752558	0.071304	0.0502172	0.177577
s	0.0595662	0.0291224	0.0831496	0.0951767	0.326646	0.295399	0.0417838	0.0691564
í	0.0324077	0.0367692	0.0319111	0.141792	0.144444	0.193593	0.131819	0.287263
b	0.030213	0.0146694	0.100813	0.0172343	0.351295	0.350988	0.0570788	0.0777085
h	0.0483738	0.0307659	0.218343	0.21521	0.218221	0.0571047	0.159404	0.0525773
ώ	0.0106488	0.0126783	0.0393878	0.264943	0.177652	0.0406706	0.332528	0.121492
ω	0.00604279	0.0222695	0.0692166	0.0954479	0.369226	0.219857	0.159449	0.0584916
d	0.00496981	0.00344728	0.00623408	0.00224996	0.227904	0.312936	0.141915	0.300344
í	0.00723051	0.00389192	0.00154334	0.00178577	0.0359791	0.100432	0.0712311	0.777907
</S>	0.0292226	0.0140155	0.0176111	0.00171485	0.118693	0.129455	0.146864	0.542424
