 	le	bateau	a	accosté	sur	le	quai	</S>
a	0.783652	0.192801	0.0209795	6.90552e-05	0.000540161	0.00175783	0.000105232	9.6093e-05
s	0.0752833	0.884237	0.0347992	0.00207854	0.000897589	0.000677058	0.00189809	0.000129291
ú	0.0588037	0.910919	0.0127969	0.00982766	0.00335182	0.000808653	0.00138069	0.00211192
a	0.223133	0.641036	0.027213	0.00976323	0.00983554	0.00983498	0.0138448	0.0653393
á	0.0515284	0.0600169	0.744384	0.015815	0.0138886	0.00750491	0.000872267	0.10599
m	0.00567527	0.021765	0.185326	0.66188	0.0772975	0.0261446	0.0123159	0.0095954
i	0.00210295	0.00658471	0.0174799	0.782974	0.145635	0.0381176	0.00258613	0.00451965
s	0.000559328	0.000843768	0.00576901	0.914745	0.051719	0.0100065	0.00986131	0.00649634
ε	0.000478969	0.00429118	0.00399563	0.886901	0.0768191	0.00909195	0.0130497	0.00537271
m	0.00167647	0.00568307	0.0278859	0.258742	0.405583	0.151108	0.0483308	0.100991
έ	0.0101898	0.00161553	0.0269853	0.0262774	0.449505	0.393751	0.00972918	0.0819464
ó	0.00419175	0.0013059	0.0207322	0.00844772	0.163929	0.469928	0.262589	0.0688767
i	0.0020161	0.00136521	0.00153879	0.00863834	0.114761	0.329973	0.533686	0.00802185
b	0.000785167	0.000348705	0.00068205	0.00707798	0.0707115	0.134178	0.740056	0.0461613
ó	0.000976257	0.000119077	0.00076939	0.00431948	0.0265261	0.106591	0.833803	0.0268963
n	0.000164175	9.77024e-05	0.00668601	0.00424683	0.0453297	0.0976397	0.788028	0.0578079
g	0.00498784	0.00233738	0.00391179	0.00617243	0.0935801	0.111381	0.660626	0.117003
o	0.0148774	0.00227515	0.00661733	0.00343584	0.0609151	0.0891319	0.724012	0.0987355
</S>	0.00256949	0.0017022	0.00157187	0.00199184	0.0280936	0.0914633	0.415086	0.457522
