 	dans	notre	village	les	feuilles	de	l'	arbuste	esyese	sont	utilisées	pour	guérir	les	brûlures	</S>
ó	0.568308	0.28855	0.0487284	0.0169641	0.010734	0.0113272	0.0112777	0.018971	0.00418335	0.00499521	0.000316607	0.0068665	0.00315072	0.00546474	0.000100908	6.07412e-05
p	0.0156857	0.0178017	0.95407	0.00320986	0.00266913	0.000700483	0.000734791	0.000349325	0.001759	0.000393214	0.000603418	0.000571001	0.000127449	0.000650034	0.000290326	0.000384909
o	0.00362369	0.000885993	0.983108	0.000774902	0.0028989	0.000978737	0.00074947	0.000162167	0.000356489	8.86774e-05	0.00553969	0.000376756	7.148e-05	0.00020362	9.77919e-05	8.34044e-05
o	0.00154672	0.000234111	0.985714	0.00111713	0.00681729	0.00098696	0.000363954	5.25633e-05	0.000586857	0.000111206	0.00199367	0.000204346	4.74876e-05	0.000133063	1.8095e-05	7.26805e-05
y	0.195535	0.0465311	0.391061	0.15251	0.105485	0.0368791	0.0174611	0.00783902	0.0248268	0.00700485	0.00340084	0.00382349	0.00281234	0.000669266	0.000350465	0.00381105
á	0.341223	0.131857	0.134692	0.0606107	0.0424897	0.0229287	0.0244951	0.0335161	0.147092	0.0251878	0.0116697	0.00474359	0.00163332	0.00799985	0.00148987	0.00837041
b	0.108673	0.726702	0.00933086	0.0453215	0.0181665	0.011639	0.00878999	0.0120205	0.0405447	0.00726	0.00168979	0.00140079	0.000788019	0.00532846	0.000426481	0.00191778
í	0.0275749	0.9119	0.00103818	0.0222736	0.00543657	0.00484103	0.00433589	0.00909883	0.00045099	0.00098665	0.00111069	0.00143811	0.00253649	0.00329628	0.00229609	0.00138569
s	0.0157164	0.977309	0.000198446	0.00336415	0.000752006	0.000555309	0.000424942	0.000685795	8.35624e-05	3.41014e-05	1.18114e-05	6.67185e-05	0.000297451	0.000145789	0.000141858	0.000212698
í	0.116485	0.266864	0.00173298	0.168805	0.0164013	0.0215547	0.0465414	0.0889594	0.00620355	0.0243203	0.00412172	0.0109997	0.00838929	0.0250923	0.0111139	0.182415
e	0.0106905	0.0112558	0.0291864	0.331696	0.176817	0.0646145	0.0496738	0.0626957	0.143422	0.0701661	0.00996154	0.0196053	0.00594851	0.0049592	0.00223322	0.00707439
s	0.00318657	0.00141193	0.0290221	0.196018	0.37393	0.052714	0.027204	0.0245878	0.0516539	0.0828074	0.106767	0.0229399	0.0170974	0.00241474	0.000967691	0.00727767
y	0.00295021	0.00166126	0.0015226	0.0897921	0.0786886	0.0237473	0.0284876	0.0180517	0.401238	0.0585593	0.270065	0.0134444	0.00449086	0.000437689	0.000465268	0.00639743
ε	0.00536024	0.00573331	0.00109316	0.0192364	0.0221072	0.0183878	0.0242901	0.00618286	0.150351	0.0165294	0.714456	0.00824019	0.00198305	0.000279354	0.000827351	0.00494199
