 	il	m'	a	demandé	de	le	dédommager	pour	son	assiette	que	j'	ai	cassée	</S>
w	0.802139	0.0487147	0.0249175	0.0157782	0.0228781	0.0117379	0.0203277	0.00492664	0.00615597	0.0142262	0.0139105	0.00834327	0.00553834	0.000148996	0.000256695
a	0.675276	0.0834865	0.00810876	0.0127987	0.0529532	0.0470311	0.0024188	0.0286114	0.0454047	0.0217143	0.00451227	0.00766577	0.0072337	0.00259061	0.000193718
á	0.107966	0.281535	0.350198	0.109529	0.0547427	0.02052	0.00243334	0.0110465	0.0115782	0.00214141	0.0108564	0.00779126	0.027198	0.00146623	0.000998162
y	0.0115374	0.122893	0.417954	0.14318	0.0154687	0.00980764	0.0156266	0.0152319	0.0207838	0.0147751	0.0342916	0.0487642	0.0861336	0.0113322	0.0322208
i	0.00262384	0.163877	0.15659	0.415857	0.0258706	0.0619796	0.033363	0.00314038	0.0232816	0.0314001	0.0116141	0.0207014	0.0077044	0.00125861	0.0407392
r	0.00389484	0.041672	0.380992	0.371685	0.0556592	0.0398711	0.0112362	0.00467567	0.0173779	0.00687422	0.00592244	0.00211968	0.00568611	0.00156696	0.050767
i	0.0061184	0.125964	0.121503	0.492912	0.0751732	0.0789004	0.0211762	0.00574289	0.0221924	0.0166273	0.00877025	0.00903301	0.0109093	0.000355779	0.00462176
i	0.0587967	0.167595	0.150309	0.0855002	0.131845	0.15695	0.052107	0.0136845	0.0424657	0.00761284	0.0463352	0.0133502	0.0146523	0.0048959	0.0539005
n	0.00543753	0.0608519	0.0733348	0.163854	0.199605	0.22544	0.128411	0.0222415	0.0363166	0.0514776	0.00899623	0.0102944	0.00216072	0.00678562	0.00479272
g	0.000159727	0.021504	0.00253588	0.0548393	0.0164173	0.147675	0.560841	0.00891143	0.0116113	0.121188	0.00441362	0.048421	0.000861098	1.75323e-05	0.000603213
á	0.000804112	0.0730519	0.00794761	0.0726826	0.0672737	0.226656	0.346072	0.00671188	0.0194205	0.115995	0.00780897	0.0485196	0.00199389	0.000578071	0.004484
s	0.000684888	0.00230402	0.0245643	0.054835	0.316435	0.379171	0.0407789	0.0494104	0.0554482	0.0239972	0.0259098	0.00325571	0.00869346	0.00435541	0.0101575
a	0.00028169	0.00238304	0.00617468	0.0398514	0.102579	0.355513	0.09737	0.0598492	0.143327	0.141618	0.025183	0.00319665	0.00308149	0.000855455	0.0187366
á	0.000896767	0.00710615	0.0275145	0.0266538	0.103902	0.119742	0.0172021	0.0485376	0.296024	0.0491648	0.170494	0.0133967	0.0199977	0.0143201	0.0850481
n	0.000369368	0.00319191	0.031427	0.0433365	0.0588489	0.0422406	0.0539617	0.170952	0.201182	0.0569841	0.154281	0.057333	0.0653611	0.0388852	0.0216454
i	0.000146761	0.00781926	0.0036401	0.0221665	0.0135114	0.0377371	0.153947	0.0579729	0.123278	0.334783	0.079487	0.135028	0.0148325	0.000659895	0.0149903
l	2.20335e-05	0.0015421	0.0174649	0.0278712	0.0808863	0.0456167	0.027324	0.101459	0.261055	0.0464063	0.19831	0.043848	0.078598	0.0252626	0.0443342
á	0.000287207	0.00114823	0.00665848	0.00943855	0.0313337	0.0439971	0.0426921	0.178467	0.197032	0.0733865	0.208126	0.0609993	0.0461016	0.0123455	0.0879866
w	0.000895083	0.00411091	0.00754902	0.00698431	0.0177081	0.0283658	0.0105548	0.113544	0.223884	0.0407297	0.214193	0.114515	0.150393	0.035868	0.030704
a	0.000873384	0.0023707	0.00546283	0.00451925	0.0173994	0.0117491	0.00417633	0.0745031	0.198408	0.0681059	0.240516	0.0773977	0.0448872	0.0569092	0.192722
l	0.000278219	0.000677698	0.00271212	0.00244238	0.0117093	0.0103978	0.0022656	0.0568946	0.198267	0.0190219	0.428286	0.036755	0.0868904	0.036931	0.106472
í	0.000288437	0.00245949	0.00658289	0.00631762	0.0138157	0.0134638	0.00852822	0.0883159	0.151506	0.0535438	0.120629	0.112805	0.111298	0.0549744	0.255472
í	0.00093918	0.00209219	0.00325214	0.00206786	0.00697826	0.00962832	0.00333912	0.0687878	0.0840631	0.0154546	0.205945	0.0854935	0.174157	0.143251	0.194551
b	9.2613e-05	0.00128919	0.0104793	0.00816756	0.00815294	0.00288278	0.00110777	0.0273779	0.0283513	0.0069927	0.0352709	0.0989426	0.374818	0.295702	0.100373
o	0.00013057	0.000722721	0.00882267	0.00338469	0.0111669	0.00298243	0.000147988	0.021245	0.0458498	0.00373806	0.0126735	0.00359932	0.0374421	0.807696	0.0403984
n	6.44953e-06	4.87884e-05	0.00157154	0.00175621	0.00378464	0.00159833	0.000315667	0.00259393	0.00635871	0.00201385	0.00149836	0.000434522	0.00605897	0.865476	0.106484
d	0.000161343	0.000242293	0.00345753	0.00271833	0.010151	0.00788629	0.00325473	0.0382651	0.0346328	0.0125685	0.0240098	0.0178267	0.0540597	0.628641	0.162125
z	0.000161281	0.000137124	0.0011346	0.00114365	0.00314838	0.00284684	0.000579016	0.0134983	0.024404	0.001647	0.0109483	0.00332994	0.010068	0.625651	0.301302
