 	faisons	vite	un	abri	</S>
l	0.912313	0.0366947	0.0347956	0.0117335	0.00446348
é	0.927211	0.0445047	0.0160725	0.00102885	0.0111827
t	0.801387	0.179568	0.00439685	0.00275311	0.0118951
ó	0.0626643	0.172105	0.111797	0.186783	0.466652
n	0.242496	0.508992	0.0516888	0.0742511	0.122572
g	0.555065	0.287317	0.0392431	0.0366289	0.0817458
a	0.798338	0.161382	0.0061509	0.00523231	0.028897
n	0.139807	0.547608	0.24565	0.0208935	0.046042
d	0.405851	0.450484	0.0591747	0.000980387	0.0835098
é	0.341355	0.575337	0.0331041	0.00384392	0.0463602
e	0.097937	0.509923	0.206416	0.0663998	0.119324
o	0.0305734	0.220825	0.565856	0.0744195	0.108326
k	0.00533668	0.352324	0.299092	0.32007	0.0231781
ó	0.000644354	0.0593734	0.239291	0.645264	0.0554265
l	0.000787445	0.0549633	0.149606	0.69608	0.0985626
ó	0.00880048	0.121367	0.240638	0.398282	0.230914
o	0.00686936	0.0808571	0.260183	0.147481	0.50461
k	0.00246256	0.0753836	0.216893	0.358682	0.346578
ó	0.00149951	0.0227225	0.148377	0.685102	0.142299
l	0.000332905	0.0187408	0.0900377	0.716767	0.174122
ó	0.00157875	0.0197234	0.0896231	0.505249	0.383825
</S>	0.00873147	0.0383786	0.164314	0.0723459	0.71623
