 	coupez	cette	plante	parasite	qui	pousse	sur	le	safoutier	pour	que	celui-ci	pousse	bien	</S>
l	0.729562	0.126888	0.0355263	0.0291363	0.0406926	0.00258366	0.00686045	0.00740018	0.00427694	0.0062472	0.00599157	0.00266445	0.00153847	0.000534035	9.79219e-05
é	0.708957	0.177217	0.0432951	0.0118126	0.0222095	0.00212931	0.00836855	0.00748022	0.00384817	0.007813	0.0033049	0.000599567	0.00106629	0.00122082	0.000678043
k	0.75429	0.127605	0.0536544	0.00546727	0.0149486	0.00925595	0.0073779	0.00653927	0.000696948	0.00355193	0.00566829	0.00165331	0.00241048	0.000657287	0.00622362
w	0.679307	0.022915	0.0436268	0.0516265	0.00590978	0.0535301	0.00702158	0.00922017	0.00826061	0.01923	0.00899768	0.0185813	0.0165997	0.0124079	0.0427663
ε	0.857795	0.0399533	0.02519	0.0248832	0.00215236	0.0137832	0.00355731	0.00428282	0.00164856	0.00410413	0.00401852	0.00487063	0.00312151	0.00295747	0.0076822
r	0.419927	0.187592	0.0472857	0.0466357	0.0269735	0.00984149	0.0169717	0.0223956	0.00352331	0.0177478	0.0333875	0.029596	0.00923961	0.0230959	0.105787
έ	0.686895	0.139663	0.0221249	0.0123388	0.00752443	0.00112185	0.0110764	0.0169137	0.00158512	0.0247162	0.0260807	0.0133476	0.00305369	0.00966049	0.0238975
l	0.052033	0.61839	0.213059	0.016715	0.0223525	0.00502756	0.0140401	0.00868567	0.00762336	0.0121778	0.00680913	0.00400376	0.00561281	0.00341673	0.0100534
e	0.0534836	0.417749	0.151067	0.016529	0.0405779	0.0180498	0.0385481	0.0241009	0.0107439	0.0470715	0.0247206	0.00802228	0.0222611	0.00715354	0.119922
n	0.0987289	0.479743	0.291611	0.0243731	0.0147656	0.0193133	0.00786343	0.00442827	0.00241042	0.00537198	0.00516041	0.0029845	0.00475235	0.00163723	0.0368565
a	0.0387367	0.519358	0.243072	0.0200578	0.0764419	0.0145657	0.0142272	0.0120701	0.0026235	0.00775952	0.00969489	0.00493669	0.00690348	0.00556796	0.0239852
m	0.01226	0.219105	0.477742	0.0358373	0.0953385	0.0746293	0.0154014	0.0133393	0.00417465	0.00436519	0.00836552	0.0051206	0.019573	0.00389045	0.0108581
á	0.00223623	0.209244	0.201148	0.279362	0.136325	0.0159065	0.0752813	0.0211132	0.00370381	0.0164188	0.00998744	0.00469347	0.00098964	0.000753048	0.0228376
l	0.0166983	0.179725	0.236424	0.292446	0.0907973	0.0758417	0.0248311	0.0192983	0.0140414	0.0127718	0.00829865	0.00907295	0.00542862	0.00533725	0.00898808
í	0.00673199	0.117775	0.0905475	0.104938	0.154929	0.187353	0.0520075	0.0332876	0.00960187	0.0171963	0.0157924	0.0053786	0.0315101	0.00657869	0.166372
í	0.00514927	0.0958869	0.0889267	0.0602281	0.231571	0.202662	0.0693154	0.0443481	0.0162389	0.0281155	0.040135	0.0236381	0.0315125	0.0114968	0.0507764
d	0.00431683	0.0430439	0.0478435	0.102627	0.102575	0.208375	0.155165	0.0950031	0.152242	0.0368993	0.0134414	0.00913086	0.00941962	0.00642206	0.0134944
i	0.000186695	0.00828967	0.0148896	0.189199	0.0389828	0.0741737	0.171608	0.0855477	0.251555	0.0409794	0.0095429	0.00283294	0.00750142	0.00497111	0.0997395
m	0.00018772	0.0117687	0.0201392	0.20204	0.0876285	0.0382311	0.275091	0.169523	0.0893811	0.0581158	0.019077	0.00923962	0.00370329	0.00429964	0.0115741
ó	0.000204107	0.00481282	0.0146335	0.117989	0.114012	0.0691644	0.295728	0.178738	0.0233192	0.0785561	0.0435424	0.0179125	0.00483332	0.00271858	0.0338353
s	0.00162034	0.00719133	0.01163	0.0292462	0.0325021	0.0824851	0.104026	0.199971	0.128099	0.0913718	0.0961654	0.148777	0.0348795	0.0238004	0.00823338
á	0.000204165	0.00495956	0.0109803	0.0408735	0.0302731	0.026209	0.190099	0.270349	0.235249	0.0953948	0.0383951	0.0139971	0.013059	0.00516503	0.0247922
á	0.000405521	0.0027406	0.00404724	0.0187928	0.0254438	0.0239704	0.0672719	0.119562	0.301813	0.186469	0.127165	0.0551954	0.0275359	0.0193679	0.0202193
b	0.000396447	0.00499414	0.00369646	0.005772	0.0122382	0.00835416	0.0759664	0.131246	0.180261	0.247037	0.128139	0.0492898	0.113795	0.0242032	0.0146107
v	0.00245765	0.00434871	0.00310361	0.00977233	0.00306832	0.0337171	0.015352	0.0666662	0.170309	0.11635	0.0788335	0.162608	0.0537421	0.246665	0.0330057
ú	0.000959308	0.0013222	0.000940607	0.00511533	0.00294296	0.0113565	0.0176256	0.08687	0.0465884	0.132537	0.170048	0.244413	0.0616449	0.175343	0.0422925
b	4.44986e-05	0.000648692	0.00113372	0.00572529	0.00856001	0.00507608	0.126339	0.222064	0.0649052	0.213279	0.160719	0.131681	0.0199022	0.0230363	0.0168869
a	0.000605068	0.00380719	0.00508553	0.00667545	0.0240077	0.0162517	0.0214283	0.0608845	0.100011	0.172161	0.109653	0.311652	0.0298353	0.0808858	0.0570567
á	0.000127659	0.00125289	0.000974512	0.00136989	0.00788323	0.00793155	0.0276739	0.0428456	0.0714741	0.150806	0.131801	0.111877	0.231087	0.0842967	0.128599
b	0.000717655	0.00872479	0.00518903	0.00590534	0.0105621	0.00546982	0.0328442	0.0298383	0.0699256	0.138524	0.0541834	0.0205901	0.452623	0.0925755	0.072328
v	0.000909077	0.00116752	0.000858941	0.00230683	0.00114411	0.00840955	0.00613897	0.0240196	0.0220329	0.0679306	0.0583499	0.0577353	0.175689	0.436152	0.137156
ú	0.000699806	0.00163413	0.000836774	0.00227782	0.00241411	0.00516982	0.0103316	0.026918	0.0357273	0.16994	0.0690853	0.0651783	0.157097	0.29083	0.161859
a	4.27753e-05	0.00062889	0.000446671	0.00152345	0.00330696	0.00136807	0.0294867	0.0555947	0.0551214	0.170222	0.111426	0.0706095	0.0478843	0.206109	0.246229
ó	3.77768e-05	0.00153181	0.00106063	0.00087985	0.00434533	0.00175504	0.0173337	0.0223019	0.00797585	0.100373	0.0741474	0.0230539	0.298813	0.202594	0.243797
n	0.000755215	0.0178594	0.0105913	0.00714497	0.0109204	0.00991751	0.0377594	0.0292136	0.0265154	0.0762017	0.0454412	0.0198152	0.322217	0.290807	0.0948405
y	0.000175218	0.0106066	0.00331824	0.00689164	0.0120077	0.00185868	0.0300122	0.0247096	0.0195646	0.0573013	0.0350912	0.0035864	0.186172	0.106342	0.502363
a	0.00066005	0.0226394	0.0150209	0.0123133	0.0128685	0.00281845	0.0306735	0.0310362	0.0204774	0.118078	0.0403461	0.0247123	0.134245	0.0978562	0.436254
a	2.91198e-05	0.000597073	0.00038525	0.000772842	0.00121928	0.000998121	0.00702654	0.0115928	0.0264458	0.0555003	0.0486124	0.0239378	0.101732	0.213599	0.507552
g	0.000101873	0.00163031	0.001339	0.00134321	0.00416627	0.00194135	0.0130042	0.01383	0.00746669	0.0453518	0.0550611	0.0131794	0.242417	0.347642	0.251526
h	0.00111107	0.00305809	0.00193404	0.00400959	0.00267817	0.00260752	0.00643164	0.0105482	0.0222608	0.0488126	0.02895	0.0211498	0.129973	0.59039	0.126086
a	0.000274116	0.00126607	0.000739422	0.00347528	0.000915664	0.00135869	0.003993	0.0111361	0.00512922	0.0489745	0.0514456	0.0475543	0.0851049	0.63513	0.103503
</S>	2.90031e-05	0.000363737	0.000263002	0.00111264	0.000468193	0.000248274	0.00347608	0.00890114	0.00601462	0.0524352	0.0428724	0.0223221	0.0403873	0.315577	0.50553
