 	mon	bras	droit	s'	est	cassé	</S>
n	0.512566	0.389186	0.0767598	0.0174905	0.00241049	0.00138836	0.000198896
g	0.994689	0.00270881	0.00174661	0.000719757	8.70709e-05	3.60405e-05	1.33068e-05
á	0.948928	0.0365447	0.0120808	0.00134091	0.000529451	0.00046679	0.000109763
e	0.439344	0.387054	0.0585031	0.0423568	0.0146171	0.034235	0.0238897
b	0.0575798	0.723406	0.0771608	0.0322642	0.0426551	0.0207905	0.046144
ώ	0.00126919	0.902209	0.0200654	0.0140005	0.0164689	0.03724	0.00874684
ω	0.0161193	0.805557	0.0946599	0.0420589	0.015626	0.00696817	0.0190111
y	0.317853	0.232575	0.217848	0.164191	0.0494966	0.00191409	0.0161225
é	0.0791754	0.0373648	0.636127	0.173919	0.0360652	0.00159827	0.0357506
l	0.107423	0.0147503	0.653392	0.161356	0.0231171	0.00528696	0.0346742
ó	0.065434	0.032999	0.483878	0.108189	0.0360839	0.00504767	0.268368
m	0.0279011	0.0193077	0.686502	0.190035	0.0340918	0.00662357	0.0355396
i	0.00989919	0.0398015	0.10396	0.352701	0.28583	0.05306	0.154748
é	0.0024099	0.0221927	0.0939576	0.318485	0.34968	0.0622207	0.151054
m	0.000781583	0.00789679	0.0295356	0.170754	0.552067	0.109655	0.12931
i	0.000359762	0.00601945	0.00380457	0.0732445	0.362091	0.420381	0.134099
b	8.02123e-05	0.00500435	0.00412767	0.0262895	0.255851	0.544856	0.163791
v	5.83236e-05	0.00685737	0.00184735	0.00519501	0.0351619	0.920776	0.0301037
ú	1.26835e-05	0.00268294	0.00137446	0.00509582	0.024154	0.945566	0.021114
n	0.000575217	0.000417478	0.0075303	0.0120384	0.0198053	0.705667	0.253966
y	0.00162147	0.00303756	0.0185723	0.018188	0.0111529	0.838272	0.109156
a	0.000176708	0.000877583	0.0127876	0.00577947	0.00719588	0.788478	0.184705
</S>	0.00342403	0.00467045	0.0223139	0.144928	0.070998	0.0922991	0.661367
