 	sa	mère	a	plus	d'	amour	pour	lui	que	pour	son	frère	</S>
o	0.894772	0.054693	0.00704538	0.00432497	0.00480264	0.00384562	0.0120488	0.00490122	0.00420631	0.00439646	0.004644	0.000212505	0.000106948
n	0.0318225	0.915954	0.0125524	0.00429275	0.00329619	0.0029306	0.00139654	0.00192679	0.00235364	0.00513662	0.00232995	0.00736182	0.00864637
i	0.0226849	0.196461	0.0229569	0.0564726	0.0625931	0.118418	0.0469207	0.0427738	0.0520884	0.105826	0.0647928	0.133422	0.0745896
n	0.0252724	0.816849	0.0185398	0.00867865	0.00869177	0.00998148	0.00461345	0.00460888	0.00328061	0.00450489	0.00488854	0.0360581	0.0540318
g	0.188544	0.454035	0.0562672	0.0253105	0.0261913	0.0126623	0.0132377	0.031572	0.0135736	0.011651	0.008451	0.0162278	0.142277
i	0.439041	0.418398	0.0354731	0.0172354	0.0144009	0.00740973	0.00452618	0.00976938	0.00446203	0.00400445	0.00442623	0.00719371	0.0336594
m	0.204319	0.0327469	0.348334	0.151935	0.109399	0.0364305	0.0302764	0.0258156	0.0205703	0.0110102	0.0111774	0.00417938	0.0138068
á	0.126768	0.00754592	0.532486	0.108826	0.0807858	0.0114403	0.03207	0.0651041	0.0147661	0.00585072	0.00270162	0.00262653	0.0090295
w	0.205502	0.0184445	0.300272	0.0955914	0.0768239	0.0400343	0.0508198	0.0400791	0.0281733	0.0304802	0.0267817	0.0309872	0.0560105
a	0.0327759	0.00112747	0.201815	0.20728	0.154784	0.0484995	0.0591445	0.0779127	0.0688722	0.050256	0.0490559	0.0147567	0.0337191
l	0.0364884	0.00103271	0.251802	0.291453	0.181672	0.104663	0.0316058	0.0204719	0.0186725	0.0131614	0.020523	0.005743	0.0227115
a	0.0207554	0.000615804	0.077532	0.190163	0.126011	0.0654039	0.0529862	0.0451292	0.0533748	0.06399	0.0288033	0.028465	0.246771
n	0.0317889	0.000718334	0.140513	0.224423	0.194055	0.176008	0.0610981	0.038897	0.0291157	0.0225988	0.0211199	0.0093718	0.0502926
g	0.100374	0.0640962	0.0681533	0.176906	0.226573	0.110374	0.0408034	0.0413817	0.0312257	0.0270473	0.0197049	0.0301954	0.0631648
ó	0.0114267	0.0255319	0.0564313	0.188021	0.270254	0.275138	0.0446393	0.0281809	0.0141526	0.0168193	0.00948618	0.0285035	0.0314146
o	0.00496087	0.00473269	0.0467367	0.0705332	0.142074	0.307734	0.11279	0.0770088	0.0538389	0.0301969	0.0498656	0.031893	0.0676351
ó	0.00376352	0.000181377	0.0600403	0.0891754	0.158155	0.219137	0.244928	0.121584	0.0729833	0.0153463	0.00846846	0.00279907	0.00343837
p	0.00164817	0.000840782	0.0136647	0.0525252	0.0964289	0.181001	0.260625	0.100098	0.134059	0.0843975	0.0314556	0.0348387	0.00841739
é	0.000253066	5.52039e-05	0.0114189	0.115104	0.104146	0.261313	0.125699	0.0466826	0.109092	0.121577	0.0415723	0.0216475	0.0414382
n	0.0036726	0.000135896	0.0258714	0.124279	0.0987464	0.166549	0.136062	0.0803187	0.142819	0.0868949	0.0526098	0.0111248	0.0709164
d	0.00282247	3.40185e-05	0.015803	0.057777	0.0622661	0.0502071	0.158412	0.195606	0.226855	0.125979	0.0400867	0.0139767	0.0501747
í	0.00158932	0.000610013	0.0185048	0.0553691	0.0790962	0.109393	0.101955	0.205323	0.150121	0.0750103	0.0387005	0.0381688	0.126158
m	0.00111654	3.76993e-05	0.00615146	0.0137569	0.022263	0.0202378	0.119875	0.18151	0.295946	0.161258	0.153697	0.0122666	0.0118836
á	0.000515819	8.53457e-05	0.0116298	0.00437058	0.0128173	0.0069941	0.164468	0.413832	0.118401	0.106415	0.0367653	0.0507664	0.0729395
o	0.00246137	0.000235702	0.00592148	0.00477116	0.00811647	0.0102144	0.0735919	0.118734	0.15852	0.189239	0.276125	0.122588	0.0294823
d	3.92053e-05	6.68606e-05	0.00219306	0.00561114	0.00953757	0.0233026	0.0335655	0.0237788	0.0768563	0.269888	0.237771	0.268136	0.0492529
i	0.000283108	0.000399627	0.00266003	0.00754455	0.0208341	0.0410056	0.0293566	0.0249947	0.0240647	0.0606588	0.036421	0.668863	0.082914
m	7.46088e-05	6.74307e-05	0.00253646	0.0097138	0.0246348	0.0323512	0.0560963	0.0426987	0.0802795	0.210748	0.205417	0.178768	0.156614
í	0.000122451	9.68437e-06	0.000658613	0.00327392	0.00814992	0.0098136	0.0787126	0.0629334	0.081283	0.180647	0.107102	0.274443	0.192851
</S>	0.000344086	1.07793e-05	0.00153024	0.00299022	0.00416385	0.00412443	0.0272059	0.0468476	0.110995	0.156499	0.182767	0.13417	0.328352
