 	il	est	très	fatigué	il	travaille	beaucoup	</S>
m	0.848272	0.07865	0.0418565	0.0153919	0.00759746	0.00729853	0.000885596	4.853e-05
a	0.558168	0.150692	0.103765	0.0290895	0.0172862	0.0418522	0.0109171	0.0882294
á	0.2027	0.534029	0.110761	0.0635954	0.0268162	0.0147532	0.00871043	0.038636
m	0.197338	0.498009	0.184826	0.0661278	0.00960745	0.014303	0.00399464	0.0257939
i	0.0656966	0.50844	0.200954	0.104346	0.0362117	0.024549	0.00490453	0.0548981
y	0.0446516	0.25299	0.197471	0.400144	0.0144982	0.00455907	0.00126189	0.0844246
ú	0.00378198	0.236695	0.525736	0.145755	0.0196481	0.00749957	0.00643812	0.0544458
l	0.00574816	0.100374	0.500988	0.0850199	0.0118895	0.00787977	0.00771115	0.280389
á	0.0165235	0.188586	0.600106	0.0665353	0.0430475	0.01261	0.00820267	0.0643893
ω	0.103327	0.12072	0.327785	0.25089	0.147384	0.037225	0.0094174	0.00325129
k	0.0089384	0.0251221	0.110224	0.798258	0.0402682	0.00832932	0.00614771	0.00271174
ώ	0.00112832	0.00595056	0.0680776	0.837198	0.0523671	0.00463044	0.0189514	0.0116966
b	0.00183081	0.0114481	0.0499635	0.799343	0.0881924	0.00264649	0.0149769	0.031599
h	0.0509764	0.121155	0.120786	0.293979	0.155124	0.0100813	0.00906037	0.238838
ω	0.0211915	0.148598	0.175935	0.369174	0.0823064	0.0162129	0.0197881	0.166793
w	0.0231119	0.032645	0.141839	0.151482	0.554966	0.0469671	0.00882561	0.0401637
a	0.0689573	0.0465135	0.27359	0.112657	0.396524	0.030586	0.0290355	0.0421371
l	0.0136851	0.00751537	0.0502251	0.0343378	0.397856	0.337324	0.0695059	0.0895506
á	0.0551267	0.0257998	0.0534883	0.0515364	0.110484	0.110913	0.235122	0.357531
a	0.0218434	0.0192616	0.0801404	0.0208869	0.129636	0.285293	0.39305	0.0498888
p	0.00976481	0.0520636	0.111861	0.198729	0.0471227	0.190306	0.357644	0.0325094
é	0.00076228	0.0353232	0.0837605	0.144249	0.140389	0.280658	0.120801	0.194056
n	0.00133399	0.014526	0.0401601	0.0257615	0.168895	0.15527	0.14776	0.446294
d	0.0030338	0.00842468	0.0288276	0.0187452	0.180163	0.135205	0.327554	0.298047
á	0.0038115	0.0095024	0.0469896	0.0251496	0.211114	0.156379	0.29255	0.254504
ω	0.0032414	0.0037004	0.0253752	0.0132125	0.106266	0.135575	0.343344	0.369286
s	0.00489995	0.0124717	0.0310099	0.0437499	0.0292717	0.0723128	0.723526	0.0827583
á	0.00146113	0.0316978	0.0462672	0.0245648	0.0227453	0.17742	0.537493	0.15835
l	0.00130779	0.00363895	0.0126257	0.00399965	0.012508	0.0771995	0.501311	0.387409
á	0.000480743	0.00111955	0.00479879	0.00456281	0.0178819	0.0470122	0.743042	0.181102
o	0.00447725	0.00367215	0.0142589	0.00943929	0.034907	0.0533406	0.629085	0.25082
y	0.00201953	0.0247981	0.0790868	0.211861	0.0232532	0.0334168	0.507613	0.117952
í	0.000332332	0.0161772	0.0554874	0.0403571	0.0332725	0.106037	0.331848	0.416488
í	0.000386417	0.003797	0.0126088	0.00304047	0.00869505	0.0375516	0.111525	0.822396
</S>	0.00298675	0.00690424	0.0204215	0.0114206	0.0327878	0.0601279	0.389584	0.475767
