 	j'	ai	vu	un	scolopendre	au	dessous	du	lit	</S>
n	0.965622	0.0160538	0.00119936	0.00724619	0.00123742	0.00419239	0.00025323	0.00298549	0.00104294	0.000166659
g	0.983803	0.013958	0.000376786	0.00145835	6.6123e-05	0.000233426	2.19577e-05	4.7442e-05	3.25053e-05	2.43808e-06
á	0.851596	0.136444	0.00714098	0.00319982	0.000296195	0.000413433	2.80493e-05	0.000405676	0.000265477	0.000210248
í	0.0386074	0.216542	0.0912949	0.0642975	0.0179802	0.00687484	0.0134978	0.0226797	0.0179613	0.510265
t	0.00836502	0.203272	0.726326	0.0392582	0.00870734	0.0010474	0.0067859	0.00114494	0.00103209	0.00406108
ε	0.0001238	0.0481737	0.734734	0.155662	0.0525408	0.000857221	0.00106106	0.000459953	0.00125229	0.00513496
i	0.00600682	0.127994	0.298647	0.482068	0.063685	0.0162538	0.000335038	0.00191766	0.00039432	0.00269904
m	0.0298022	0.104565	0.0850268	0.514361	0.0832153	0.131296	0.0197517	0.0181303	0.00381071	0.0100407
w	0.000968888	0.00381955	0.000565147	0.0472074	0.0192468	0.0386419	0.860089	0.0158451	0.00317013	0.0104463
a	0.00319427	0.00396727	0.0104197	0.199019	0.221663	0.116294	0.410262	0.0132034	0.00584628	0.0161297
b	0.00114415	0.00421019	0.00555663	0.165295	0.286324	0.149028	0.263231	0.0154865	0.0143192	0.0954059
h	0.00126121	0.000624084	0.00519904	0.181029	0.600482	0.0580979	0.0857148	0.0160923	0.0348372	0.0166625
í	0.000881854	0.000473413	0.00261464	0.0445305	0.671281	0.0614349	0.125543	0.0388252	0.0102888	0.0441262
l	1.61607e-05	0.000769157	0.0139355	0.0730256	0.259701	0.406574	0.0680709	0.102217	0.0169762	0.0587144
í	0.000511676	0.00564354	0.0251177	0.0503891	0.0499522	0.214546	0.288484	0.118292	0.0197698	0.227293
m	0.00137866	0.00428612	0.00448651	0.0197772	0.0101964	0.331504	0.17819	0.305752	0.0809947	0.0634344
w	0.000107665	0.000659493	0.000508699	0.00808838	0.00494574	0.04572	0.150449	0.130536	0.0903586	0.568627
a	0.0023807	0.00035705	0.00025183	0.0154237	0.0534911	0.0458653	0.534606	0.078065	0.17202	0.0975394
ó	1.88784e-05	6.6211e-05	0.00052439	0.011225	0.0803896	0.132764	0.25287	0.0684435	0.19955	0.254149
t	4.45396e-05	0.00140776	0.00351185	0.0284885	0.0081634	0.100452	0.0357135	0.272352	0.134289	0.415578
s	0.000729205	0.00338968	0.022843	0.0363161	0.046438	0.0432339	0.0370938	0.206916	0.209944	0.393097
é	3.49457e-05	0.000193479	0.00186048	0.00570462	0.0654191	0.027343	0.103877	0.140817	0.549434	0.105316
y	4.11658e-05	0.000102714	0.000554057	0.00152461	0.00385311	0.00953345	0.0527484	0.0548291	0.33552	0.541294
ó	4.4726e-05	0.000275183	0.00166988	0.00431107	0.00556188	0.0139469	0.108667	0.182776	0.436194	0.246554
b	0.000318064	0.00160457	0.00136409	0.00657018	0.0017433	0.0141923	0.0128982	0.125516	0.535262	0.300531
é	0.000411064	0.000757418	0.00118349	0.00773697	0.0179519	0.0112986	0.00874191	0.0652437	0.853417	0.0332575
é	0.000228518	9.84328e-05	0.000185394	0.000707679	0.00407955	0.00278005	0.010847	0.0146193	0.772651	0.193803
</S>	2.77514e-05	0.000701214	0.00359901	0.00950981	0.00274173	0.0112198	0.00425609	0.0803026	0.553237	0.334405
