 	il	est	venu	pour	la	construction	du	village	</S>
w	0.759278	0.180243	0.0112434	0.0056845	0.0132179	0.0116464	0.0171801	0.00140728	0.000100279
a	0.790344	0.159448	0.00558695	0.00941321	0.0192247	0.00677917	0.0089479	0.000186777	6.82904e-05
á	0.112682	0.575275	0.251219	0.0259369	0.0122709	0.00682463	0.0116052	0.000261146	0.00392515
y	0.0325758	0.321884	0.469461	0.0640331	0.0271347	0.0151049	0.0168094	0.00271514	0.0502818
ε	0.0149555	0.109957	0.689817	0.0213887	0.0135326	0.0146611	0.0151643	0.00284344	0.11768
i	0.069704	0.189082	0.385058	0.0873267	0.0428686	0.0358081	0.0436597	0.00105566	0.145436
m	0.0248285	0.0796523	0.34883	0.288249	0.118842	0.0508545	0.0254015	0.00272879	0.0606139
í	0.0534163	0.170974	0.0450132	0.504571	0.0778199	0.0311085	0.0435542	0.0014956	0.0720478
t	0.0748124	0.075477	0.11629	0.201802	0.253573	0.158142	0.0489543	0.00336475	0.0675841
ó	0.0441811	0.0696487	0.12902	0.161314	0.243462	0.132334	0.0596492	0.136595	0.0237958
n	0.0121969	0.0374418	0.17696	0.0845808	0.112457	0.12801	0.0858898	0.280787	0.0816771
g	0.0336328	0.0233022	0.0183537	0.184149	0.233603	0.362134	0.0577876	0.0102963	0.0767421
a	0.0449355	0.00853807	0.00344904	0.0267331	0.095187	0.67661	0.103424	0.00485067	0.0362718
l	0.0130632	0.0184861	0.0351627	0.132505	0.161776	0.273918	0.276269	0.00535958	0.0834609
á	0.00527971	0.00562317	0.00929025	0.0406415	0.0741183	0.250894	0.299275	0.0266002	0.288278
p	0.0150827	0.0150106	0.0122024	0.0408801	0.0859525	0.178581	0.33663	0.300861	0.0147995
o	0.00231461	0.00314904	0.00284012	0.00543801	0.0179199	0.0311038	0.0340609	0.898136	0.00503809
o	0.000729909	0.00128483	0.00264678	0.0057418	0.00936248	0.0116112	0.0353214	0.9206	0.0127019
</S>	0.00136553	0.00858507	0.0194869	0.0401	0.0595661	0.049729	0.170685	0.0817687	0.568714
