 	cet	écolier	est	gaucher	</S>
m	0.547912	0.447974	0.00386003	8.4458e-05	0.000169045
w	0.217038	0.699659	0.0562003	0.000491897	0.0266102
á	0.11367	0.882254	0.00197266	0.00108841	0.00101502
n	0.753339	0.217536	0.00712224	0.000875389	0.0211277
a	0.12599	0.522094	0.161661	0.0198744	0.170381
y	0.734	0.203795	0.0545441	0.00154746	0.00611329
a	0.296132	0.412391	0.153969	0.0288626	0.108645
l	0.556148	0.304628	0.107471	0.00313582	0.0286173
e	0.349528	0.475509	0.0285967	0.00502388	0.141343
k	0.28754	0.260957	0.27442	0.0578037	0.119279
ώ	0.177806	0.429294	0.144157	0.0672001	0.181542
ώ	0.187462	0.59695	0.101861	0.0326898	0.0810368
l	0.0903342	0.0851913	0.723189	0.0271586	0.074127
i	0.0328201	0.0640297	0.30317	0.0176186	0.582362
w	0.160573	0.0547776	0.522664	0.0723028	0.189682
ó	0.0223098	0.0733564	0.444048	0.241671	0.218615
a	0.0542317	0.0236095	0.479948	0.0806666	0.361544
d	0.00518121	0.00726685	0.304381	0.353903	0.329268
í	0.00475245	0.000880279	0.069688	0.0887593	0.83592
e	0.0171387	0.00572761	0.171248	0.0862847	0.719601
w	0.0034942	0.0023946	0.0133165	0.711016	0.269779
ε	0.00175434	0.00457269	0.0172844	0.926999	0.0493897
s	0.00556966	0.00914026	0.115675	0.625512	0.244103
έ	0.00845094	0.00490341	0.0135753	0.826694	0.146376
</S>	0.00786628	0.0016531	0.0540975	0.0332043	0.903179
