 	le	feu	est	allumé	</S>
m	0.832687	0.13566	0.0307473	0.00039685	0.000508274
í	0.0744757	0.910582	0.0093342	0.00130824	0.00429962
á	0.47022	0.460463	0.0135455	0.0523008	0.00347118
í	0.139751	0.398682	0.415797	0.0134655	0.0323054
m	0.0428986	0.0213842	0.779953	0.0822987	0.073465
i	0.0112137	0.0508063	0.463118	0.317506	0.157356
l	0.0123971	0.0106567	0.205748	0.63407	0.137128
o	0.00762831	0.00189201	0.0424412	0.869272	0.0787665
a	0.0206661	0.00363536	0.206484	0.373293	0.395922
</S>	0.0606115	0.0136725	0.557182	0.137586	0.230948
