 	tu	ne	le	mets	pas	du	bon	coté	</S>
n	0.832136	0.0898419	0.0289609	0.0222402	0.012792	0.00743275	0.0046987	0.000922077	0.000975449
ω	0.987755	0.00797833	0.00270359	0.000343695	0.000392253	0.000351685	0.000292479	3.83969e-05	0.000144964
o	0.677746	0.243381	0.0550067	0.00604695	0.00236942	0.00264464	0.000461801	0.000405502	0.011938
d	0.0026236	0.596099	0.27023	0.0455221	0.016782	0.0167779	0.00729478	0.0114981	0.0331717
í	0.0507361	0.43329	0.228777	0.0217511	0.00975447	0.0102807	0.00140106	0.00313927	0.24087
w	0.0255985	0.176312	0.267964	0.0271478	0.0290599	0.0308176	0.0215074	0.0260792	0.395514
a	0.0225567	0.228964	0.298074	0.124451	0.176896	0.0713461	0.0299849	0.0118459	0.0358805
ω	0.00495928	0.0916368	0.311225	0.199258	0.146178	0.0714015	0.0438223	0.0193481	0.11217
k	0.000100945	0.0198041	0.148583	0.760484	0.0391085	0.014958	0.00301804	0.00489181	0.00905203
a	6.58914e-06	0.00304868	0.0277589	0.936125	0.0139403	0.00825899	0.00191315	0.00425125	0.00469665
n	0.000128141	0.00759133	0.0585654	0.793147	0.0345405	0.0451392	0.019727	0.0161282	0.0250334
á	0.00012657	0.0180603	0.0581758	0.8751	0.0299643	0.00489098	0.000806642	0.00094611	0.0119295
m	0.00332308	0.0637565	0.170136	0.225468	0.353619	0.0835516	0.0273538	0.0156194	0.0571732
ó	0.00159029	0.00804794	0.0296282	0.0168657	0.291771	0.270381	0.150384	0.0484726	0.182859
e	0.00354999	0.00677326	0.024397	0.104087	0.229713	0.231551	0.156897	0.212119	0.0309132
b	0.000494689	0.00821796	0.0261535	0.159766	0.149988	0.21232	0.0779061	0.290387	0.0747669
é	0.00121963	0.00771175	0.0195838	0.0233639	0.0461318	0.100452	0.096519	0.667751	0.0372668
e	0.000289891	0.000777078	0.00380882	0.0205275	0.0438316	0.096714	0.139267	0.480812	0.213973
y	3.98088e-05	0.0033307	0.00944137	0.00624489	0.0568631	0.171932	0.208232	0.259625	0.284292
á	0.00116503	0.0521886	0.0941804	0.0377894	0.0766301	0.142804	0.0977459	0.122046	0.37545
ε	0.0055389	0.00534256	0.0115724	0.00752531	0.0253859	0.0851044	0.268407	0.440542	0.150582
b	0.000526534	0.0066705	0.0149657	0.0441228	0.0220639	0.068958	0.0890459	0.649207	0.10444
v	0.000417505	0.0198004	0.0628735	0.0260949	0.0336354	0.125708	0.0830584	0.544598	0.103814
έ	0.000307376	0.00708364	0.0249115	0.00832892	0.0193162	0.0931381	0.186745	0.61609	0.0440787
k	5.83165e-05	0.000185878	0.00105711	0.000862183	0.0102672	0.0403483	0.126037	0.248927	0.572257
a	0.000920337	0.00233067	0.00739709	0.039756	0.0579297	0.131894	0.243453	0.357011	0.159309
á	3.14405e-05	0.000140316	0.000492811	0.00377069	0.0118424	0.0287812	0.0481058	0.192603	0.714233
</S>	0.00225916	0.0100085	0.0146688	0.00478722	0.0194623	0.0282466	0.0653426	0.114041	0.741184
