 	cette	manière	d'	écrire	n'	est	pas	de	mon	père	</S>
e	0.274082	0.263933	0.144918	0.0856447	0.0403321	0.0176993	0.0401091	0.0515303	0.0126882	0.00158931	0.0674743
k	0.000279304	0.00109697	0.00856142	0.550199	0.0765999	0.0789211	0.0978635	0.17636	0.0092366	0.000200067	0.000682749
y	0.000693128	0.000596013	0.00921965	0.352761	0.187745	0.152331	0.118377	0.161991	0.0052222	0.00671043	0.00435423
έ	9.2221e-05	0.00280024	0.0428058	0.357549	0.162933	0.13122	0.129625	0.146214	0.00889159	0.00562853	0.0122406
m	0.0123495	0.0187363	0.133064	0.527102	0.0613055	0.044867	0.0740992	0.0699425	0.0524798	0.000145011	0.00590939
b	0.0129278	0.00594607	0.0249959	0.162986	0.0655747	0.0912255	0.0643922	0.0970553	0.028111	0.00455513	0.44223
í	0.0110812	0.00470758	0.0271978	0.19396	0.0687831	0.126916	0.132641	0.226458	0.0626176	0.000675127	0.144963
l	0.0451826	0.0450961	0.0645418	0.044155	0.136153	0.203251	0.0954156	0.0748583	0.0437663	0.00992264	0.237658
í	0.0338915	0.0255101	0.0648055	0.0246769	0.0580658	0.0924763	0.0413155	0.0438521	0.0391125	0.0449275	0.531366
y	0.0448395	0.0487631	0.423422	0.09502	0.140987	0.0658763	0.0449453	0.0371689	0.0476588	0.00914597	0.0421731
é	0.0509674	0.0263111	0.213672	0.234511	0.102185	0.0445142	0.030373	0.0495478	0.0233665	0.0156429	0.208908
y	0.0546037	0.0510319	0.228833	0.131452	0.163218	0.0976992	0.0557309	0.0486983	0.018453	0.0199361	0.130343
á	0.0469966	0.130207	0.19907	0.21075	0.104633	0.0450715	0.0305269	0.0419003	0.127724	0.0173666	0.0457551
t	0.020008	0.0150447	0.124375	0.200294	0.174807	0.0811224	0.0793867	0.083281	0.140998	0.0442585	0.0364251
á	0.0013458	0.000992202	0.016154	0.0723934	0.253549	0.0944162	0.0595034	0.0510778	0.0210622	0.418574	0.0109316
á	0.0013333	0.00158287	0.0115345	0.0210967	0.116269	0.0690112	0.0383013	0.0439252	0.0485926	0.5025	0.145853
y	0.00273759	0.0136125	0.0389885	0.031845	0.0762324	0.11128	0.133748	0.139873	0.296258	0.114701	0.0407248
a	0.0258436	0.0506827	0.0574442	0.0351581	0.0872843	0.126195	0.113723	0.176496	0.0839771	0.161659	0.0815364
n	0.0127303	0.0172688	0.0380162	0.0152557	0.0511405	0.0735247	0.119825	0.155394	0.425861	0.0534477	0.0375358
g	0.00631656	0.0113579	0.0272212	0.0168546	0.0113017	0.0136573	0.0303267	0.114971	0.747137	0.00835299	0.0125024
á	0.00050488	0.00458662	0.0169751	0.016691	0.0397132	0.0325872	0.061492	0.193843	0.476748	0.0640834	0.0927752
k	0.00133314	0.00137707	0.020034	0.0151555	0.0706389	0.100025	0.143564	0.1958	0.226703	0.0661927	0.159176
a	0.00010986	0.000910606	0.00382641	0.00373097	0.0248513	0.046086	0.0861738	0.19595	0.0290439	0.57985	0.0294669
á	5.43315e-05	0.000769105	0.00109329	0.00101035	0.0139509	0.0417267	0.0824849	0.141787	0.0950869	0.316061	0.305976
</S>	0.00300558	0.00337666	0.0106006	0.00641771	0.0238888	0.0487985	0.0629541	0.0939489	0.150185	0.0667356	0.530089
