 	il	a	des	cheveux	tout	blancs	</S>
w	0.641393	0.207401	0.0616192	0.0175044	0.0578105	0.012185	0.00208722
a	0.695212	0.101853	0.0361379	0.0244755	0.118416	0.0230731	0.000832438
a	0.17694	0.479029	0.167833	0.139747	0.0242088	0.00236874	0.00987258
d	0.0770153	0.388231	0.314859	0.100913	0.033955	0.010079	0.0749468
i	0.0105743	0.408194	0.304621	0.157552	0.0120022	0.00191927	0.105137
s	0.00496706	0.0508586	0.259323	0.512392	0.0432214	0.00919801	0.12004
u	0.00102443	0.0140223	0.0675894	0.856703	0.0171327	0.00767721	0.0358507
é	0.00111246	0.00340665	0.0193784	0.915294	0.0155566	0.0217244	0.0235271
p	0.00952654	0.0285025	0.172524	0.179723	0.39975	0.156858	0.0531163
f	0.00251401	0.00348284	0.0230891	0.0022857	0.0330054	0.835721	0.0999018
ú	0.00092404	0.00345907	0.0496221	0.0036664	0.0329792	0.807816	0.101533
ú	0.000733001	0.000816222	0.0140646	0.00446677	0.0296463	0.830598	0.119675
p	0.000751726	0.00314124	0.0380377	0.00704251	0.24857	0.142708	0.559749
f	0.0186702	0.00467064	0.0297095	0.00140384	0.115494	0.670681	0.15937
ú	0.00375624	0.00173869	0.0301205	0.00178409	0.0479252	0.780845	0.13383
ú	0.00125181	0.00109413	0.0187079	0.00368453	0.0543961	0.360986	0.55988
</S>	0.00224492	0.00824191	0.0337179	0.00467414	0.131015	0.0698435	0.750262
