 	cette	piroque-ci	est	trouée	celle-là	est	intacte	</S>
b	0.371822	0.501246	0.0778905	0.0353705	0.00462023	0.00612992	0.00196547	0.000955125
v	0.0103595	0.941243	0.0116913	0.0299915	0.000555177	0.00102223	0.00486543	0.000272256
á	0.0093844	0.806085	0.00670024	0.147582	0.0176003	0.00282739	0.00783011	0.00199116
r	0.017279	0.940678	0.00787796	0.0224238	0.00144112	0.000564184	0.00197113	0.0077646
e	0.46865	0.344353	0.0585851	0.0322823	0.0114501	0.00313186	0.00313679	0.078411
b	0.136694	0.153618	0.511747	0.104727	0.0324939	0.0231921	0.00490223	0.0326265
v	0.0947857	0.465908	0.160544	0.116412	0.00411049	0.0160629	0.0480345	0.0941432
ú	0.453099	0.14512	0.116255	0.0976102	0.0163705	0.0177498	0.0175776	0.136218
ó	0.0990734	0.0238534	0.665111	0.135572	0.0369179	0.0210825	0.00973136	0.00865836
t	0.274364	0.0213755	0.334353	0.220882	0.091512	0.0236206	0.00222486	0.0316672
ú	0.0296336	0.0110577	0.214952	0.243905	0.409781	0.0513237	0.00586183	0.0334845
b	0.0319473	0.0105644	0.118863	0.275139	0.480679	0.0329432	0.0118843	0.03798
h	0.098695	0.0641711	0.135346	0.472462	0.093331	0.0256371	0.0795721	0.0307856
u	0.360368	0.0405217	0.108712	0.306679	0.0743554	0.0196999	0.0264056	0.0632585
b	0.0465126	0.0205679	0.21425	0.271326	0.181836	0.180638	0.0525455	0.0323243
v	0.0243263	0.24842	0.216138	0.326607	0.0954233	0.0221359	0.0280278	0.0389221
ú	0.0193728	0.0137044	0.0875995	0.346251	0.280025	0.0815022	0.111252	0.0602935
u	0.00249139	0.000254738	0.0248125	0.0496867	0.606836	0.256837	0.041106	0.0179756
ó	0.00666246	0.000636308	0.0472747	0.0341084	0.120354	0.560476	0.0872959	0.143192
d	0.0200407	0.00341764	0.0462023	0.0298858	0.218053	0.450914	0.130997	0.100489
i	0.0469196	0.00258655	0.0271718	0.00775405	0.0708881	0.373678	0.168134	0.302868
ó	0.00885353	0.000916477	0.0106952	0.00677024	0.0285985	0.434257	0.207464	0.302446
b	0.0144057	0.00622335	0.0241022	0.0287274	0.0256165	0.193172	0.564113	0.14364
v	0.0275438	0.139382	0.128372	0.101847	0.0346946	0.104943	0.412723	0.0504954
ú	0.0254316	0.0280376	0.0223127	0.129376	0.0337382	0.0769545	0.634177	0.0499717
a	0.0058209	0.00159856	0.00469759	0.00481711	0.0229309	0.113142	0.568243	0.27875
m	0.00908445	0.000457255	0.0106762	0.00704197	0.00723799	0.182768	0.379784	0.40295
έ	0.085818	0.00108629	0.0266417	0.0078327	0.0421413	0.189891	0.477077	0.169512
n	0.00380887	0.00291307	0.0221666	0.0110686	0.015721	0.184698	0.431297	0.328327
έ	0.0277082	0.0019559	0.00441076	0.002847	0.00250032	0.021766	0.536148	0.402664
</S>	0.00300282	0.000298936	0.00251975	0.000826939	0.00180376	0.0389611	0.173331	0.779256
