 	la	branchette	de	l'	arbre	ngyenya	est	utilisée	comme	support	dans	les	pièges	aux	animaux	</S>
e	0.841365	0.0169678	0.0395806	0.0191578	0.0354732	0.0151589	0.0195013	0.00326733	0.00531412	0.000533657	0.00267635	0.000454911	9.26634e-05	0.00043367	1.55137e-05	6.99058e-06
t	0.164247	0.718609	0.0439733	0.0242484	0.00783851	0.00144462	0.00448954	0.0143985	0.00244148	0.0115668	0.00168328	0.000579777	0.000241393	0.00075273	0.000201584	0.00328428
á	0.00573925	0.86352	0.0298442	0.0502093	0.0144229	0.00147125	0.00310844	0.0245838	0.000869143	0.00316535	0.000758829	0.000811012	0.000541129	0.000245438	0.00028709	0.000423171
b	0.00331783	0.931818	0.0245954	0.0130976	0.00407365	0.000475272	0.00302873	0.00487712	0.00197222	0.00309595	0.000317587	0.000397635	0.00138385	0.000668201	7.35735e-05	0.00680751
h	0.0744805	0.137571	0.0864842	0.0598958	0.100329	0.00332188	0.0251708	0.0113971	0.0826002	0.0204731	0.0288789	0.021145	0.218528	0.0867722	0.00029469	0.0426575
e	0.339432	0.561439	0.0179295	0.0136941	0.0142651	0.019214	0.00556569	0.00386991	0.00234395	0.00169568	0.00127777	0.000766297	0.00240523	0.00140356	5.70106e-05	0.0146408
y	0.095358	0.12962	0.553909	0.0927335	0.053918	0.01435	0.0309754	0.00604217	0.00598623	0.00398704	0.00185267	0.000891058	0.00186772	0.00236967	3.62249e-05	0.00610328
á	0.399688	0.021272	0.0980328	0.0693715	0.0594925	0.124324	0.0420651	0.00853235	0.00497002	0.0128811	0.030533	0.0192895	0.00773691	0.0259613	0.0103069	0.0655429
n	0.0541768	0.00330714	0.068414	0.0775344	0.044837	0.679881	0.0384756	0.0202724	0.00119731	0.00141709	0.00273809	0.00227839	0.000689552	0.00184156	0.000807932	0.0021322
g	0.000811064	0.000103671	0.00383668	0.00580301	0.00397412	0.963625	0.00373903	0.000323609	0.000829301	0.000339253	0.00138114	0.000780318	0.000233977	0.000494307	0.0119635	0.00176177
y	0.000355029	0.000125903	0.00439064	0.0212656	0.0080713	0.935281	0.00340852	0.00323712	0.000978843	0.00253873	0.000695186	0.000927504	0.000391215	0.000243237	0.0165075	0.00158302
e	0.00239431	0.000379798	0.0291573	0.111506	0.0991844	0.576376	0.0530173	0.0249438	0.00688335	0.00798315	0.00839645	0.0119334	0.00388238	0.00690499	0.0234336	0.0336239
n	0.00834336	0.0135573	0.10794	0.150575	0.271579	0.113186	0.126164	0.0642261	0.0558145	0.036922	0.0118615	0.00718586	0.00918235	0.00264485	0.00187642	0.0189412
y	0.010176	0.0118427	0.0567051	0.134938	0.238236	0.107305	0.174755	0.089732	0.0447737	0.0180171	0.00567002	0.00480718	0.0140708	0.00696263	0.00189908	0.0801093
a	0.0102718	0.0280824	0.0884097	0.133059	0.153473	0.366928	0.120063	0.0345855	0.00690554	0.00860432	0.00316747	0.0032734	0.00424487	0.00418577	0.000395064	0.0343513
b	0.015029	0.00504948	0.110327	0.0831081	0.241574	0.0983399	0.393088	0.0252851	0.0142202	0.00282608	0.00296825	0.00100642	0.0010068	0.00256862	8.33971e-05	0.00351873
á	0.0221901	0.0105441	0.0800425	0.0892839	0.171186	0.0997422	0.28486	0.0846567	0.0441498	0.0270617	0.0359186	0.0190215	0.0163727	0.006814	0.000131419	0.00802442
a	0.0275804	0.00359357	0.0707468	0.0751256	0.191807	0.0780775	0.367393	0.0327108	0.0663189	0.0133972	0.0147244	0.0134807	0.0133131	0.0108244	0.00024163	0.0206649
k	0.00103723	0.00580987	0.0141044	0.0199316	0.0350693	0.0117179	0.268757	0.566862	0.0496156	0.0193718	0.00165257	0.000719323	0.00076916	0.000884307	8.66383e-05	0.00361079
o	0.00013584	0.00419679	0.00419089	0.0215738	0.0582698	0.00146619	0.0761008	0.768743	0.0169651	0.038733	0.00214881	0.00105273	0.00343133	0.000731086	6.04643e-05	0.00219995
b	0.000439942	0.00590702	0.00383603	0.0207448	0.0298887	0.00199823	0.0201773	0.839025	0.0123929	0.0557826	0.00263246	0.00138412	0.00227054	0.000561144	0.000118594	0.00284092
h	0.00553147	0.00752344	0.00830151	0.0336022	0.13082	0.00792853	0.0983991	0.215609	0.0843358	0.230477	0.0605531	0.0298453	0.0434392	0.00434391	0.00497006	0.0343207
á	0.00175224	0.00133064	0.00994767	0.0303888	0.0717701	0.011139	0.0321741	0.0670176	0.119134	0.205783	0.224488	0.0639015	0.0462865	0.0351292	0.0112992	0.0684583
á	0.00168551	0.00156349	0.0112462	0.00994354	0.0234908	0.0178433	0.15467	0.144628	0.296714	0.0881732	0.143981	0.0555083	0.0168134	0.0255289	0.0011677	0.00704237
m	0.00474124	0.00206466	0.0189354	0.016444	0.0190177	0.0089464	0.105301	0.0724014	0.226182	0.12103	0.20274	0.109412	0.0368186	0.0330015	0.015806	0.00715841
é	0.0123839	0.00173487	0.00896107	0.00760297	0.0141675	0.000571959	0.0337571	0.0364073	0.128053	0.0575753	0.0653813	0.105229	0.183104	0.229256	0.00985508	0.10596
k	0.000752441	0.000228575	0.00361536	0.0045909	0.0134575	0.000358713	0.0260192	0.0465022	0.124502	0.217423	0.0805532	0.152343	0.247621	0.0334506	0.0370038	0.011579
ώ	3.12143e-05	0.000498366	0.000711219	0.00317185	0.00326595	9.4347e-05	0.00219665	0.0165306	0.0340663	0.803144	0.0162294	0.0308963	0.0775853	0.00440551	0.00195943	0.00521365
</S>	7.76708e-06	0.000311145	0.000469938	0.00131282	0.00561046	0.000135578	0.00361866	0.0163684	0.023376	0.698202	0.061523	0.0663418	0.0967116	0.00946915	0.00700742	0.00953451
