 	il	s'	est	brisé	la	jambe	</S>
w	0.792626	0.192726	0.00750258	0.00279714	0.00353894	0.000281834	0.000527359
a	0.818069	0.160989	0.00546384	0.00250176	0.0127163	9.17424e-05	0.000168306
á	0.168203	0.656215	0.163245	0.00518632	0.00466047	0.000293486	0.00219617
m	0.0290531	0.364612	0.491923	0.0769804	0.0246873	0.00396412	0.00877998
i	0.0211456	0.225856	0.481804	0.102299	0.102529	0.000927355	0.0654397
b	0.00408087	0.0240436	0.276326	0.651204	0.021325	0.0107896	0.012231
v	0.00712215	0.0329412	0.425093	0.445842	0.0397653	0.00452653	0.0447097
ú	0.00421383	0.068338	0.307175	0.588097	0.0305483	0.000246963	0.00138087
n	0.0208091	0.0435496	0.101504	0.720767	0.0485904	0.0112369	0.0535432
y	0.0452696	0.029478	0.167457	0.43502	0.12867	0.00890965	0.185195
á	0.0209295	0.00927679	0.259122	0.265398	0.280009	0.0119724	0.153292
e	0.00934428	0.00785344	0.0285028	0.135813	0.78031	0.0255344	0.0126419
k	0.00133975	0.0011825	0.0019059	0.375132	0.149678	0.452619	0.0181438
o	0.00100299	0.00183997	0.00436265	0.140595	0.173194	0.623228	0.0557776
o	0.000622149	0.0023832	0.00569631	0.243292	0.134279	0.450957	0.162771
</S>	0.00331742	0.00750154	0.0318415	0.0163531	0.163639	0.0930787	0.684269
