 	il	débrousse	les	alentours	de	la	case	</S>
w	0.952248	0.00217463	0.031077	0.000949021	0.00370562	0.00940682	0.000334012	0.00010509
a	0.978121	0.000446753	0.00921722	0.000122321	0.00121802	0.0104953	0.000217737	0.000162129
l	0.256332	0.424274	0.243165	0.0137203	0.0257209	0.0166949	0.00148185	0.0186113
á	0.144957	0.0881166	0.216646	0.00865581	0.063557	0.0569498	0.0104508	0.410667
a	0.219089	0.209416	0.224041	0.00790421	0.0255132	0.0679981	0.0478214	0.198218
w	0.00431375	0.930718	0.0330608	0.0229478	0.00218899	0.000494627	0.000703617	0.0055726
o	0.0336125	0.614102	0.157767	0.110998	0.0233524	0.00738525	0.00518451	0.0475991
á	0.00853357	0.478249	0.219161	0.239991	0.0248025	0.00544821	0.00550171	0.0183129
p	0.025378	0.0864775	0.455987	0.179887	0.124546	0.0770276	0.0339593	0.0167373
ε	0.00742578	0.0170679	0.080831	0.829021	0.050671	0.00489487	0.00232798	0.00776063
έ	0.00453912	0.00658803	0.0632416	0.818761	0.0709197	0.00544128	0.00519364	0.0253159
p	0.00746019	0.00312178	0.184133	0.27713	0.339655	0.0837197	0.0153774	0.0894033
ε	0.0011166	0.00106748	0.0300577	0.706952	0.207642	0.0227393	0.00839932	0.0220261
έ	0.00111037	0.000716493	0.0609604	0.417228	0.350089	0.0726316	0.0126285	0.0846353
y	0.00145598	0.00192991	0.0591563	0.186775	0.338833	0.134166	0.053103	0.224581
á	0.00133249	0.0215009	0.087181	0.140099	0.281863	0.211545	0.041614	0.214865
n	0.00242408	0.0024394	0.0220276	0.0129129	0.0416247	0.205098	0.666673	0.0468005
d	0.000124996	0.000181829	0.000828642	0.000298133	0.00309596	0.0167691	0.975536	0.0031658
é	0.000172359	0.000263068	0.000866792	0.00041952	0.00297333	0.0112244	0.976185	0.0078951
e	1.45872e-05	0.000589226	0.00211484	0.00274236	0.0186145	0.0626425	0.779303	0.133979
</S>	0.00112252	0.000756687	0.0263347	0.0086759	0.143674	0.253841	0.158642	0.406953
