 	oboa	nous	a	humiliés	devant	les	beaux	parents	</S>
o	0.962087	0.0230786	0.0111354	0.00104287	0.00074198	0.000883504	0.000275789	0.00068504	7.00169e-05
b	0.998264	0.00051963	0.000323345	0.000628253	0.00017557	3.17031e-05	1.01422e-05	3.14367e-05	1.56494e-05
o	0.993723	0.00380079	0.000902192	0.000382062	0.00026697	7.38167e-05	8.18534e-05	0.000691288	7.80563e-05
á	0.980188	0.00106679	0.00128276	0.00105176	0.00448021	0.000852125	0.000620841	0.00516583	0.00529152
á	0.173114	0.139504	0.497759	0.0476143	0.021771	0.0207004	0.0123163	0.00392867	0.0832915
b	0.0335559	0.175157	0.346343	0.23863	0.131423	0.0135296	0.0269037	0.00400082	0.0304568
ω	0.0032422	0.12887	0.131951	0.413702	0.202348	0.0331647	0.0592762	0.00335566	0.0240913
ω	0.010674	0.156344	0.132897	0.41982	0.125822	0.0484603	0.0375838	0.0218834	0.0465152
s	0.00128025	0.199605	0.402687	0.095542	0.24648	0.033403	0.00702523	0.00444702	0.00953035
i	0.000843825	0.114301	0.190927	0.31929	0.197736	0.0642098	0.00988602	0.0204387	0.0823678
b	0.000232634	0.501722	0.287152	0.0142042	0.0970729	0.0523258	0.00284454	0.0134439	0.0310018
í	9.3095e-05	0.961876	0.0122237	0.00225275	0.0107483	0.00937494	0.00132548	0.00134967	0.00075562
s	0.000222234	0.959171	0.0200675	0.00320874	0.00679846	0.00397623	0.00185501	0.00207273	0.00262772
í	0.0010148	0.105892	0.0984873	0.104428	0.0398364	0.0890761	0.0115753	0.192081	0.357609
o	9.36539e-05	0.0343842	0.207007	0.0927539	0.283361	0.258579	0.0352342	0.0177309	0.0708558
m	0.00135745	0.000900212	0.00460205	0.0278666	0.566015	0.193684	0.194825	0.00184012	0.00890995
í	0.00185415	0.0182896	0.0271877	0.0182814	0.401225	0.286724	0.170755	0.00574731	0.069937
s	0.00123555	0.0018086	0.00679964	0.00402891	0.439097	0.283499	0.225107	0.0118776	0.0265459
i	0.000640976	0.0056173	0.00742607	0.00255422	0.204847	0.350182	0.115515	0.0928803	0.220337
m	2.30886e-05	0.000932219	0.0094841	0.00106827	0.155058	0.431509	0.199386	0.0515925	0.150947
á	0.000112193	0.0013027	0.00338589	0.000699088	0.0642173	0.211894	0.31289	0.0119049	0.393594
b	0.000120448	0.0116418	0.0375138	0.00298926	0.0291847	0.24294	0.188091	0.44326	0.0442597
v	0.000157527	0.0408159	0.0107389	0.000378615	0.01403	0.120523	0.637937	0.126655	0.0487645
ú	0.000227883	0.0176916	0.00123753	0.000125365	0.0221256	0.0907453	0.557764	0.271944	0.0381385
ε	1.54377e-05	0.000527407	0.00225086	0.000691487	0.0214944	0.143238	0.682671	0.104527	0.0445842
</S>	3.71405e-06	6.90059e-05	0.000633468	4.91753e-05	0.00496909	0.102515	0.360553	0.161394	0.369815
