 	les	hommes	d'	ongondza	sont	en	train	de	pêcher	au	harpon	au	vouma	</S>
a	0.850986	0.0894381	0.0139231	0.0130872	0.0131816	0.00504364	0.000355317	0.000651427	0.000223543	0.00189248	0.000345054	0.0107629	4.85822e-05	6.12097e-05
b	0.0220431	0.959305	0.00540911	0.00572647	0.00142173	0.000839088	0.0017019	0.000250867	0.000284682	0.000505547	0.000652605	0.000783469	0.00036045	0.000715472
a	0.00675927	0.971866	0.0021435	0.0022096	0.00200074	0.00132134	0.00853005	0.000364649	0.000374273	0.000297823	0.00315867	0.000360844	0.000219239	0.000393527
a	0.0349873	0.820355	0.0437097	0.0375626	0.0199254	0.0183061	0.00737151	0.00304786	0.00297898	0.000873054	0.00326046	0.000573754	7.3266e-05	0.00697546
b	0.20206	0.0450578	0.405903	0.0854814	0.151716	0.0515651	0.0024263	0.0190407	0.00537359	0.00603254	0.00293732	0.00287766	5.38107e-05	0.0194745
o	0.0177326	0.00541736	0.108376	0.112493	0.210011	0.172083	0.103183	0.0850007	0.0300776	0.0213982	0.112996	0.0027714	0.000446687	0.0180134
n	0.0572569	0.0160076	0.214152	0.328044	0.0811166	0.131052	0.0872	0.019548	0.023211	0.0173004	0.0133227	0.00348631	0.000499479	0.00780343
g	0.220347	0.00476758	0.127895	0.548559	0.0302598	0.0289538	0.000957682	0.00824005	0.0158702	0.00186344	0.00132113	0.00113689	0.000739673	0.00908971
o	0.023936	0.00419341	0.0572917	0.863068	0.0103878	0.0240121	0.00647999	0.0015352	0.00722684	0.000349824	0.000592075	7.22413e-05	0.00012477	0.000729577
n	0.0281693	0.00286808	0.154858	0.442191	0.0468982	0.181702	0.0837805	0.0136244	0.022864	0.0114296	0.00705692	0.00067374	0.000415064	0.00346915
d	0.0510832	0.00579896	0.210996	0.453035	0.0807263	0.0974462	0.0159671	0.0251799	0.0341906	0.0029974	0.00238324	0.000617857	0.000418589	0.0191603
z	0.0125976	0.00288737	0.127769	0.640275	0.0632588	0.0885191	0.00657437	0.0117907	0.0372099	0.000861144	0.000621255	0.000265937	0.0033797	0.00399
a	0.0147486	0.00813545	0.155764	0.653414	0.0274711	0.0607865	0.00795097	0.0117338	0.0443628	0.00230082	0.00157696	0.000161933	0.0007985	0.0107943
b	0.00938382	0.00314922	0.281132	0.0637845	0.278702	0.161608	0.0564205	0.0709031	0.0255363	0.0271106	0.0151031	0.00120569	0.000170493	0.00579095
ó	0.0577567	0.00603703	0.0958146	0.20201	0.0836449	0.165421	0.0376507	0.152893	0.0857003	0.0726719	0.0127536	0.0116065	0.0012052	0.0148352
b	0.0100441	0.000643271	0.111816	0.0442107	0.0508711	0.243309	0.029115	0.188426	0.0812634	0.171715	0.0418316	0.0128494	0.0017865	0.0121196
á	0.0838346	0.00290808	0.0550469	0.0563968	0.128649	0.198417	0.0268118	0.206525	0.13231	0.0416825	0.053855	0.00497272	0.00152345	0.00706749
a	0.0223259	0.0017627	0.07578	0.0139751	0.0384967	0.16873	0.02881	0.237402	0.183715	0.111466	0.0633035	0.0266539	0.00457129	0.0230068
b	0.00337427	0.00592117	0.0189897	0.00453433	0.00814452	0.0254364	0.005276	0.156817	0.196631	0.14471	0.346006	0.0225599	0.00844318	0.0531575
v	0.00375033	0.0251896	0.0127918	0.00192012	0.00776364	0.0133428	0.052915	0.0427463	0.133073	0.0661557	0.582992	0.022333	0.0178514	0.0171759
á	0.000885661	0.00300762	0.00324298	0.00245976	0.00370035	0.016146	0.0149416	0.0429755	0.212056	0.0280565	0.649295	0.0037723	0.0112637	0.00819729
á	0.00302614	0.000373336	0.00597848	0.0017443	0.00303219	0.0151496	0.000801212	0.0354483	0.0523146	0.188451	0.30376	0.101871	0.0291772	0.258873
s	0.00238716	0.000114849	0.00363114	0.00232234	0.00331067	0.00283124	0.000113991	0.00581098	0.00593079	0.0299886	0.0554129	0.375477	0.458909	0.053759
á	0.0020944	6.8455e-05	0.00384111	0.00140449	0.00179407	0.00227468	0.000176942	0.00973061	0.0163641	0.0339434	0.103332	0.154102	0.510709	0.160166
w	0.00251178	0.000179861	0.00190793	0.00116289	0.00161952	0.00158906	0.000413014	0.00351945	0.00213095	0.00747067	0.00511439	0.281911	0.657105	0.033364
ó	0.00334424	0.0017139	0.00491131	0.00539751	0.00832049	0.00755002	0.0013728	0.0192301	0.0157731	0.023752	0.00733358	0.146805	0.711529	0.0429675
m	0.000425004	0.000424613	0.00247113	0.0019728	0.000876325	0.00248603	0.00208293	0.00958076	0.00356866	0.0616463	0.161471	0.129207	0.480044	0.143744
á	0.000550744	4.36593e-05	0.000653772	0.000430002	0.000251399	0.000354659	2.40479e-05	0.00102887	0.000735086	0.00907205	0.00572992	0.0832177	0.87746	0.0204484
</S>	0.0129608	0.000659074	0.00760317	0.00397118	0.00472326	0.00388589	0.000643514	0.010796	0.0076194	0.0139687	0.0196277	0.201826	0.60244	0.109275
